Command main.py play --no-gui --agents imitation_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents imitation_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents imitation_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 10.073251724243164, Mean Loss 10.073251724243164, Actions 34, Mean reward -1500.0, Reward -1500, Record -1500
Game 2, Game Loss 9.280160903930664, Mean Loss 9.676706314086914, Actions 67, Mean reward -2150.0, Reward -2800, Record -1500
Game 3, Game Loss 6.305241584777832, Mean Loss 8.552884101867676, Actions 37, Mean reward -2366.6666666666665, Reward -2800, Record -1500
Game 4, Game Loss 11.241127967834473, Mean Loss 9.224945068359375, Actions 31, Mean reward -1925.0, Reward -600, Record -600
Game 5, Game Loss 8.3879976272583, Mean Loss 9.057555198669434, Actions 16, Mean reward -1800.0, Reward -1300, Record -600
Game 6, Game Loss 12.595306396484375, Mean Loss 9.647180557250977, Actions 44, Mean reward -1750.0, Reward -1500, Record -600
Game 7, Game Loss 7.619079113006592, Mean Loss 9.357451438903809, Actions 15, Mean reward -1671.4285714285713, Reward -1200, Record -600
Game 8, Game Loss 13.288766860961914, Mean Loss 9.848865509033203, Actions 30, Mean reward -1625.0, Reward -1300, Record -600
Game 9, Game Loss 22.40802574157715, Mean Loss 11.244327545166016, Actions 5, Mean reward -1466.6666666666667, Reward -200, Record -200
Game 10, Game Loss 8.461806297302246, Mean Loss 10.966075897216797, Actions 6, Mean reward -1370.0, Reward -500, Record -200
Game 11, Game Loss 7.295815467834473, Mean Loss 10.632415771484375, Actions 41, Mean reward -1518.1818181818182, Reward -3000, Record -200
Game 12, Game Loss 160.3141632080078, Mean Loss 23.10589599609375, Actions 5, Mean reward -1425.0, Reward -400, Record -200
Game 13, Game Loss 14.382068634033203, Mean Loss 22.434833526611328, Actions 47, Mean reward -1407.6923076923076, Reward -1200, Record -200
Game 14, Game Loss 17.750755310058594, Mean Loss 22.100255966186523, Actions 12, Mean reward -1357.142857142857, Reward -700, Record -200
Game 15, Game Loss 14.742554664611816, Mean Loss 21.609743118286133, Actions 20, Mean reward -1366.6666666666667, Reward -1500, Record -200
Game 16, Game Loss 16.956096649169922, Mean Loss 21.318889617919922, Actions 12, Mean reward -1312.5, Reward -500, Record -200
Game 17, Game Loss 11.431965827941895, Mean Loss 20.737306594848633, Actions 7, Mean reward -1258.8235294117646, Reward -400, Record -200
Game 18, Game Loss 12.526270866394043, Mean Loss 20.281137466430664, Actions 40, Mean reward -1283.3333333333333, Reward -1700, Record -200
Game 19, Game Loss 9.246072769165039, Mean Loss 19.70034408569336, Actions 5, Mean reward -1236.842105263158, Reward -400, Record -200
Game 20, Game Loss 13.798635482788086, Mean Loss 19.40526008605957, Actions 26, Mean reward -1200.0, Reward -500, Record -200
Game 21, Game Loss 15.05792236328125, Mean Loss 19.198244094848633, Actions 30, Mean reward -1214.2857142857142, Reward -1500, Record -200
Game 22, Game Loss 17.254505157470703, Mean Loss 19.109891891479492, Actions 8, Mean reward -1181.8181818181818, Reward -500, Record -200
Game 23, Game Loss 29.16599464416504, Mean Loss 19.5471134185791, Actions 5, Mean reward -1130.4347826086957, Reward 0, Record 0
Game 24, Game Loss 8.226906776428223, Mean Loss 19.075437545776367, Actions 14, Mean reward -1120.8333333333333, Reward -900, Record 0
Game 25, Game Loss 3.1162381172180176, Mean Loss 18.437070846557617, Actions 8, Mean reward -1104.0, Reward -700, Record 0
Game 26, Game Loss 1.717099905014038, Mean Loss 17.793994903564453, Actions 10, Mean reward -1096.1538461538462, Reward -900, Record 0
Game 27, Game Loss 15.016226768493652, Mean Loss 17.69111442565918, Actions 29, Mean reward -1077.7777777777778, Reward -600, Record 0
Game 28, Game Loss 12.59887409210205, Mean Loss 17.509248733520508, Actions 7, Mean reward -1053.5714285714287, Reward -400, Record 0
Game 29, Game Loss 17.052488327026367, Mean Loss 17.493497848510742, Actions 17, Mean reward -1031.0344827586207, Reward -400, Record 0
Game 30, Game Loss 61.959716796875, Mean Loss 18.975706100463867, Actions 5, Mean reward -996.6666666666666, Reward 0, Record 0
Game 31, Game Loss 11.730436325073242, Mean Loss 18.741987228393555, Actions 11, Mean reward -977.4193548387096, Reward -400, Record 0
Game 32, Game Loss 11.331868171691895, Mean Loss 18.510419845581055, Actions 7, Mean reward -959.375, Reward -400, Record 0
Game 33, Game Loss 15.672836303710938, Mean Loss 18.4244327545166, Actions 13, Mean reward -948.4848484848485, Reward -600, Record 0
Game 34, Game Loss 11.892769813537598, Mean Loss 18.232324600219727, Actions 9, Mean reward -938.2352941176471, Reward -600, Record 0
Game 35, Game Loss 14.540026664733887, Mean Loss 18.1268310546875, Actions 5, Mean reward -917.1428571428571, Reward -200, Record 0
Game 36, Game Loss 17.110488891601562, Mean Loss 18.09859848022461, Actions 7, Mean reward -897.2222222222222, Reward -200, Record 0
Game 37, Game Loss 9.48733139038086, Mean Loss 17.865861892700195, Actions 29, Mean reward -937.8378378378378, Reward -2400, Record 0
Game 38, Game Loss 1.2410345077514648, Mean Loss 17.42836570739746, Actions 5, Mean reward -923.6842105263158, Reward -400, Record 0
Game 39, Game Loss 2.448254346847534, Mean Loss 17.044260025024414, Actions 5, Mean reward -910.2564102564103, Reward -400, Record 0
Game 40, Game Loss 4.440186977386475, Mean Loss 16.729158401489258, Actions 5, Mean reward -897.5, Reward -400, Record 0
Game 41, Game Loss 18.127126693725586, Mean Loss 16.763254165649414, Actions 34, Mean reward -892.6829268292682, Reward -700, Record 0
Game 42, Game Loss 14.147566795349121, Mean Loss 16.700977325439453, Actions 29, Mean reward -876.1904761904761, Reward -200, Record 0
Game 43, Game Loss 18.37773895263672, Mean Loss 16.739971160888672, Actions 30, Mean reward -895.3488372093024, Reward -1700, Record 0
Game 44, Game Loss 12.888800621032715, Mean Loss 16.65244483947754, Actions 10, Mean reward -890.9090909090909, Reward -700, Record 0
Game 45, Game Loss 7.148495197296143, Mean Loss 16.441246032714844, Actions 18, Mean reward -886.6666666666666, Reward -700, Record 0
Game 46, Game Loss 11.308165550231934, Mean Loss 16.32965660095215, Actions 51, Mean reward -919.5652173913044, Reward -2400, Record 0
Game 47, Game Loss 42.06443786621094, Mean Loss 16.877206802368164, Actions 6, Mean reward -906.3829787234042, Reward -300, Record 0
Game 48, Game Loss 12.594534873962402, Mean Loss 16.78798484802246, Actions 38, Mean reward -922.9166666666666, Reward -1700, Record 0
Game 49, Game Loss 13.738462448120117, Mean Loss 16.725749969482422, Actions 26, Mean reward -930.6122448979592, Reward -1300, Record 0
Game 50, Game Loss 3.162813186645508, Mean Loss 16.454490661621094, Actions 7, Mean reward -920.0, Reward -400, Record 0
Game 51, Game Loss 12.734549522399902, Mean Loss 16.38155174255371, Actions 21, Mean reward -905.8823529411765, Reward -200, Record 0
Game 52, Game Loss 16.683101654052734, Mean Loss 16.38735008239746, Actions 21, Mean reward -876.9230769230769, Reward 600, Record 600
Game 53, Game Loss 11.5549898147583, Mean Loss 16.296173095703125, Actions 15, Mean reward -875.4716981132076, Reward -800, Record 600
Game 54, Game Loss 13.524114608764648, Mean Loss 16.24483871459961, Actions 5, Mean reward -859.2592592592592, Reward 0, Record 600
Game 55, Game Loss 12.590760231018066, Mean Loss 16.178401947021484, Actions 15, Mean reward -861.8181818181819, Reward -1000, Record 600
Game 56, Game Loss 8.547926902770996, Mean Loss 16.042142868041992, Actions 8, Mean reward -858.9285714285714, Reward -700, Record 600
Game 57, Game Loss 9.687112808227539, Mean Loss 15.930651664733887, Actions 5, Mean reward -850.8771929824561, Reward -400, Record 600
Game 58, Game Loss 8.792840003967285, Mean Loss 15.807585716247559, Actions 9, Mean reward -846.551724137931, Reward -600, Record 600
Game 59, Game Loss 16.22157096862793, Mean Loss 15.81460189819336, Actions 17, Mean reward -838.9830508474577, Reward -400, Record 600
Game 60, Game Loss 7.912553787231445, Mean Loss 15.682901382446289, Actions 27, Mean reward -851.6666666666666, Reward -1600, Record 600
