Command main.py play --no-gui --agents imitation_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 2.6690895557403564, Mean Loss 2.6690895557403564, Actions 7, Mean reward -400.0, Reward -400, Record -400
Game 2, Game Loss 0.13166332244873047, Mean Loss 1.4003764390945435, Actions 6, Mean reward -350.0, Reward -300, Record -300
Game 3, Game Loss 0.16568085551261902, Mean Loss 0.9888112545013428, Actions 6, Mean reward -400.0, Reward -500, Record -300
Game 4, Game Loss 0.02530144900083542, Mean Loss 0.7479338049888611, Actions 6, Mean reward -425.0, Reward -500, Record -300
Game 5, Game Loss 0.010241055861115456, Mean Loss 0.6003952622413635, Actions 7, Mean reward -460.0, Reward -600, Record -300
Game 6, Game Loss 0.09539814293384552, Mean Loss 0.5162290930747986, Actions 19, Mean reward -583.3333333333334, Reward -1200, Record -300
Game 7, Game Loss 0.023797249421477318, Mean Loss 0.4458816647529602, Actions 5, Mean reward -557.1428571428571, Reward -400, Record -300
Game 8, Game Loss 0.02851196750998497, Mean Loss 0.3937104642391205, Actions 6, Mean reward -550.0, Reward -500, Record -300
Game 9, Game Loss 0.05275248736143112, Mean Loss 0.3558262586593628, Actions 12, Mean reward -588.8888888888889, Reward -900, Record -300
Game 10, Game Loss 0.16892363131046295, Mean Loss 0.3371359705924988, Actions 11, Mean reward -550.0, Reward -200, Record -200
Game 11, Game Loss 0.030292894691228867, Mean Loss 0.3092411756515503, Actions 7, Mean reward -518.1818181818181, Reward -200, Record -200
Game 12, Game Loss 0.056289348751306534, Mean Loss 0.28816184401512146, Actions 17, Mean reward -491.6666666666667, Reward -200, Record -200
Game 13, Game Loss 0.15629693865776062, Mean Loss 0.27801841497421265, Actions 13, Mean reward -546.1538461538462, Reward -1200, Record -200
Game 14, Game Loss 0.20756088197231293, Mean Loss 0.2729857265949249, Actions 6, Mean reward -528.5714285714286, Reward -300, Record -200
Game 15, Game Loss 0.08311264961957932, Mean Loss 0.2603275179862976, Actions 19, Mean reward -560.0, Reward -1000, Record -200
Game 16, Game Loss 0.040368448942899704, Mean Loss 0.2465800791978836, Actions 35, Mean reward -687.5, Reward -2600, Record -200
Game 17, Game Loss 0.07803909480571747, Mean Loss 0.23666588962078094, Actions 31, Mean reward -752.9411764705883, Reward -1800, Record -200
Game 18, Game Loss 0.07736001908779144, Mean Loss 0.22781556844711304, Actions 23, Mean reward -766.6666666666666, Reward -1000, Record -200
Game 19, Game Loss 0.009782136417925358, Mean Loss 0.21634013950824738, Actions 6, Mean reward -752.6315789473684, Reward -500, Record -200
Game 20, Game Loss 0.0025706954766064882, Mean Loss 0.2056516706943512, Actions 5, Mean reward -735.0, Reward -400, Record -200
Game 21, Game Loss 0.017771752551198006, Mean Loss 0.19670499861240387, Actions 7, Mean reward -719.047619047619, Reward -400, Record -200
Game 22, Game Loss 0.06458739191293716, Mean Loss 0.19069966673851013, Actions 9, Mean reward -713.6363636363636, Reward -600, Record -200
Game 23, Game Loss 0.027686571702361107, Mean Loss 0.1836121380329132, Actions 5, Mean reward -691.304347826087, Reward -200, Record -200
Game 24, Game Loss 0.008842647075653076, Mean Loss 0.1763300746679306, Actions 5, Mean reward -679.1666666666666, Reward -400, Record -200
Game 25, Game Loss 0.011475669220089912, Mean Loss 0.1697358936071396, Actions 5, Mean reward -668.0, Reward -400, Record -200
Game 26, Game Loss 0.09788035601377487, Mean Loss 0.16697221994400024, Actions 15, Mean reward -673.0769230769231, Reward -800, Record -200
Game 27, Game Loss 0.07981880754232407, Mean Loss 0.16374431550502777, Actions 7, Mean reward -670.3703703703703, Reward -600, Record -200
Game 28, Game Loss 0.03810829296708107, Mean Loss 0.15925730764865875, Actions 14, Mean reward -678.5714285714286, Reward -900, Record -200
Game 29, Game Loss 0.02213076315820217, Mean Loss 0.15452881157398224, Actions 16, Mean reward -700.0, Reward -1300, Record -200
Game 30, Game Loss 0.11811546981334686, Mean Loss 0.15331503748893738, Actions 17, Mean reward -690.0, Reward -400, Record -200
Game 31, Game Loss 0.10490766912698746, Mean Loss 0.1517535001039505, Actions 13, Mean reward -706.4516129032259, Reward -1200, Record -200
Game 32, Game Loss 0.10811281949281693, Mean Loss 0.15038973093032837, Actions 14, Mean reward -706.25, Reward -700, Record -200
Game 33, Game Loss 0.09475330263376236, Mean Loss 0.14870378375053406, Actions 6, Mean reward -687.8787878787879, Reward -100, Record -100
