Command main.py play --no-gui --agents ppo_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss -231724704.0, Mean Loss -231724704.0, Actions 48, Mean reward 4821.571428571428, Final reward 1.5,  Reward 4821.571428571428, Record 4821.571428571428
Game 2, Game Loss -86648344.0, Mean Loss -159186528.0, Actions 7, Mean reward 2806.035714285714, Final reward 1.5,  Reward 790.5, Record 4821.571428571428
Game 3, Game Loss -5269757440.0, Mean Loss -1862710144.0, Actions 11, Mean reward 2204.0238095238096, Final reward 0.0,  Reward 1000.0, Record 4821.571428571428
Game 4, Game Loss -3583168256.0, Mean Loss -2292824576.0, Actions 31, Mean reward 2493.357142857142, Final reward 1.5,  Reward 3361.357142857141, Record 4821.571428571428
Game 5, Game Loss -62426423296.0, Mean Loss -14319544320.0, Actions 16, Mean reward 2302.2857142857138, Final reward 0.5,  Reward 1538.0, Record 4821.571428571428
Game 6, Game Loss -99169140736.0, Mean Loss -28461144064.0, Actions 15, Mean reward 2159.821428571428, Final reward 0.5,  Reward 1447.5, Record 4821.571428571428
Game 7, Game Loss -330200317952.0, Mean Loss -71566737408.0, Actions 10, Mean reward 1979.84693877551, Final reward 0.0,  Reward 900.0, Record 4821.571428571428
Game 8, Game Loss -852559790080.0, Mean Loss -169190866944.0, Actions 9, Mean reward 1837.928571428571, Final reward 0.5,  Reward 844.5, Record 4821.571428571428
Game 9, Game Loss -176822222848.0, Mean Loss -170038804480.0, Actions 30, Mean reward 1974.0846560846558, Final reward 1.0,  Reward 3063.3333333333335, Record 4821.571428571428
Game 10, Game Loss -2823981105152.0, Mean Loss -435433046016.0, Actions 80, Mean reward 2578.12619047619, Final reward 1.0,  Reward 8014.5, Record 8014.5
Game 11, Game Loss -3160782667776.0, Mean Loss -683192090624.0, Actions 25, Mean reward 2568.523809523809, Final reward 0.5,  Reward 2472.5, Record 8014.5
Game 12, Game Loss -8764580691968.0, Mean Loss -1356641206272.0, Actions 5, Mean reward 2391.3551587301586, Final reward 0.5,  Reward 442.5, Record 8014.5
Game 13, Game Loss -17282150432768.0, Mean Loss -2581680357376.0, Actions 13, Mean reward 2301.7509157509153, Final reward 0.5,  Reward 1226.5, Record 8014.5
Game 14, Game Loss -38919974420480.0, Mean Loss -5177272696832.0, Actions 53, Mean reward 2508.768707482993, Final reward 0.0,  Reward 5200.0, Record 8014.5
Game 15, Game Loss -49182257709056.0, Mean Loss -8110938259456.0, Actions 34, Mean reward 2567.9538239538238, Final reward 1.0,  Reward 3396.5454545454545, Record 8014.5
Game 16, Game Loss -289371341193216.0, Mean Loss -25689713541120.0, Actions 8, Mean reward 2451.20670995671, Final reward 0.0,  Reward 700.0, Record 8014.5
Game 17, Game Loss -132238603714560.0, Mean Loss -31957295562752.0, Actions 54, Mean reward 2641.7720906544437, Final reward 1.5,  Reward 5690.818181818182, Record 8014.5
Game 18, Game Loss -221967886057472.0, Mean Loss -42513440178176.0, Actions 12, Mean reward 2570.356180856181, Final reward 1.5,  Reward 1356.2857142857142, Record 8014.5
Game 19, Game Loss -47891615842304.0, Mean Loss -42796501172224.0, Actions 20, Mean reward 2550.310226102211, Final reward 2.0,  Reward 2189.483040530752, Record 8014.5
Game 20, Game Loss -229731542761472.0, Mean Loss -52143255977984.0, Actions 32, Mean reward 2581.4613814637673, Final reward 0.5,  Reward 3173.3333333333344, Record 8014.5
Game 21, Game Loss -115495990722560.0, Mean Loss -55160055267328.0, Actions 5, Mean reward 2481.5108394893023, Final reward 0.5,  Reward 482.5, Record 8014.5
Game 22, Game Loss -106104239423488.0, Mean Loss -57475696951296.0, Actions 25, Mean reward 2483.3155415904375, Final reward 1.5,  Reward 2521.2142857142853, Record 8014.5
Game 23, Game Loss -338891039047680.0, Mean Loss -69711148613632.0, Actions 41, Mean reward 2559.236604999549, Final reward 1.5,  Reward 4229.5, Record 8014.5
Game 24, Game Loss -218208749486080.0, Mean Loss -75898548125696.0, Actions 32, Mean reward 2588.2981750293297, Final reward 1.5,  Reward 3256.714285714286, Record 8014.5
Game 25, Game Loss -666526445207552.0, Mean Loss -99523670048768.0, Actions 42, Mean reward 2646.686248028156, Final reward 0.0,  Reward 4048.0, Record 8014.5
Game 26, Game Loss -365451284578304.0, Mean Loss -109751656513536.0, Actions 36, Mean reward 2686.018828232201, Final reward 1.0,  Reward 3669.3333333333335, Record 8014.5
Game 27, Game Loss -273756836593664.0, Mean Loss -115825923063808.0, Actions 29, Mean reward 2694.8946741001446, Final reward 1.0,  Reward 2925.666666666667, Record 8014.5
Game 28, Game Loss -1373120371884032.0, Mean Loss -160729302827008.0, Actions 28, Mean reward 2695.0770071679967, Final reward 0.0,  Reward 2700.0, Record 8014.5
Game 29, Game Loss -1371721823158272.0, Mean Loss -202487659233280.0, Actions 15, Mean reward 2650.419179334617, Final reward 0.0,  Reward 1400.0, Record 8014.5
Game 30, Game Loss -2335865208569856.0, Mean Loss -273600238059520.0, Actions 16, Mean reward 2613.760762245686, Final reward 0.5,  Reward 1550.6666666666667, Record 8014.5
