Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 1, Game Loss -10968334336.0, Mean Loss -10968334336.0, Actions 17, Mean reward 620.0, Final reward 0.0,  Reward 620.0, Record 620.0
Game 2, Game Loss -85296649601024.0, Mean Loss -42653810950144.0, Actions 36, Mean reward 938.0, Final reward 0.0,  Reward 1256.0, Record 1256.0
Game 3, Game Loss -2566810163478528.0, Mean Loss -884039292551168.0, Actions 31, Mean reward 741.3333333333334, Final reward 0.0,  Reward 348.0, Record 1256.0
Game 4, Game Loss -6249610133635072.0, Mean Loss -2225431935713280.0, Actions 14, Mean reward 713.0, Final reward 0.0,  Reward 628.0, Record 1256.0
Game 5, Game Loss -1.0594913372602368e+16, Mean Loss -3899328330465280.0, Actions 12, Mean reward 610.2, Final reward 0.0,  Reward 199.0, Record 1256.0
Game 6, Game Loss -1.3440610526560256e+16, Mean Loss -5489542119292928.0, Actions 12, Mean reward 395.1666666666667, Final reward 0.0,  Reward -680.0, Record 1256.0
Game 7, Game Loss -1.7922229585051648e+16, Mean Loss -7265640482078720.0, Actions 13, Mean reward 359.85714285714283, Final reward 0.0,  Reward 148.0, Record 1256.0
Game 8, Game Loss -2.1623629179518976e+16, Mean Loss -9060389203476480.0, Actions 14, Mean reward 204.875, Final reward 0.0,  Reward -880.0, Record 1256.0
Game 9, Game Loss -5.089251918925005e+16, Mean Loss -1.3708403884949504e+16, Actions 30, Mean reward 426.1111111111111, Final reward 0.0,  Reward 2196.0, Record 2196.0
Game 10, Game Loss -9.639894323088589e+16, Mean Loss -2.197745717529805e+16, Actions 26, Mean reward 508.3, Final reward 0.0,  Reward 1248.0, Record 2196.0
Game 11, Game Loss -1.3072815297134592e+17, Mean Loss -3.1863883480170496e+16, Actions 19, Mean reward 493.72727272727275, Final reward 0.0,  Reward 348.0, Record 2196.0
Game 12, Game Loss -1.7821734866518016e+17, Mean Loss -4.406000790536192e+16, Actions 19, Mean reward 548.25, Final reward 0.0,  Reward 1148.0, Record 2196.0
Game 13, Game Loss -2.6202054438630195e+17, Mean Loss -6.082620301928038e+16, Actions 18, Mean reward 602.0769230769231, Final reward 0.0,  Reward 1248.0, Record 2196.0
Game 14, Game Loss -3.0850701983534285e+17, Mean Loss -7.85176887075799e+16, Actions 25, Mean reward 673.3571428571429, Final reward 0.0,  Reward 1600.0, Record 2196.0
Game 15, Game Loss -3.525412235771904e+17, Mean Loss -9.678591978425549e+16, Actions 8, Mean reward 635.1333333333333, Final reward 0.0,  Reward 100.0, Record 2196.0
Game 16, Game Loss -3.992602972751135e+17, Mean Loss -1.1569057052491776e+17, Actions 17, Mean reward 617.1875, Final reward 0.0,  Reward 348.0, Record 2196.0
Game 17, Game Loss -5.340860208455352e+17, Mean Loss -1.4030206457085952e+17, Actions 18, Mean reward 630.7647058823529, Final reward 0.0,  Reward 848.0, Record 2196.0
Game 18, Game Loss -5.999388989692314e+17, Mean Loss -1.6583744903184384e+17, Actions 16, Mean reward 666.8333333333334, Final reward 0.0,  Reward 1280.0, Record 2196.0
Game 19, Game Loss -7.558996068474552e+17, Mean Loss -1.96893343936938e+17, Actions 26, Mean reward 707.9473684210526, Final reward 0.0,  Reward 1448.0, Record 2196.0
Game 20, Game Loss -8.12840015515091e+17, Mean Loss -2.2769068181081293e+17, Actions 9, Mean reward 682.55, Final reward 0.0,  Reward 200.0, Record 2196.0
Game 21, Game Loss -9.22980156853715e+17, Mean Loss -2.6079970852234854e+17, Actions 31, Mean reward 733.2857142857143, Final reward 0.0,  Reward 1748.0, Record 2196.0
