Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 1, Game Loss -1.1025902603337728e+17, Mean Loss -1.1025902603337728e+17, Actions 34, Mean reward 811.0, Final reward 0.0,  Reward 811.0, Record 811.0
Game 2, Game Loss -1.4837925909511537e+18, Mean Loss -7.970258084922655e+17, Actions 15, Mean reward 253.5, Final reward 0.0,  Reward -304.0, Record 811.0
Game 3, Game Loss -4.046115653919179e+18, Mean Loss -1.8800556195289498e+18, Actions 11, Mean reward 35.666666666666664, Final reward 0.0,  Reward -400.0, Record 811.0
Game 4, Game Loss -6.578532000611697e+18, Mean Loss -3.054674749159375e+18, Actions 9, Mean reward 136.75, Final reward 0.0,  Reward 440.0, Record 811.0
Game 5, Game Loss -6.445168277036886e+19, Mean Loss -1.5334076133498946e+19, Actions 12, Mean reward 186.2, Final reward 0.0,  Reward 384.0, Record 811.0
Game 6, Game Loss -1.0432816355613029e+20, Mean Loss -3.0166423121011147e+19, Actions 15, Mean reward 155.16666666666666, Final reward 0.0,  Reward 0.0, Record 811.0
Game 7, Game Loss -1.6833021643948294e+20, Mean Loss -4.9904105995915756e+19, Actions 14, Mean reward 124.42857142857143, Final reward 0.0,  Reward -60.0, Record 811.0
Game 8, Game Loss -1.87682588658573e+20, Mean Loss -6.712641632874791e+19, Actions 5, Mean reward 138.875, Final reward 0.0,  Reward 240.0, Record 811.0
Game 9, Game Loss -1.9589861453033846e+20, Mean Loss -8.14344403058342e+19, Actions 7, Mean reward 145.66666666666666, Final reward 0.0,  Reward 200.0, Record 811.0
Game 10, Game Loss -3.075173933996468e+20, Mean Loss -1.0404273913365266e+20, Actions 16, Mean reward 95.9, Final reward 0.0,  Reward -352.0, Record 811.0
Game 11, Game Loss -3.215126107166773e+20, Mean Loss -1.238127322572511e+20, Actions 6, Mean reward 78.0909090909091, Final reward 0.0,  Reward -100.0, Record 811.0
Game 12, Game Loss -4.334979931509652e+20, Mean Loss -1.4961983586571177e+20, Actions 19, Mean reward 103.25, Final reward 0.0,  Reward 380.0, Record 811.0
Game 13, Game Loss -6.18654695737281e+20, Mean Loss -1.85699439117972e+20, Actions 6, Mean reward 72.23076923076923, Final reward 0.0,  Reward -300.0, Record 811.0
Game 14, Game Loss -5.124038733722634e+20, Mean Loss -2.090354563137038e+20, Actions 6, Mean reward 45.642857142857146, Final reward 0.0,  Reward -300.0, Record 811.0
Game 15, Game Loss -1.2381901266766896e+21, Mean Loss -2.776457735352982e+20, Actions 23, Mean reward -22.733333333333334, Final reward 0.0,  Reward -980.0, Record 811.0
Game 16, Game Loss -1.3639055769999466e+21, Mean Loss -3.4553699256014104e+20, Actions 12, Mean reward -1.3125, Final reward 0.0,  Reward 320.0, Record 811.0
Game 17, Game Loss -1.9803898191918116e+21, Mean Loss -4.4170481830942946e+20, Actions 8, Mean reward 9.682765706115614, Final reward 0.0,  Reward 185.60701700396544, Record 811.0
Game 18, Game Loss -1.617580818373263e+21, Mean Loss -5.0703125493867086e+20, Actions 8, Mean reward 15.811500944664747, Final reward 0.0,  Reward 120.0, Record 811.0
Game 19, Game Loss -2.566035099985304e+21, Mean Loss -6.153998598440873e+20, Actions 9, Mean reward -16.59963068400182, Final reward 0.0,  Reward -600.0, Record 811.0
Game 20, Game Loss -1.810492086199213e+21, Mean Loss -6.751544641249692e+20, Actions 8, Mean reward 9.230350850198272, Final reward 0.0,  Reward 500.0, Record 811.0
Game 21, Game Loss -4.0530614909731886e+21, Mean Loss -8.360072098472033e+20, Actions 35, Mean reward 28.790810333522163, Final reward 0.0,  Reward 420.0, Record 811.0
Game 22, Game Loss -4.0699232494530404e+21, Mean Loss -9.830033646784369e+20, Actions 5, Mean reward 19.3003189547257, Final reward 0.0,  Reward -180.0, Record 811.0
Game 23, Game Loss -4.9395463824501e+21, Mean Loss -1.1550269374326427e+21, Actions 9, Mean reward 19.330739869737627, Final reward 0.0,  Reward 20.0, Record 811.0
Game 24, Game Loss -4.069242642959354e+21, Mean Loss -1.276452568373341e+21, Actions 5, Mean reward 11.025292375165227, Final reward 0.0,  Reward -180.0, Record 811.0
Game 25, Game Loss -5.112124883120891e+21, Mean Loss -1.4298795116287387e+21, Actions 8, Mean reward -1.4157193198413824, Final reward 0.0,  Reward -300.0, Record 811.0
Game 26, Game Loss -8.996012313266604e+21, Mean Loss -1.720884668100864e+21, Actions 27, Mean reward -15.207422422924406, Final reward 0.0,  Reward -360.0, Record 811.0
Game 27, Game Loss -7.986688082778465e+21, Mean Loss -1.9529514977245685e+21, Actions 5, Mean reward -21.310851222075353, Final reward 0.0,  Reward -180.0, Record 811.0
Game 28, Game Loss -1.1464878873591669e+22, Mean Loss -2.2926632249041942e+21, Actions 15, Mean reward -19.835463678429807, Final reward 0.0,  Reward 20.0, Record 811.0
Game 29, Game Loss -8.140389745611132e+21, Mean Loss -2.494309083469941e+21, Actions 5, Mean reward -26.048033896414985, Final reward 0.0,  Reward -200.0, Record 811.0
Game 30, Game Loss -9.681459050652486e+21, Mean Loss -2.733880598922705e+21, Actions 6, Mean reward -27.846432766534484, Final reward 0.0,  Reward -80.0, Record 811.0
Game 31, Game Loss -1.4070850769172587e+22, Mean Loss -3.099589495688815e+21, Actions 16, Mean reward -29.52880590309789, Final reward 0.0,  Reward -80.0, Record 811.0
Game 32, Game Loss -1.5227540660767636e+22, Mean Loss -3.4785879520053423e+21, Actions 16, Mean reward -29.10603071862608, Final reward 0.0,  Reward -16.0, Record 811.0
Game 33, Game Loss -1.837283324842496e+22, Mean Loss -3.929928573561252e+21, Actions 14, Mean reward -30.648272212001046, Final reward 0.0,  Reward -80.0, Record 811.0
Game 34, Game Loss -2.3626086307168854e+22, Mean Loss -4.509227438054849e+21, Actions 27, Mean reward -35.04097008811866, Final reward 0.0,  Reward -180.0, Record 811.0
Game 35, Game Loss -2.1228863009716e+22, Mean Loss -4.986931568879432e+21, Actions 7, Mean reward -39.18265665702956, Final reward 0.0,  Reward -180.0, Record 811.0
Game 36, Game Loss -2.198258319155291e+22, Mean Loss -5.459033221767566e+21, Actions 6, Mean reward -40.87202730544541, Final reward 0.0,  Reward -100.0, Record 811.0
Game 37, Game Loss -2.9437265553949727e+22, Mean Loss -6.107093326846832e+21, Actions 12, Mean reward -41.92954008097391, Final reward 0.0,  Reward -80.0, Record 811.0
Game 38, Game Loss -3.602382954857498e+22, Mean Loss -6.89437602195677e+21, Actions 15, Mean reward -61.87876271042196, Final reward 0.0,  Reward -800.0, Record 811.0
Game 39, Game Loss -3.2954362941943784e+22, Mean Loss -7.562580728169265e+21, Actions 5, Mean reward -48.49725597425729, Final reward 0.0,  Reward 460.0, Record 811.0
Game 40, Game Loss -2.8111754852622974e+22, Mean Loss -8.076309715363138e+21, Actions 5, Mean reward -46.78482457490086, Final reward 0.0,  Reward 20.0, Record 811.0
Game 41, Game Loss -3.885922831997303e+22, Mean Loss -8.827112127591468e+21, Actions 7, Mean reward -50.03397519502523, Final reward 0.0,  Reward -180.0, Record 811.0
Game 42, Game Loss -4.09450254513934e+22, Mean Loss -9.591825033168838e+21, Actions 17, Mean reward -81.69983292847701, Final reward 0.0,  Reward -1380.0, Record 811.0
Game 43, Game Loss -4.4242777271336195e+22, Mean Loss -1.0397660869893682e+22, Actions 9, Mean reward -78.1207314058484, Final reward 0.0,  Reward 72.20153254455283, Record 811.0
Game 44, Game Loss -4.343347591469809e+22, Mean Loss -1.1148475104071034e+22, Actions 10, Mean reward -69.52707841935185, Final reward 0.0,  Reward 300.0, Record 811.0
Game 45, Game Loss -4.5962670443831595e+22, Mean Loss -1.192212371425906e+22, Actions 8, Mean reward -55.5375877878107, Final reward 0.0,  Reward 560.0, Record 811.0
Game 46, Game Loss -3.813916578995127e+22, Mean Loss -1.2492059876602331e+22, Actions 8, Mean reward -64.76503153155394, Final reward 0.0,  Reward -480.0, Record 811.0
Game 47, Game Loss -5.6590823290854286e+22, Mean Loss -1.3430330815769446e+22, Actions 13, Mean reward -59.1317329883294, Final reward 0.0,  Reward 200.0, Record 811.0
Game 48, Game Loss -5.5146455839961785e+22, Mean Loss -1.4299416331560988e+22, Actions 8, Mean reward -55.39982188440587, Final reward 0.0,  Reward 120.0, Record 811.0
Game 49, Game Loss -6.665668821360089e+22, Mean Loss -1.5367931371951657e+22, Actions 18, Mean reward -65.53451939696902, Final reward 0.0,  Reward -552.0, Record 811.0
Game 50, Game Loss -6.597396502808966e+22, Mean Loss -1.63800534637083e+22, Actions 18, Mean reward -61.14382900902963, Final reward 0.0,  Reward 154.0, Record 811.0
Game 51, Game Loss -5.502077838876038e+22, Mean Loss -1.7137714295219161e+22, Actions 5, Mean reward -63.47434216571533, Final reward 0.0,  Reward -180.0, Record 811.0
Game 52, Game Loss -7.2027041618055855e+22, Mean Loss -1.8193279234881326e+22, Actions 10, Mean reward -67.63829712406695, Final reward 0.0,  Reward -280.0, Record 811.0
Game 53, Game Loss -6.884869373503354e+22, Mean Loss -1.9149042155001148e+22, Actions 7, Mean reward -69.75832925380153, Final reward 0.0,  Reward -180.0, Record 811.0
Game 54, Game Loss -9.15852830869997e+22, Mean Loss -2.0490452814812332e+22, Actions 14, Mean reward -84.7628046379904, Final reward 0.0,  Reward -880.0, Record 811.0
Game 55, Game Loss -9.228047673987912e+22, Mean Loss -2.1795726591213496e+22, Actions 7, Mean reward -90.1307536445724, Final reward 0.0,  Reward -380.0, Record 811.0
Game 56, Game Loss -6.968403040111747e+22, Mean Loss -2.2650874592058233e+22, Actions 5, Mean reward -88.16413304377646, Final reward 0.0,  Reward 20.0, Record 811.0
Game 57, Game Loss -8.958107316642877e+22, Mean Loss -2.3825089115703287e+22, Actions 9, Mean reward -97.14370965704353, Final reward 0.0,  Reward -600.0, Record 811.0
Game 58, Game Loss -7.670147178649177e+22, Mean Loss -2.4736750536472083e+22, Actions 7, Mean reward -95.46881811123244, Final reward 0.0,  Reward 0.0, Record 811.0
Game 59, Game Loss -1.0885689390274021e+23, Mean Loss -2.616251586910373e+22, Actions 11, Mean reward -96.90155000765223, Final reward 0.0,  Reward -180.0, Record 811.0
Game 60, Game Loss -1.1341754513019024e+23, Mean Loss -2.7616764217578683e+22, Actions 18, Mean reward -90.28652417419136, Final reward 0.0,  Reward 300.0, Record 811.0
Game 61, Game Loss -1.1150111036635676e+23, Mean Loss -2.899191809759794e+22, Actions 10, Mean reward -89.79002377789314, Final reward 0.0,  Reward -60.0, Record 811.0
Game 62, Game Loss -1.224985854044216e+23, Mean Loss -3.0500090296211213e+22, Actions 16, Mean reward -94.48695887824971, Final reward 0.0,  Reward -381.0, Record 811.0
Game 63, Game Loss -1.563516484074066e+23, Mean Loss -3.249773171672562e+22, Actions 10, Mean reward -104.09827699129336, Final reward 0.0,  Reward -700.0, Record 811.0
Game 64, Game Loss -1.1943465146993263e+23, Mean Loss -3.3856120947131992e+22, Actions 9, Mean reward -102.1592414133044, Final reward 0.0,  Reward 20.0, Record 811.0
Game 65, Game Loss -1.2970645249284e+23, Mean Loss -3.5330741328521355e+22, Actions 8, Mean reward -105.20294539156126, Final reward 0.0,  Reward -300.0, Record 811.0
Game 66, Game Loss -1.3909407981530423e+23, Mean Loss -3.6902911929639376e+22, Actions 6, Mean reward -104.82108258259821, Final reward 0.0,  Reward -80.0, Record 811.0
Game 67, Game Loss -1.547130226901871e+23, Mean Loss -3.866127259835196e+22, Actions 6, Mean reward -98.18196194703704, Final reward 0.0,  Reward 340.0, Record 811.0
Game 68, Game Loss -1.5291075417690747e+23, Mean Loss -4.034141249693656e+22, Actions 6, Mean reward -91.73810956546296, Final reward 0.0,  Reward 340.0, Record 811.0
Game 69, Game Loss -1.7036074356668887e+23, Mean Loss -4.22257546098254e+22, Actions 12, Mean reward -100.26364420944176, Final reward 0.0,  Reward -680.0, Record 811.0
Game 70, Game Loss -1.4034478347502055e+23, Mean Loss -4.362745495784819e+22, Actions 5, Mean reward -101.11702072073545, Final reward 0.0,  Reward -160.0, Record 811.0
Game 71, Game Loss -1.5869312389687205e+23, Mean Loss -4.52480978017556e+22, Actions 8, Mean reward -101.10128803452791, Final reward 0.0,  Reward -100.0, Record 811.0
Game 72, Game Loss -1.901582252550379e+23, Mean Loss -4.726073846082897e+22, Actions 19, Mean reward -95.1971034784928, Final reward 0.0,  Reward 324.0, Record 811.0
Game 73, Game Loss -2.1727252511399066e+23, Mean Loss -4.958966692173256e+22, Actions 7, Mean reward -99.37248562262303, Final reward 0.0,  Reward -400.0, Record 811.0
Game 74, Game Loss -2.4042248636495428e+23, Mean Loss -5.216848661516006e+22, Actions 16, Mean reward -111.59718176285787, Final reward 0.0,  Reward -1004.0, Record 811.0
Game 75, Game Loss -2.0626365596886858e+23, Mean Loss -5.422309181556127e+22, Actions 7, Mean reward -107.17588600601977, Final reward 0.0,  Reward 220.0, Record 811.0
Game 76, Game Loss -1.8894335223395694e+23, Mean Loss -5.59957266432928e+22, Actions 6, Mean reward -101.29199276909846, Final reward 0.0,  Reward 340.0, Record 811.0
Game 77, Game Loss -1.7574180653105773e+23, Mean Loss -5.755086913421974e+22, Actions 7, Mean reward -105.17131753833094, Final reward 0.0,  Reward -400.0, Record 811.0
Game 78, Game Loss -2.488801203643665e+23, Mean Loss -6.0003808714462606e+22, Actions 25, Mean reward -84.77168526219849, Final reward 0.0,  Reward 1486.0, Record 1486.0
Game 79, Game Loss -2.419195909674833e+23, Mean Loss -6.230653973633379e+22, Actions 6, Mean reward -84.71128418293016, Final reward 0.0,  Reward -80.0, Record 1486.0
Game 80, Game Loss -2.6668911870204338e+23, Mean Loss -6.486132371855001e+22, Actions 8, Mean reward -79.65239313064353, Final reward 0.0,  Reward 320.0, Record 1486.0
Game 81, Game Loss -2.2973083276318567e+23, Mean Loss -6.6896748088138245e+22, Actions 5, Mean reward -80.89125247470966, Final reward 0.0,  Reward -180.0, Record 1486.0
Game 82, Game Loss -2.9577039271984798e+23, Mean Loss -6.968788998599813e+22, Actions 7, Mean reward -75.02672500550588, Final reward 0.0,  Reward 400.0, Record 1486.0
Game 83, Game Loss -3.169819326335973e+23, Mean Loss -7.266733639147763e+22, Actions 7, Mean reward -66.17098133074076, Final reward 0.0,  Reward 660.0, Record 1486.0
Game 84, Game Loss -2.9239662013819517e+23, Mean Loss -7.5283157659443605e+22, Actions 12, Mean reward -66.57370774347002, Final reward 0.0,  Reward -100.0, Record 1486.0
Game 85, Game Loss -3.134757542228998e+23, Mean Loss -7.808542795198272e+22, Actions 6, Mean reward -69.31989941707627, Final reward 0.0,  Reward -300.0, Record 1486.0
Game 86, Game Loss -2.8966082747975567e+23, Mean Loss -8.054560031322715e+22, Actions 8, Mean reward -69.44408663315677, Final reward 0.0,  Reward -80.0, Record 1486.0
Game 87, Game Loss -2.9693572614502786e+23, Mean Loss -8.303283930823207e+22, Actions 15, Mean reward -61.18062279246058, Final reward 0.0,  Reward 649.4772675074119, Record 1486.0
Game 88, Game Loss -3.46708428362816e+23, Mean Loss -8.60291561979157e+22, Actions 10, Mean reward -58.894479351637166, Final reward 0.0,  Reward 140.0, Record 1486.0
Game 89, Game Loss -3.6467108951977876e+23, Mean Loss -8.915996858687112e+22, Actions 15, Mean reward -67.22150767352889, Final reward 0.0,  Reward -800.0, Record 1486.0
Game 90, Game Loss -2.436771837724594e+23, Mean Loss -9.08768308368173e+22, Actions 5, Mean reward -66.03015758826746, Final reward 0.0,  Reward 40.0, Record 1486.0
Game 91, Game Loss -3.245728759063198e+23, Mean Loss -9.344491845233278e+22, Actions 5, Mean reward -65.08477124114363, Final reward 0.0,  Reward 20.0, Record 1486.0
Game 92, Game Loss -3.18128873357899e+23, Mean Loss -9.588713045826325e+22, Actions 8, Mean reward -63.290371553739895, Final reward 0.0,  Reward 100.0, Record 1486.0
Game 93, Game Loss -2.8097581574235676e+23, Mean Loss -9.787733418399306e+22, Actions 5, Mean reward -62.394776160688934, Final reward 0.0,  Reward 20.0, Record 1486.0
Game 94, Game Loss -4.25896337503579e+23, Mean Loss -1.0136689431206556e+23, Actions 17, Mean reward -65.85866152068161, Final reward 0.0,  Reward -388.0, Record 1486.0
Game 95, Game Loss -4.1746959819761056e+23, Mean Loss -1.046942888247557e+23, Actions 19, Mean reward -67.81804403099022, Final reward 0.0,  Reward -252.0, Record 1486.0
Game 96, Game Loss -3.944767044872511e+23, Mean Loss -1.0771285349659854e+23, Actions 7, Mean reward -68.98660607233407, Final reward 0.0,  Reward -180.0, Record 1486.0
Game 97, Game Loss -4.5563025516498365e+23, Mean Loss -1.1129962832622746e+23, Actions 8, Mean reward -67.03829054581516, Final reward 0.0,  Reward 120.0, Record 1486.0
Game 98, Game Loss -4.731086532612145e+23, Mean Loss -1.1499155319995623e+23, Actions 18, Mean reward -67.1705528871844, Final reward 0.0,  Reward -80.0, Record 1486.0
Game 99, Game Loss -5.203871539189738e+23, Mean Loss -1.190864601683421e+23, Actions 11, Mean reward -68.31024427216234, Final reward 0.0,  Reward -180.0, Record 1486.0
Game 100, Game Loss -4.025429036214508e+23, Mean Loss -1.219210257738091e+23, Actions 5, Mean reward -67.4271418294407, Final reward 0.0,  Reward 20.0, Record 1486.0
Game 101, Game Loss -5.977768297717233e+23, Mean Loss -1.2663246652398274e+23, Actions 21, Mean reward -69.25459587073337, Final reward 0.0,  Reward -252.0, Record 1486.0
Game 102, Game Loss -5.032835273693342e+23, Mean Loss -1.303251299880504e+23, Actions 9, Mean reward -68.37955081317716, Final reward 0.0,  Reward 20.0, Record 1486.0
Game 103, Game Loss -5.620728323578853e+23, Mean Loss -1.3451684633402623e+23, Actions 7, Mean reward -67.52149692178709, Final reward 0.0,  Reward 20.0, Record 1486.0
Game 104, Game Loss -7.205379660272214e+23, Mean Loss -1.401516691229989e+23, Actions 30, Mean reward -54.48763637446222, Final reward 0.0,  Reward 1288.0, Record 1486.0
Game 105, Game Loss -7.098309281291257e+23, Mean Loss -1.455771826156899e+23, Actions 19, Mean reward -58.29251602803877, Final reward 0.0,  Reward -454.0, Record 1486.0
Game 106, Game Loss -5.908717306790538e+23, Mean Loss -1.4977807729770632e+23, Actions 5, Mean reward -57.55390738626482, Final reward 0.0,  Reward 20.0, Record 1486.0
Game 107, Game Loss -6.41193475734614e+23, Mean Loss -1.5437074911850695e+23, Actions 9, Mean reward -57.01602040134645, Final reward 0.0,  Reward 0.0, Record 1486.0
Game 108, Game Loss -6.899789889140825e+23, Mean Loss -1.5933007699937032e+23, Actions 5, Mean reward -58.339946138371026, Final reward 0.0,  Reward -200.0, Record 1486.0
Game 109, Game Loss -9.578051764500444e+23, Mean Loss -1.6665554208125862e+23, Actions 51, Mean reward -39.95150626554193, Final reward 0.0,  Reward 1946.0, Record 1946.0
Game 110, Game Loss -9.963399204168653e+23, Mean Loss -1.741981347083817e+23, Actions 11, Mean reward -37.40649257221882, Final reward 0.0,  Reward 240.0, Record 1946.0
Game 111, Game Loss -1.2478356233584176e+24, Mean Loss -1.8387053364248383e+23, Actions 21, Mean reward -49.50192957607271, Final reward 0.0,  Reward -1380.0, Record 1946.0
Game 112, Game Loss -1.1199774211310527e+24, Mean Loss -1.9222863809013117e+23, Actions 12, Mean reward -46.381376633429205, Final reward 0.0,  Reward 300.0, Record 1946.0
