Command main.py play --no-gui --agents simple_net_ppo rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 1, Game Loss 178763743232.0, Mean Loss 178763743232.0, Actions 9, Mean reward -400.0, Final reward 0.0,  Reward -400.0, Record -400.0
Game 2, Game Loss 60754415616.0, Mean Loss 119759077376.0, Actions 11, Mean reward -300.0, Final reward 0.0,  Reward -200.0, Record -200.0
Game 3, Game Loss 27641051136.0, Mean Loss 89053069312.0, Actions 8, Mean reward -100.0, Final reward 0.0,  Reward 300.0, Record 300.0
Game 4, Game Loss -4903265632256.0, Mean Loss -1159026573312.0, Actions 39, Mean reward -438.0, Final reward 0.0,  Reward -1452.0, Record 300.0
Game 5, Game Loss -54032961896448.0, Mean Loss -11733813952512.0, Actions 13, Mean reward -470.4, Final reward 0.0,  Reward -600.0, Record 300.0
Game 6, Game Loss -393232173236224.0, Mean Loss -75316873658368.0, Actions 25, Mean reward -534.0, Final reward 0.0,  Reward -852.0, Record 300.0
Game 7, Game Loss -1668030274732032.0, Mean Loss -302847337955328.0, Actions 21, Mean reward -286.2857142857143, Final reward 0.0,  Reward 1200.0, Record 1200.0
Game 8, Game Loss -6640244388528128.0, Mean Loss -1095021977665536.0, Actions 30, Mean reward -88.0, Final reward 0.0,  Reward 1300.0, Record 1300.0
Game 9, Game Loss -2.408739851416371e+16, Mean Loss -3649730601025536.0, Actions 32, Mean reward 127.11111111111111, Final reward 0.0,  Reward 1848.0, Record 1848.0
Game 10, Game Loss -5.26747717033001e+16, Mean Loss -8552234979688448.0, Actions 19, Mean reward 112.4, Final reward 0.0,  Reward -20.0, Record 1848.0
Game 11, Game Loss -1.3166978160132096e+17, Mean Loss -1.974473990130893e+16, Actions 40, Mean reward 179.27272727272728, Final reward 0.0,  Reward 848.0, Record 1848.0
Game 12, Game Loss -2.361960399068201e+17, Mean Loss -3.778234626657485e+16, Actions 20, Mean reward 135.0, Final reward 0.0,  Reward -352.0, Record 1848.0
