Command main.py play --no-gui --agents train_rule_ppo rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents train_rule_ppo rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents train_rule_ppo rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents train_rule_ppo rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents train_rule_ppo rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss -107164.4140625, Mean Loss -107164.4140625, Actions 23, Mean reward -600.0, Reward -600, Record -600
Game 2, Game Loss -1593744.0, Mean Loss -850454.1875, Actions 7, Mean reward -500.0, Reward -400, Record -400
Game 3, Game Loss -6420841.0, Mean Loss -2707249.75, Actions 7, Mean reward -400.0, Reward -200, Record -200
Game 4, Game Loss -376281952.0, Mean Loss -96100928.0, Actions 32, Mean reward -925.0, Reward -2500, Record -200
Game 5, Game Loss -5522511872.0, Mean Loss -1181383040.0, Actions 22, Mean reward -1160.0, Reward -2100, Record -200
Game 6, Game Loss -19266787328.0, Mean Loss -4195617024.0, Actions 17, Mean reward -933.3333333333334, Reward 200, Record 200
Game 7, Game Loss -64420364288.0, Mean Loss -12799153152.0, Actions 18, Mean reward -842.8571428571429, Reward -300, Record 200
Game 8, Game Loss -166032506880.0, Mean Loss -31953321984.0, Actions 17, Mean reward -712.5, Reward 200, Record 200
Game 9, Game Loss -446944870400.0, Mean Loss -78063501312.0, Actions 21, Mean reward -788.8888888888889, Reward -1400, Record 200
Game 10, Game Loss -993595293696.0, Mean Loss -169616687104.0, Actions 25, Mean reward -910.0, Reward -2000, Record 200
Game 11, Game Loss -2707160301568.0, Mean Loss -400302473216.0, Actions 31, Mean reward -900.0, Reward -800, Record 200
Game 12, Game Loss -7653422530560.0, Mean Loss -1004729073664.0, Actions 36, Mean reward -966.6666666666666, Reward -1700, Record 200
Game 13, Game Loss -28388567810048.0, Mean Loss -3111178207232.0, Actions 73, Mean reward -1200.0, Reward -4000, Record 200
Game 14, Game Loss -60468945223680.0, Mean Loss -7208162033664.0, Actions 17, Mean reward -1128.5714285714287, Reward -200, Record 200
Game 15, Game Loss -86630262112256.0, Mean Loss -12502968565760.0, Actions 17, Mean reward -1053.3333333333333, Reward 0, Record 200
Game 16, Game Loss -89680544530432.0, Mean Loss -17326567063552.0, Actions 5, Mean reward -987.5, Reward 0, Record 200
Game 17, Game Loss -106057036726272.0, Mean Loss -22546007195648.0, Actions 15, Mean reward -1011.7647058823529, Reward -1400, Record 200
Game 18, Game Loss -155689511026688.0, Mean Loss -29942867820544.0, Actions 25, Mean reward -1066.6666666666667, Reward -2000, Record 200
