Command main.py play --no-gui --agents ppo_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 0.21848712861537933, Mean Loss 0.21848712861537933, Actions 7, Mean reward -200.0, Reward -200, Record -200
Game 2, Game Loss 0.37514424324035645, Mean Loss 0.2968156933784485, Actions 7, Mean reward -200.0, Reward -200, Record -200
Game 3, Game Loss 0.31083250045776367, Mean Loss 0.3014879524707794, Actions 14, Mean reward -100.0, Reward 100, Record 100
Game 4, Game Loss 0.2932552099227905, Mean Loss 0.2994297742843628, Actions 39, Mean reward -475.0, Reward -1600, Record 100
Game 5, Game Loss 0.32414743304252625, Mean Loss 0.3043733239173889, Actions 18, Mean reward -600.0, Reward -1100, Record 100
Game 6, Game Loss 0.3111068606376648, Mean Loss 0.30549558997154236, Actions 5, Mean reward -566.6666666666666, Reward -400, Record 100
Game 7, Game Loss 0.443163126707077, Mean Loss 0.3251623809337616, Actions 5, Mean reward -542.8571428571429, Reward -400, Record 100
Game 8, Game Loss 0.49612942337989807, Mean Loss 0.34653326869010925, Actions 25, Mean reward -500.0, Reward -200, Record 100
Game 9, Game Loss 0.5553222894668579, Mean Loss 0.3697320520877838, Actions 9, Mean reward -511.1111111111111, Reward -600, Record 100
Game 10, Game Loss 0.28980493545532227, Mean Loss 0.3617393374443054, Actions 44, Mean reward -810.0, Reward -3500, Record 100
Game 11, Game Loss 0.35487738251686096, Mean Loss 0.36111554503440857, Actions 17, Mean reward -827.2727272727273, Reward -1000, Record 100
Game 12, Game Loss 0.3390088677406311, Mean Loss 0.3592733144760132, Actions 9, Mean reward -808.3333333333334, Reward -600, Record 100
Game 13, Game Loss 0.34082305431365967, Mean Loss 0.35785406827926636, Actions 28, Mean reward -815.3846153846154, Reward -900, Record 100
Game 14, Game Loss 0.13781248033046722, Mean Loss 0.34213683009147644, Actions 10, Mean reward -807.1428571428571, Reward -700, Record 100
Game 15, Game Loss 0.3477074205875397, Mean Loss 0.3425081968307495, Actions 9, Mean reward -793.3333333333334, Reward -600, Record 100
Game 16, Game Loss 0.36113959550857544, Mean Loss 0.34367266297340393, Actions 14, Mean reward -812.5, Reward -1100, Record 100
Game 17, Game Loss 0.3349379003047943, Mean Loss 0.34315887093544006, Actions 23, Mean reward -764.7058823529412, Reward 0, Record 100
Game 18, Game Loss 0.3044840693473816, Mean Loss 0.3410102427005768, Actions 29, Mean reward -733.3333333333334, Reward -200, Record 100
Game 19, Game Loss 0.23337353765964508, Mean Loss 0.33534517884254456, Actions 16, Mean reward -742.1052631578947, Reward -900, Record 100
Game 20, Game Loss 0.21467016637325287, Mean Loss 0.32931143045425415, Actions 10, Mean reward -700.0, Reward 100, Record 100
Game 21, Game Loss 0.41112497448921204, Mean Loss 0.33320730924606323, Actions 12, Mean reward -680.952380952381, Reward -300, Record 100
Game 22, Game Loss 0.2854923903942108, Mean Loss 0.3310384452342987, Actions 7, Mean reward -677.2727272727273, Reward -600, Record 100
Game 23, Game Loss 0.33271336555480957, Mean Loss 0.33111128211021423, Actions 8, Mean reward -669.5652173913044, Reward -500, Record 100
Game 24, Game Loss 0.2986544072628021, Mean Loss 0.3297589123249054, Actions 19, Mean reward -716.6666666666666, Reward -1800, Record 100
Game 25, Game Loss 0.344278484582901, Mean Loss 0.3303396999835968, Actions 47, Mean reward -784.0, Reward -2400, Record 100
Game 26, Game Loss 0.47797849774360657, Mean Loss 0.3360181152820587, Actions 12, Mean reward -788.4615384615385, Reward -900, Record 100
Game 27, Game Loss 0.38042810559272766, Mean Loss 0.337662935256958, Actions 7, Mean reward -774.074074074074, Reward -400, Record 100
Game 28, Game Loss 0.4437543451786041, Mean Loss 0.3414519131183624, Actions 39, Mean reward -817.8571428571429, Reward -2000, Record 100
Game 29, Game Loss 0.4427856206893921, Mean Loss 0.3449461758136749, Actions 14, Mean reward -834.4827586206897, Reward -1300, Record 100
Game 30, Game Loss 0.44047924876213074, Mean Loss 0.34813061356544495, Actions 50, Mean reward -923.3333333333334, Reward -3500, Record 100
Game 31, Game Loss 0.13259479403495789, Mean Loss 0.3411778509616852, Actions 8, Mean reward -896.7741935483871, Reward -100, Record 100
Game 32, Game Loss 0.13626331090927124, Mean Loss 0.3347742557525635, Actions 35, Mean reward -931.25, Reward -2000, Record 100
Game 33, Game Loss 0.166731059551239, Mean Loss 0.32968202233314514, Actions 12, Mean reward -912.1212121212121, Reward -300, Record 100
Game 34, Game Loss 0.29653215408325195, Mean Loss 0.3287070095539093, Actions 14, Mean reward -894.1176470588235, Reward -300, Record 100
Game 35, Game Loss 0.29713836312294006, Mean Loss 0.3278050422668457, Actions 21, Mean reward -920.0, Reward -1800, Record 100
Game 36, Game Loss 0.28410112857818604, Mean Loss 0.3265910744667053, Actions 6, Mean reward -902.7777777777778, Reward -300, Record 100
Game 37, Game Loss 0.24576763808727264, Mean Loss 0.3244066536426544, Actions 12, Mean reward -891.8918918918919, Reward -500, Record 100
Game 38, Game Loss 0.22304479777812958, Mean Loss 0.32173922657966614, Actions 36, Mean reward -886.8421052631579, Reward -700, Record 100
