Command main.py play --no-gui --agents ppo3_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss -11330239488.0, Mean Loss -11330239488.0, Actions 13, Mean reward 1236.5, Final reward 0.5,  Reward 1236.5, Record 1236.5
Game 2, Game Loss -129614192640.0, Mean Loss -70472212480.0, Actions 9, Mean reward 1040.5, Final reward 0.5,  Reward 844.5, Record 1236.5
Game 3, Game Loss -679859257344.0, Mean Loss -273601216512.0, Actions 8, Mean reward 927.0, Final reward 0.0,  Reward 700.0, Record 1236.5
Game 4, Game Loss -10317967917056.0, Mean Loss -2784692797440.0, Actions 16, Mean reward 1124.9582039324994, Final reward 0.5,  Reward 1718.8328157299975, Record 1718.8328157299975
Game 5, Game Loss -41256726036480.0, Mean Loss -10479099445248.0, Actions 8, Mean reward 1043.9665631459995, Final reward 0.0,  Reward 720.0, Record 1718.8328157299975
Game 6, Game Loss -64564947320832.0, Mean Loss -19493407424512.0, Actions 6, Mean reward 953.3054692883329, Final reward 0.0,  Reward 500.0, Record 1718.8328157299975
Game 7, Game Loss -308354425552896.0, Mean Loss -60759266557952.0, Actions 23, Mean reward 1140.2277202522341, Final reward 0.0,  Reward 2261.761226035642, Record 2261.761226035642
Game 8, Game Loss -1458256555802624.0, Mean Loss -235446432956416.0, Actions 23, Mean reward 1293.1498324190097, Final reward 1.0,  Reward 2363.604617586439, Record 2363.604617586439
Game 9, Game Loss -2962904395546624.0, Mean Loss -538497328873472.0, Actions 16, Mean reward 1318.3554065946753, Final reward 0.0,  Reward 1520.0, Record 2363.604617586439
Game 10, Game Loss -4466103489134592.0, Mean Loss -931258028785664.0, Actions 17, Mean reward 1369.0365326018746, Final reward 0.5,  Reward 1825.1666666666672, Record 2363.604617586439
Game 11, Game Loss -5718607220703232.0, Mean Loss -1366471628292096.0, Actions 5, Mean reward 1288.4423023653405, Final reward 0.5,  Reward 482.5, Record 2363.604617586439
Game 12, Game Loss -8634962492260352.0, Mean Loss -1972179189104640.0, Actions 9, Mean reward 1247.7387771682288, Final reward 0.0,  Reward 800.0, Record 2363.604617586439
Game 13, Game Loss -1.476269380206592e+16, Mean Loss -2956064660127744.0, Actions 29, Mean reward 1370.9127173860575, Final reward 1.0,  Reward 2849.0, Record 2849.0
Game 14, Game Loss -1.8073357673037824e+16, Mean Loss -4035871514820608.0, Actions 5, Mean reward 1303.168951858482, Final reward 0.5,  Reward 422.5, Record 2849.0
Game 15, Game Loss -1.935249771803443e+16, Mean Loss -5056979856785408.0, Actions 5, Mean reward 1242.9576884012497, Final reward 0.0,  Reward 400.0, Record 2849.0
Game 16, Game Loss -3.0273553727225856e+16, Mean Loss -6633015421698048.0, Actions 13, Mean reward 1244.0124162095049, Final reward 0.5,  Reward 1259.8333333333333, Record 2849.0
Game 17, Game Loss -3.5345791992201216e+16, Mean Loss -8322002184044544.0, Actions 10, Mean reward 1227.2077642756124, Final reward 0.5,  Reward 958.3333333333333, Record 2849.0
Game 18, Game Loss -2.963876185584435e+16, Mean Loss -9506266938343424.0, Actions 10, Mean reward 1210.1406662603006, Final reward 0.0,  Reward 920.0, Record 2849.0
Game 19, Game Loss -4.286578365877453e+16, Mean Loss -1.1262031315337216e+16, Actions 13, Mean reward 1217.5881499909615, Final reward 1.5,  Reward 1351.6428571428573, Record 2849.0
Game 20, Game Loss -3.47682434449408e+16, Mean Loss -1.2437341599694848e+16, Actions 6, Mean reward 1182.7087424914134, Final reward 0.0,  Reward 520.0, Record 2849.0
Game 21, Game Loss -5.316111662002995e+16, Mean Loss -1.4376569799704576e+16, Actions 7, Mean reward 1154.9607071346795, Final reward 0.0,  Reward 600.0, Record 2849.0
Game 22, Game Loss -6.27725533488087e+16, Mean Loss -1.6576387624206336e+16, Actions 8, Mean reward 1134.280674992194, Final reward 0.0,  Reward 700.0, Record 2849.0
Game 23, Game Loss -7.717521077986918e+16, Mean Loss -1.921111813206835e+16, Actions 34, Mean reward 1230.1815152099248, Final reward 0.0,  Reward 3340.0, Record 3340.0
Game 24, Game Loss -1.267835691073536e+17, Mean Loss -2.369330519998464e+16, Actions 9, Mean reward 1213.0906187428445, Final reward 0.0,  Reward 820.0, Record 3340.0
Game 25, Game Loss -1.0762573863452672e+17, Mean Loss -2.705060382585651e+16, Actions 5, Mean reward 1181.4669939931307, Final reward 0.5,  Reward 422.5, Record 3340.0
Game 26, Game Loss -1.4343970138934477e+17, Mean Loss -3.1527106504556544e+16, Actions 36, Mean reward 1285.9788093606405, Final reward 1.5,  Reward 3898.774193548388, Record 3898.774193548388
Game 27, Game Loss -2.616078495687639e+17, Mean Loss -4.004861582508032e+16, Actions 14, Mean reward 1287.2388534583947, Final reward 0.0,  Reward 1320.0, Record 3898.774193548388
Game 28, Game Loss -2.2635750678226534e+17, Mean Loss -4.67025037140951e+16, Actions 5, Mean reward 1255.5517515491663, Final reward 0.0,  Reward 400.0, Record 3898.774193548388
Game 29, Game Loss -2.799798985949184e+17, Mean Loss -5.47465522577408e+16, Actions 10, Mean reward 1244.843070461264, Final reward 0.5,  Reward 945.0, Record 3898.774193548388
Game 30, Game Loss -2.806240234302341e+17, Mean Loss -6.227579743135334e+16, Actions 10, Mean reward 1234.0149681125552, Final reward 0.0,  Reward 920.0, Record 3898.774193548388
Game 31, Game Loss -3.410924213140193e+17, Mean Loss -7.126988415093965e+16, Actions 12, Mean reward 1229.6919046250534, Final reward 0.0,  Reward 1100.0, Record 3898.774193548388
Game 32, Game Loss -3.9791676278544794e+17, Mean Loss -8.147759977935667e+16, Actions 8, Mean reward 1216.1817406135362, Final reward 0.5,  Reward 797.3666562565054, Record 3898.774193548388
Game 33, Game Loss -3.859875426604155e+17, Mean Loss -9.070517380605542e+16, Actions 6, Mean reward 1195.0853242313078, Final reward 0.0,  Reward 520.0, Record 3898.774193548388
