Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 1, Game Loss -1.2522376583446528e+16, Mean Loss -1.2522376583446528e+16, Actions 28, Mean reward -100.0, Final reward 0.0,  Reward -100.0, Record -100.0
Game 2, Game Loss -5.363963627814519e+18, Mean Loss -2.68824298287163e+18, Actions 33, Mean reward 524.0, Final reward 0.0,  Reward 1148.0, Record 1148.0
Game 3, Game Loss -3.5996302052316676e+19, Mean Loss -1.3790929156101374e+19, Actions 18, Mean reward 675.3596218431063, Final reward 0.0,  Reward 978.078865529319, Record 1148.0
Game 4, Game Loss -5.874028721207247e+19, Mean Loss -2.5028268944972055e+19, Actions 9, Mean reward 511.51971638232976, Final reward 0.0,  Reward 20.0, Record 1148.0
Game 5, Game Loss -1.0936085697487962e+20, Mean Loss -4.189478391212566e+19, Actions 17, Mean reward 158.8157731058638, Final reward 0.0,  Reward -1252.0, Record 1148.0
Game 6, Game Loss -2.707824284406739e+20, Mean Loss -8.004272246786045e+19, Actions 21, Mean reward 369.0131442548865, Final reward 0.0,  Reward 1420.0, Record 1420.0
Game 7, Game Loss -8.97441516051606e+20, Mean Loss -1.968139711546015e+20, Actions 40, Mean reward 408.8684093613313, Final reward 0.0,  Reward 648.0, Record 1420.0
Game 8, Game Loss -1.8673313134088144e+21, Mean Loss -4.056286631256339e+20, Actions 12, Mean reward 413.7598581911649, Final reward 0.0,  Reward 448.0, Record 1420.0
Game 9, Game Loss -1.8733417893240053e+21, Mean Loss -5.6870794628239353e+20, Actions 8, Mean reward 361.1198739477021, Final reward 0.0,  Reward -60.0, Record 1420.0
Game 10, Game Loss -2.359756726252853e+21, Mean Loss -7.478127961319418e+20, Actions 15, Mean reward 359.8078865529319, Final reward 0.0,  Reward 348.0, Record 1420.0
Game 11, Game Loss -3.1135841500558923e+21, Mean Loss -9.628829000244616e+20, Actions 12, Mean reward 363.09807868448354, Final reward 0.0,  Reward 396.0, Record 1420.0
Game 12, Game Loss -3.9101023206266833e+21, Mean Loss -1.208484524272042e+21, Actions 19, Mean reward 384.50657212744323, Final reward 0.0,  Reward 620.0, Record 1420.0
Game 13, Game Loss -5.392708710055281e+21, Mean Loss -1.530347923178445e+21, Actions 19, Mean reward 420.58614501475506, Final reward 0.0,  Reward 853.5410196624969, Record 1420.0
Game 14, Game Loss -8.893575687942248e+21, Mean Loss -2.0562927836240722e+21, Actions 30, Mean reward 408.2585632279869, Final reward 0.0,  Reward 248.0, Record 1420.0
Game 15, Game Loss -1.3114798492776707e+22, Mean Loss -2.7935262723876e+21, Actions 24, Mean reward 387.7079923461211, Final reward 0.0,  Reward 100.0, Record 1420.0
Game 16, Game Loss -1.7427540071538869e+22, Mean Loss -3.7081521876111123e+21, Actions 13, Mean reward 410.2262428244885, Final reward 0.0,  Reward 748.0, Record 1420.0
Game 17, Game Loss -2.222682240654447e+22, Mean Loss -4.797485398754278e+21, Actions 22, Mean reward 453.0411029835962, Final reward 0.0,  Reward 1138.078865529319, Record 1420.0
Game 18, Game Loss -2.1982556169955147e+22, Mean Loss -5.752211365059898e+21, Actions 7, Mean reward 431.20548615117417, Final reward 0.0,  Reward 60.0, Record 1420.0
Game 19, Game Loss -2.8221739510922803e+22, Mean Loss -6.934818346610557e+21, Actions 19, Mean reward 460.0894079326913, Final reward 0.0,  Reward 980.0, Record 1420.0
Game 20, Game Loss -4.099908215772073e+22, Mean Loss -8.638031311986085e+21, Actions 32, Mean reward 543.0849375360567, Final reward 0.0,  Reward 2120.0, Record 2120.0
Game 21, Game Loss -2.953163623234146e+22, Mean Loss -9.63296428986496e+21, Actions 5, Mean reward 519.1285119391016, Final reward 0.0,  Reward 40.0, Record 2120.0
Game 22, Game Loss -4.994714464575472e+22, Mean Loss -1.14654271868463e+22, Actions 11, Mean reward 522.8044886691424, Final reward 0.0,  Reward 600.0, Record 2120.0
Game 23, Game Loss -6.4167188411583025e+22, Mean Loss -1.3756808011756601e+22, Actions 30, Mean reward 548.7695109009189, Final reward 0.0,  Reward 1120.0, Record 2120.0
Game 24, Game Loss -7.096935323116938e+22, Mean Loss -1.6140663499615514e+22, Actions 12, Mean reward 546.7374479467139, Final reward 0.0,  Reward 500.0, Record 2120.0
Game 25, Game Loss -7.389861602600109e+22, Mean Loss -1.8450981960958907e+22, Actions 15, Mean reward 540.8679500288454, Final reward 0.0,  Reward 400.0, Record 2120.0
Game 26, Game Loss -1.0767236613594848e+23, Mean Loss -2.188257400642771e+22, Actions 32, Mean reward 629.6037981046591, Final reward 0.0,  Reward 2848.0, Record 2848.0
Game 27, Game Loss -1.434370990943612e+23, Mean Loss -2.638459512212881e+22, Actions 27, Mean reward 626.5814352118939, Final reward 0.0,  Reward 548.0, Record 2848.0
Game 28, Game Loss -1.5231952161782627e+23, Mean Loss -3.08822702641895e+22, Actions 12, Mean reward 613.0606696686119, Final reward 0.0,  Reward 248.0, Record 2848.0
Game 29, Game Loss -1.6918717756139016e+23, Mean Loss -3.565140662918939e+22, Actions 17, Mean reward 613.9896120938322, Final reward 0.0,  Reward 640.0, Record 2848.0
Game 30, Game Loss -1.8791139741534126e+23, Mean Loss -4.072674048105438e+22, Actions 14, Mean reward 610.1899583573711, Final reward 0.0,  Reward 500.0, Record 2848.0
Game 31, Game Loss -1.9323605729797693e+23, Mean Loss -4.564639164920062e+22, Actions 12, Mean reward 613.7322177651979, Final reward 0.0,  Reward 720.0, Record 2848.0
Game 32, Game Loss -2.1800850336509555e+23, Mean Loss -5.1032710314334616e+22, Actions 16, Mean reward 627.3030859600354, Final reward 0.0,  Reward 1048.0, Record 2848.0
Game 33, Game Loss -2.0759369503962066e+23, Mean Loss -5.577698230579179e+22, Actions 18, Mean reward 614.4757197188222, Final reward 0.0,  Reward 204.0, Record 2848.0
Game 34, Game Loss -3.059891503463442e+23, Mean Loss -6.3136165838090215e+22, Actions 31, Mean reward 648.7558456094451, Final reward 0.0,  Reward 1780.0, Record 2848.0
Game 35, Game Loss -3.310495926024339e+23, Mean Loss -7.079083054194042e+22, Actions 13, Mean reward 651.5913928777467, Final reward 0.0,  Reward 748.0, Record 2848.0
Game 36, Game Loss -3.8893241305798785e+23, Mean Loss -7.962809096834221e+22, Actions 31, Mean reward 682.9360764089204, Final reward 0.0,  Reward 1780.0, Record 2848.0
Game 37, Game Loss -4.090305010142646e+23, Mean Loss -8.853086075492374e+22, Actions 15, Mean reward 675.829695965436, Final reward 0.0,  Reward 420.0, Record 2848.0
Game 38, Game Loss -3.815527426509845e+23, Mean Loss -9.624196907290377e+22, Actions 14, Mean reward 658.4657565979246, Final reward 0.0,  Reward 16.0, Record 2848.0
Game 39, Game Loss -4.973084035853182e+23, Mean Loss -1.0652572264922219e+23, Actions 16, Mean reward 664.6589423261829, Final reward 0.0,  Reward 900.0, Record 2848.0
Game 40, Game Loss -3.267061049490157e+23, Mean Loss -1.1203022927937727e+23, Actions 6, Mean reward 641.0424687680284, Final reward 0.0,  Reward -280.0, Record 2848.0
Game 41, Game Loss -5.750043602415259e+23, Mean Loss -1.2332229377626766e+23, Actions 18, Mean reward 660.7243597736862, Final reward 0.0,  Reward 1448.0, Record 2848.0
Game 42, Game Loss -5.2470196264996495e+23, Mean Loss -1.3287895019994636e+23, Actions 12, Mean reward 656.4213988266937, Final reward 0.0,  Reward 480.0, Record 2848.0
Game 43, Game Loss -6.485654720078522e+23, Mean Loss -1.4487166671246455e+23, Actions 18, Mean reward 656.225552342352, Final reward 0.0,  Reward 648.0, Record 2848.0
Game 44, Game Loss -6.727716354578253e+23, Mean Loss -1.5686940023496763e+23, Actions 15, Mean reward 626.4931534254803, Final reward 0.0,  Reward -652.0, Record 2848.0
Game 45, Game Loss -7.570934320010086e+23, Mean Loss -1.7020771125135082e+23, Actions 12, Mean reward 626.9710833493585, Final reward 0.0,  Reward 648.0, Record 2848.0
Game 46, Game Loss -7.443656109357132e+23, Mean Loss -1.8268940158981113e+23, Actions 12, Mean reward 627.428233711329, Final reward 0.0,  Reward 648.0, Record 2848.0
Game 47, Game Loss -7.44270206681207e+23, Mean Loss -1.946379377899848e+23, Actions 22, Mean reward 610.8446542706624, Final reward 0.0,  Reward -152.0, Record 2848.0
Game 48, Game Loss -9.934182732090035e+23, Mean Loss -2.1127920678748005e+23, Actions 32, Mean reward 607.4520573066903, Final reward 0.0,  Reward 448.0, Record 2848.0
Game 49, Game Loss -1.1444478918359568e+24, Mean Loss -2.303234524309521e+23, Actions 16, Mean reward 614.6469132800231, Final reward 0.0,  Reward 960.0, Record 2848.0
Game 50, Game Loss -1.161066246518548e+24, Mean Loss -2.4893830687155213e+23, Actions 14, Mean reward 604.3539750144226, Final reward 0.0,  Reward 100.0, Record 2848.0
Game 51, Game Loss -1.329676332823687e+24, Mean Loss -2.701292383134066e+23, Actions 32, Mean reward 632.6607598180615, Final reward 0.0,  Reward 2048.0, Record 2848.0
Game 52, Game Loss -1.1879612390900463e+24, Mean Loss -2.877798540593881e+23, Actions 9, Mean reward 616.6480528984833, Final reward 0.0,  Reward -200.0, Record 2848.0
Game 53, Game Loss -1.4455169856901883e+24, Mean Loss -3.096239515623994e+23, Actions 21, Mean reward 605.0131839758704, Final reward 0.0,  Reward 0.0, Record 2848.0
Game 54, Game Loss -1.5344686267654965e+24, Mean Loss -3.323062410136583e+23, Actions 32, Mean reward 598.401828717058, Final reward 0.0,  Reward 248.0, Record 2848.0
Game 55, Game Loss -1.8221061130334642e+24, Mean Loss -3.593935192748469e+23, Actions 32, Mean reward 580.5399772858389, Final reward 0.0,  Reward -384.0, Record 2848.0
Game 56, Game Loss -1.8853429928700213e+24, Mean Loss -3.866426028634476e+23, Actions 15, Mean reward 584.4589062628773, Final reward 0.0,  Reward 800.0, Record 2848.0
Game 57, Game Loss -1.905750424077503e+24, Mean Loss -4.132936444503305e+23, Actions 20, Mean reward 587.1876973810724, Final reward 0.0,  Reward 740.0, Record 2848.0
Game 58, Game Loss -1.940371936284906e+24, Mean Loss -4.396225525630669e+23, Actions 15, Mean reward 583.9603232882954, Final reward 0.0,  Reward 400.0, Record 2848.0
Game 59, Game Loss -2.1779843025831708e+24, Mean Loss -4.690863263044233e+23, Actions 21, Mean reward 576.5711652664598, Final reward 0.0,  Reward 148.0, Record 2848.0
Game 60, Game Loss -2.1706315456875406e+24, Mean Loss -4.974453850715843e+23, Actions 9, Mean reward 570.9616458453522, Final reward 0.0,  Reward 240.0, Record 2848.0
Game 61, Game Loss -2.3295829600302416e+24, Mean Loss -5.274804674472704e+23, Actions 19, Mean reward 554.1917827987071, Final reward 0.0,  Reward -452.0, Record 2848.0
Game 62, Game Loss -2.4818165889959747e+24, Mean Loss -5.5900198990156797e+23, Actions 17, Mean reward 558.1564314632441, Final reward 0.0,  Reward 800.0, Record 2848.0
Game 63, Game Loss -2.2959679482963602e+24, Mean Loss -5.8657284667634505e+23, Actions 7, Mean reward 552.4714087416053, Final reward 0.0,  Reward 200.0, Record 2848.0
Game 64, Game Loss -1.9308264668027018e+24, Mean Loss -6.075768066760696e+23, Actions 5, Mean reward 543.8390429800177, Final reward 0.0,  Reward 0.0, Record 2848.0
Game 65, Game Loss -2.7507917348688713e+24, Mean Loss -6.405493529015089e+23, Actions 20, Mean reward 549.6261346264789, Final reward 0.0,  Reward 920.0, Record 2848.0
Game 66, Game Loss -2.8756620689594535e+24, Mean Loss -6.744146927170781e+23, Actions 18, Mean reward 554.1469507685019, Final reward 0.0,  Reward 848.0, Record 2848.0
Game 67, Game Loss -2.5510587487196527e+24, Mean Loss -7.024243442107492e+23, Actions 13, Mean reward 555.1298321003154, Final reward 0.0,  Reward 620.0, Record 2848.0
Game 68, Game Loss -2.7631118540671e+24, Mean Loss -7.3272852567137e+23, Actions 11, Mean reward 549.9073345694284, Final reward 0.0,  Reward 200.0, Record 2848.0
Game 69, Game Loss -3.249398868500332e+24, Mean Loss -7.69201990103142e+23, Actions 21, Mean reward 538.1668136090141, Final reward 0.0,  Reward -260.1886116991582, Record 2848.0
Game 70, Game Loss -3.270604553734566e+24, Mean Loss -8.04936359792867e+23, Actions 12, Mean reward 536.8787162717424, Final reward 0.0,  Reward 448.0, Record 2848.0
Game 71, Game Loss -3.518878129301118e+24, Mean Loss -8.431608237597606e+23, Actions 29, Mean reward 542.6691568876334, Final reward 0.0,  Reward 948.0, Record 2848.0
Game 72, Game Loss -2.9177647446950625e+24, Mean Loss -8.71974782118083e+23, Actions 7, Mean reward 538.1876408197496, Final reward 0.0,  Reward 220.0, Record 2848.0
Game 73, Game Loss -3.852454637611274e+24, Mean Loss -9.128032634183193e+23, Actions 12, Mean reward 539.6919197126298, Final reward 0.0,  Reward 648.0, Record 2848.0
Game 74, Game Loss -3.9057294109568995e+24, Mean Loss -9.532481821454918e+23, Actions 36, Mean reward 552.9393262029996, Final reward 0.0,  Reward 1520.0, Record 2848.0
Game 75, Game Loss -4.577389774199472e+24, Mean Loss -1.0015700767649203e+24, Actions 33, Mean reward 551.433468520293, Final reward 0.0,  Reward 440.0, Record 2848.0
Game 76, Game Loss -4.716913740613607e+24, Mean Loss -1.0504561823456658e+24, Actions 21, Mean reward 544.1777649871312, Final reward 0.0,  Reward 0.0, Record 2848.0
Game 77, Game Loss -4.684069024559991e+24, Mean Loss -1.0976459801051644e+24, Actions 12, Mean reward 541.1624693379476, Final reward 0.0,  Reward 312.0, Record 2848.0
Game 78, Game Loss -5.227218127600433e+24, Mean Loss -1.1505891444030273e+24, Actions 21, Mean reward 549.6091043464355, Final reward 0.0,  Reward 1200.0, Record 2848.0
Game 79, Game Loss -5.182581618628074e+24, Mean Loss -1.2016271059145275e+24, Actions 33, Mean reward 554.2469637850883, Final reward 0.0,  Reward 916.0, Record 2848.0
Game 80, Game Loss -6.45707293128819e+24, Mean Loss -1.2673201409014614e+24, Actions 32, Mean reward 570.4188767377747, Final reward 0.0,  Reward 1848.0, Record 2848.0
Game 81, Game Loss -4.047520021049092e+24, Mean Loss -1.3016436228999237e+24, Actions 6, Mean reward 562.3890140619997, Final reward 0.0,  Reward -80.0, Record 2848.0
Game 82, Game Loss -6.273493816570394e+24, Mean Loss -1.362275908942386e+24, Actions 28, Mean reward 563.4330504758777, Final reward 0.0,  Reward 648.0, Record 2848.0
Game 83, Game Loss -6.502826621198513e+24, Mean Loss -1.4242102757091134e+24, Actions 25, Mean reward 561.0784354099032, Final reward 0.0,  Reward 368.0, Record 2848.0
Game 84, Game Loss -5.678473910346562e+24, Mean Loss -1.4748562439090472e+24, Actions 13, Mean reward 554.1608349883568, Final reward 0.0,  Reward -20.0, Record 2848.0
Game 85, Game Loss -5.730070606442232e+24, Mean Loss -1.5249176809061453e+24, Actions 8, Mean reward 551.1707075179055, Final reward 0.0,  Reward 300.0, Record 2848.0
Game 86, Game Loss -7.611923273572244e+24, Mean Loss -1.5956968291106524e+24, Actions 33, Mean reward 560.4361644072322, Final reward 0.0,  Reward 1348.0, Record 2848.0
Game 87, Game Loss -6.27640840213404e+24, Mean Loss -1.649498055238319e+24, Actions 7, Mean reward 556.2932199887583, Final reward 0.0,  Reward 200.0, Record 2848.0
Game 88, Game Loss -4.308754740170434e+24, Mean Loss -1.6797168484500048e+24, Actions 5, Mean reward 547.9262515797951, Final reward 0.0,  Reward -180.0, Record 2848.0
Game 89, Game Loss -7.405514583680976e+24, Mean Loss -1.7440517419045118e+24, Actions 18, Mean reward 549.4102262811457, Final reward 0.0,  Reward 680.0, Record 2848.0
Game 90, Game Loss -7.993120628169434e+24, Mean Loss -1.813485863058707e+24, Actions 17, Mean reward 527.172334878022, Final reward 0.0,  Reward -1452.0, Record 2848.0
Game 91, Game Loss -7.890630518095904e+24, Mean Loss -1.880267688291554e+24, Actions 13, Mean reward 528.1924191101316, Final reward 0.0,  Reward 620.0, Record 2848.0
Game 92, Game Loss -7.96834607441769e+24, Mean Loss -1.9464425003522254e+24, Actions 18, Mean reward 525.1468493371954, Final reward 0.0,  Reward 248.0, Record 2848.0
Game 93, Game Loss -7.671016841751621e+24, Mean Loss -2.007997123598373e+24, Actions 15, Mean reward 517.1345176238922, Final reward 0.0,  Reward -220.0, Record 2848.0
Game 94, Game Loss -7.639224454801334e+24, Mean Loss -2.0679037896688733e+24, Actions 8, Mean reward 514.8245759470423, Final reward 0.0,  Reward 300.0, Record 2848.0
