Command main.py play --no-gui --agents q_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 0.08310249447822571, Mean Loss 0.08310249447822571, Actions 29, Mean reward 1414.7684328845012, Final reward 1.0,  Reward 1414.7684328845012, Record 1414.7684328845012
Game 2, Game Loss 5.053636074066162, Mean Loss 2.5683693885803223, Actions 39, Mean reward 2105.7161563140344, Final reward 1.0,  Reward 2796.6638797435676, Record 2796.6638797435676
Game 3, Game Loss 4.365139484405518, Mean Loss 3.167292833328247, Actions 30, Mean reward 2165.5687654256794, Final reward 1.0,  Reward 2285.273983648969, Record 2796.6638797435676
Game 4, Game Loss 4.214804649353027, Mean Loss 3.429170846939087, Actions 21, Mean reward 2030.6661188626538, Final reward 0.5,  Reward 1625.9581791735773, Record 2796.6638797435676
Game 5, Game Loss 5.379456996917725, Mean Loss 3.819227933883667, Actions 8, Mean reward 1713.9531431894018, Final reward 0.5,  Reward 447.1012404963942, Record 2796.6638797435676
Game 6, Game Loss 4.7762932777404785, Mean Loss 3.978738784790039, Actions 35, Mean reward 1944.8770285168487, Final reward 0.5,  Reward 3099.4964551540834, Record 3099.4964551540834
Game 7, Game Loss 5.332909107208252, Mean Loss 4.172191619873047, Actions 27, Mean reward 2007.9485468138957, Final reward 1.5,  Reward 2386.377656596178, Record 3099.4964551540834
Game 8, Game Loss 5.816110610961914, Mean Loss 4.377681732177734, Actions 9, Mean reward 1810.8552885862573, Final reward 0.5,  Reward 431.2024809927883, Record 3099.4964551540834
Game 9, Game Loss 5.639584541320801, Mean Loss 4.517892837524414, Actions 7, Mean reward 1632.4222764292927, Final reward 0.5,  Reward 204.9581791735772, Record 3099.4964551540834
Game 10, Game Loss 5.747623920440674, Mean Loss 4.640866279602051, Actions 10, Mean reward 1574.8341889354992, Final reward 1.5,  Reward 1056.5414014913574, Record 3099.4964551540834
Game 11, Game Loss 4.962521076202393, Mean Loss 4.670107364654541, Actions 21, Mean reward 1568.0310808504537, Final reward 0.0,  Reward 1500.0, Record 3099.4964551540834
Game 12, Game Loss 5.168875217437744, Mean Loss 4.711671352386475, Actions 14, Mean reward 1487.8802458873834, Final reward 0.5,  Reward 606.2210612936105, Record 3099.4964551540834
Game 13, Game Loss 4.990233421325684, Mean Loss 4.733099460601807, Actions 8, Mean reward 1463.517887167179, Final reward 1.0,  Reward 1171.1695825247248, Record 3099.4964551540834
Game 14, Game Loss 5.4839067459106445, Mean Loss 4.786728382110596, Actions 42, Mean reward 1674.0297336878552, Final reward 1.5,  Reward 4410.683738456647, Record 4410.683738456647
Game 15, Game Loss 5.8446125984191895, Mean Loss 4.8572540283203125, Actions 15, Mean reward 1716.5669916025824, Final reward 1.5,  Reward 2312.0886024087636, Record 4410.683738456647
Game 16, Game Loss 5.646729946136475, Mean Loss 4.9065961837768555, Actions 44, Mean reward 1765.621096432148, Final reward 0.5,  Reward 2501.4326688756355, Record 4410.683738456647
Game 17, Game Loss 5.200806140899658, Mean Loss 4.92390251159668, Actions 10, Mean reward 1681.7610319361393, Final reward 0.0,  Reward 340.0, Record 4410.683738456647
Game 18, Game Loss 5.0692458152771, Mean Loss 4.931977272033691, Actions 18, Mean reward 1691.057645553112, Final reward 0.0,  Reward 1849.100077041648, Record 4410.683738456647
Game 19, Game Loss 4.892324447631836, Mean Loss 4.929890155792236, Actions 33, Mean reward 1766.9480996804498, Final reward 2.0,  Reward 3132.97627397253, Record 4410.683738456647
Game 20, Game Loss 4.696025371551514, Mean Loss 4.918196678161621, Actions 15, Mean reward 1770.3657615933014, Final reward 1.5,  Reward 1835.3013379374847, Record 4410.683738456647
Game 21, Game Loss 4.774169921875, Mean Loss 4.9113383293151855, Actions 15, Mean reward 1732.3745643863917, Final reward 0.5,  Reward 972.550620248197, Record 4410.683738456647
Game 22, Game Loss 4.60253381729126, Mean Loss 4.89730167388916, Actions 6, Mean reward 1659.9939023688285, Final reward 0.0,  Reward 140.0, Record 4410.683738456647
Game 23, Game Loss 4.040184020996094, Mean Loss 4.8600358963012695, Actions 29, Mean reward 1733.2032189035908, Final reward 1.0,  Reward 3343.808182668362, Record 4410.683738456647
Game 24, Game Loss 4.650563716888428, Mean Loss 4.8513078689575195, Actions 70, Mean reward 1947.2329993763526, Final reward 0.5,  Reward 6869.917950249874, Record 6869.917950249874
Game 25, Game Loss 4.776040077209473, Mean Loss 4.848297119140625, Actions 10, Mean reward 1912.6876231055587, Final reward 0.5,  Reward 1083.5985926065032, Record 6869.917950249874
Game 26, Game Loss 4.751044750213623, Mean Loss 4.84455680847168, Actions 18, Mean reward 1937.3491741131265, Final reward 2.5,  Reward 2553.8879493023214, Record 6869.917950249874
Game 27, Game Loss 4.850286960601807, Mean Loss 4.84476900100708, Actions 9, Mean reward 1894.5260185957425, Final reward 1.0,  Reward 781.1239751437606, Record 6869.917950249874
Game 28, Game Loss 4.46303129196167, Mean Loss 4.831135272979736, Actions 16, Mean reward 1921.6349533161708, Final reward 3.0,  Reward 2653.576190767736, Record 6869.917950249874
Game 29, Game Loss 5.030812740325928, Mean Loss 4.8380208015441895, Actions 28, Mean reward 1980.3941444056418, Final reward 1.5,  Reward 3625.6514949108246, Record 6869.917950249874
Game 30, Game Loss 4.356516361236572, Mean Loss 4.821970462799072, Actions 40, Mean reward 2028.2484354593794, Final reward 1.0,  Reward 3416.02287601777, Record 6869.917950249874
Game 31, Game Loss 4.894618988037109, Mean Loss 4.824314117431641, Actions 28, Mean reward 2107.6840529175206, Final reward 3.5,  Reward 4490.752576661756, Record 6869.917950249874
Game 32, Game Loss 4.645153522491455, Mean Loss 4.818715572357178, Actions 29, Mean reward 2172.2062235742405, Final reward 2.5,  Reward 4172.3935139325695, Record 6869.917950249874
Game 33, Game Loss 4.690573692321777, Mean Loss 4.8148322105407715, Actions 60, Mean reward 2313.1097408651135, Final reward 3.0,  Reward 6822.022294173051, Record 6869.917950249874
Game 34, Game Loss 4.881406307220459, Mean Loss 4.816790580749512, Actions 35, Mean reward 2359.0884396736224, Final reward 2.0,  Reward 3876.3855003544104, Record 6869.917950249874
Game 35, Game Loss 4.835695743560791, Mean Loss 4.817330360412598, Actions 18, Mean reward 2311.6859128258047, Final reward 0.0,  Reward 700.0, Record 6869.917950249874
Game 36, Game Loss 4.939906597137451, Mean Loss 4.820735454559326, Actions 15, Mean reward 2296.623359246049, Final reward 1.0,  Reward 1769.4339839545942, Record 6869.917950249874
Game 37, Game Loss 4.376276969909668, Mean Loss 4.808723449707031, Actions 9, Mean reward 2275.374211839889, Final reward 1.0,  Reward 1510.4049052181308, Record 6869.917950249874
Game 38, Game Loss 4.879415035247803, Mean Loss 4.810583591461182, Actions 7, Mean reward 2254.106003462649, Final reward 1.5,  Reward 1467.1822935047735, Record 6869.917950249874
Game 39, Game Loss 4.773435592651367, Mean Loss 4.809630870819092, Actions 72, Mean reward 2422.297960724456, Final reward 4.0,  Reward 8813.592336673137, Record 8813.592336673137
Game 40, Game Loss 4.645549774169922, Mean Loss 4.8055291175842285, Actions 20, Mean reward 2437.605510128593, Final reward 1.5,  Reward 3034.599936889924, Record 8813.592336673137
Game 41, Game Loss 4.8738627433776855, Mean Loss 4.807195663452148, Actions 8, Mean reward 2391.3224489059444, Final reward 0.0,  Reward 540.0, Record 8813.592336673137
Game 42, Game Loss 4.63076114654541, Mean Loss 4.802994728088379, Actions 48, Mean reward 2447.019566149679, Final reward 2.0,  Reward 4730.601373142815, Record 8813.592336673137
Game 43, Game Loss 4.760952949523926, Mean Loss 4.8020172119140625, Actions 22, Mean reward 2456.514661596164, Final reward 2.0,  Reward 2855.3086703485105, Record 8813.592336673137
Game 44, Game Loss 4.961799144744873, Mean Loss 4.805648326873779, Actions 18, Mean reward 2450.6071679857637, Final reward 2.5,  Reward 2196.584942738573, Record 8813.592336673137
Game 45, Game Loss 4.8631978034973145, Mean Loss 4.806927680969238, Actions 27, Mean reward 2470.8914785832076, Final reward 2.5,  Reward 3363.401144870734, Record 8813.592336673137
