Command main.py play --no-gui --agents q_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents q_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 32066670592.0, Mean Loss 32066670592.0, Actions 6, Mean reward -279.0, Final reward 0.5,  Reward -279.0, Record -279.0
Game 2, Game Loss 13311549440.0, Mean Loss 22689110016.0, Actions 12, Mean reward 23.0, Final reward 0.5,  Reward 325.0, Record 325.0
Game 3, Game Loss 1.2029668092727661, Mean Loss 15126073344.0, Actions 8, Mean reward 78.89584880524404, Final reward 0.5,  Reward 190.68754641573213, Record 325.0
Game 4, Game Loss 0.918156623840332, Mean Loss 11344555008.0, Actions 5, Mean reward 33.69831202282869, Final reward 0.5,  Reward -101.89429832441738, Record 325.0
Game 5, Game Loss 0.8071215748786926, Mean Loss 9075644416.0, Actions 5, Mean reward -9.04135038173705, Final reward 0.0,  Reward -180.0, Record 325.0
Game 6, Game Loss 0.7541848421096802, Mean Loss 7563036672.0, Actions 5, Mean reward 57.58410857374667, Final reward 0.5,  Reward 390.71140335116525, Record 390.71140335116525
Game 7, Game Loss 0.4942878484725952, Mean Loss 6482603008.0, Actions 17, Mean reward 262.2612279853368, Final reward 0.5,  Reward 1490.3239444548774, Record 1490.3239444548774
Game 8, Game Loss 0.5511593222618103, Mean Loss 5672277504.0, Actions 5, Mean reward 209.47857448716968, Final reward 0.5,  Reward -160.0, Record 1490.3239444548774
Game 9, Game Loss 0.6778530478477478, Mean Loss 5042024448.0, Actions 6, Mean reward 175.0920662108175, Final reward 0.0,  Reward -100.0, Record 1490.3239444548774
Game 10, Game Loss 0.6302735209465027, Mean Loss 4537822208.0, Actions 10, Mean reward 194.08285958973573, Final reward 0.5,  Reward 365.0, Record 1490.3239444548774
Game 11, Game Loss 0.5696253776550293, Mean Loss 4125292800.0, Actions 5, Mean reward 227.49362149034104, Final reward 0.5,  Reward 561.6012404963942, Record 1490.3239444548774
Game 12, Game Loss 0.5184100866317749, Mean Loss 3781518336.0, Actions 6, Mean reward 273.80666850472335, Final reward 0.5,  Reward 783.2501856629287, Record 1490.3239444548774
Game 13, Game Loss 0.5898099541664124, Mean Loss 3490632192.0, Actions 5, Mean reward 252.17582490248108, Final reward 1.0,  Reward -7.394298324426188, Record 1490.3239444548774
Game 14, Game Loss 0.5244936943054199, Mean Loss 3241301504.0, Actions 17, Mean reward 324.3576275018475, Final reward 0.5,  Reward 1262.7210612936105, Record 1490.3239444548774
Game 15, Game Loss 0.6216856241226196, Mean Loss 3025214720.0, Actions 6, Mean reward 304.06433094662947, Final reward 0.5,  Reward 19.958179173577207, Record 1490.3239444548774
Game 16, Game Loss 0.7311397194862366, Mean Loss 2836138752.0, Actions 36, Mean reward 409.82381025254716, Final reward 1.5,  Reward 1996.2159998413124, Record 1996.2159998413124
Game 17, Game Loss 0.6177651882171631, Mean Loss 2669307136.0, Actions 24, Mean reward 549.2084640403109, Final reward 1.5,  Reward 2779.362924644531, Record 2779.362924644531
Game 18, Game Loss 0.5300570726394653, Mean Loss 2521012224.0, Actions 33, Mean reward 696.4165873468447, Final reward 3.0,  Reward 3198.954683557918, Record 3198.954683557918
Game 19, Game Loss 0.4949926733970642, Mean Loss 2388327424.0, Actions 19, Mean reward 778.300772288573, Final reward 1.5,  Reward 2252.21610123968, Record 3198.954683557918
Game 20, Game Loss 0.42890480160713196, Mean Loss 2268911104.0, Actions 68, Mean reward 1087.224462972728, Final reward 1.0,  Reward 6956.774585971672, Record 6956.774585971672
Game 21, Game Loss 0.40047311782836914, Mean Loss 2160867584.0, Actions 25, Mean reward 1161.5890602459065, Final reward 1.5,  Reward 2648.8810057094734, Record 6956.774585971672
Game 22, Game Loss 0.3967876732349396, Mean Loss 2062646400.0, Actions 12, Mean reward 1132.4259211438198, Final reward 0.0,  Reward 520.0, Record 6956.774585971672
Game 23, Game Loss 0.42076170444488525, Mean Loss 1972966144.0, Actions 31, Mean reward 1206.5101376798984, Final reward 2.0,  Reward 2836.3629014736302, Record 6956.774585971672
Game 24, Game Loss 0.40286776423454285, Mean Loss 1890759168.0, Actions 5, Mean reward 1157.9055486099026, Final reward 0.0,  Reward 40.0, Record 6956.774585971672
Game 25, Game Loss 0.4220084249973297, Mean Loss 1815128832.0, Actions 31, Mean reward 1189.7232882162634, Final reward 0.5,  Reward 1953.3490387689208, Record 6956.774585971672
Game 26, Game Loss 0.429286390542984, Mean Loss 1745316096.0, Actions 12, Mean reward 1198.4979097460896, Final reward 1.5,  Reward 1417.8634479917491, Record 6956.774585971672
Game 27, Game Loss 0.4188855290412903, Mean Loss 1680674816.0, Actions 5, Mean reward 1168.0720612369753, Final reward 0.5,  Reward 377.0, Record 6956.774585971672
Game 28, Game Loss 0.4767991900444031, Mean Loss 1620650752.0, Actions 7, Mean reward 1160.3044009722346, Final reward 1.0,  Reward 950.5775738242372, Record 6956.774585971672
Game 29, Game Loss 0.43666088581085205, Mean Loss 1564766208.0, Actions 6, Mean reward 1125.1214905938816, Final reward 0.0,  Reward 140.0, Record 6956.774585971672
Game 30, Game Loss 0.4175433814525604, Mean Loss 1512607360.0, Actions 6, Mean reward 1092.9507742407523, Final reward 0.0,  Reward 160.0, Record 6956.774585971672
Game 31, Game Loss 0.4485953450202942, Mean Loss 1463813504.0, Actions 12, Mean reward 1092.6372099115297, Final reward 0.5,  Reward 1083.2302800348484, Record 6956.774585971672
Game 32, Game Loss 0.4233148694038391, Mean Loss 1418069376.0, Actions 41, Mean reward 1228.88214344764, Final reward 3.0,  Reward 5452.475083067061, Record 6956.774585971672
Game 33, Game Loss 0.47468993067741394, Mean Loss 1375097600.0, Actions 16, Mean reward 1254.0787196393414, Final reward 1.5,  Reward 2060.3691577737927, Record 6956.774585971672
Game 34, Game Loss 0.36259734630584717, Mean Loss 1334653568.0, Actions 27, Mean reward 1332.3509248004466, Final reward 3.0,  Reward 3915.3336951169167, Record 6956.774585971672
