Command main.py play --no-gui --agents brand_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 21.83826446533203, Mean Loss 21.83826446533203, Actions 8, Mean reward 770.6666666666666, Final reward 0.5,  Reward 770.6666666666666, Record nan
Game 2, Game Loss 8.137894630432129, Mean Loss 14.988079071044922, Actions 20, Mean reward 1351.6666666666667, Final reward 0.5,  Reward 1932.6666666666667, Record nan
Game 3, Game Loss 34.55404281616211, Mean Loss 21.51006507873535, Actions 6, Mean reward 1093.2222222222224, Final reward 0.5,  Reward 576.3333333333333, Record nan
Game 4, Game Loss 4.9985222816467285, Mean Loss 17.382179260253906, Actions 6, Mean reward 949.9166666666667, Final reward 0.0,  Reward 520.0, Record nan
Command main.py play --no-gui --agents brand_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 3.9100570678710938, Mean Loss 3.9100570678710938, Actions 35, Mean reward 3548.333333333333, Final reward 1.0,  Reward 3548.333333333333, Record nan
Game 2, Game Loss 1.977391004562378, Mean Loss 2.9437241554260254, Actions 16, Mean reward 2524.1666666666665, Final reward 0.0,  Reward 1500.0, Record nan
Game 3, Game Loss 45.64411544799805, Mean Loss 17.177186965942383, Actions 7, Mean reward 1896.111111111111, Final reward 0.0,  Reward 640.0, Record nan
Command main.py play --no-gui --agents brand_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 11.700007438659668, Mean Loss 11.700007438659668, Actions 6, Mean reward 603.0, Final reward 0.5,  Reward 603.0, Record nan
Game 2, Game Loss 5.939772129058838, Mean Loss 8.819890022277832, Actions 5, Mean reward 512.75, Final reward 0.5,  Reward 422.5, Record nan
Game 3, Game Loss 14.24091625213623, Mean Loss 10.626898765563965, Actions 5, Mean reward 534.3333333333334, Final reward 1.5,  Reward 577.5, Record nan
Game 4, Game Loss 3.8482306003570557, Mean Loss 8.932231903076172, Actions 50, Mean reward 1680.3274231678488, Final reward 1.5,  Reward 5118.309692671395, Record nan
Game 5, Game Loss 3.2249393463134766, Mean Loss 7.790772914886475, Actions 16, Mean reward 1684.6809861533268, Final reward 1.5,  Reward 1702.095238095238, Record nan
Game 6, Game Loss 2.8320631980895996, Mean Loss 6.964321136474609, Actions 22, Mean reward 1765.6209750488943, Final reward 0.5,  Reward 2170.3209195267314, Record nan
Game 7, Game Loss 4.039494514465332, Mean Loss 6.5464887619018555, Actions 8, Mean reward 1639.2941690895284, Final reward 1.0,  Reward 881.3333333333334, Record nan
Game 8, Game Loss 2.0584018230438232, Mean Loss 5.985477924346924, Actions 6, Mean reward 1496.8823979533374, Final reward 0.0,  Reward 500.0, Record nan
Game 9, Game Loss 1.9542292356491089, Mean Loss 5.537561416625977, Actions 5, Mean reward 1377.2287981807444, Final reward 0.0,  Reward 420.0, Record nan
Game 10, Game Loss 1.8143094778060913, Mean Loss 5.165235996246338, Actions 8, Mean reward 1311.90591836267, Final reward 0.5,  Reward 724.0, Record nan
Game 11, Game Loss 2.745452642440796, Mean Loss 4.945255756378174, Actions 5, Mean reward 1229.0053803296998, Final reward 0.0,  Reward 400.0, Record nan
Game 12, Game Loss 1.3366280794143677, Mean Loss 4.64453649520874, Actions 10, Mean reward 1203.6715986355582, Final reward 0.5,  Reward 925.0, Record nan
Game 13, Game Loss 2.1711196899414062, Mean Loss 4.454273700714111, Actions 5, Mean reward 1143.3891679712847, Final reward 0.0,  Reward 420.0, Record nan
Game 14, Game Loss 2.1096599102020264, Mean Loss 4.286801338195801, Actions 8, Mean reward 1114.4555003349983, Final reward 0.5,  Reward 738.3178210632764, Record nan
Game 15, Game Loss 1.8916205167770386, Mean Loss 4.12712287902832, Actions 5, Mean reward 1066.8251336459984, Final reward 0.0,  Reward 400.0, Record nan
