Command main.py play --no-gui --agents brand_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 11.070952415466309, Mean Loss 11.070952415466309, Actions 12, Mean reward 1202.857142857143, Final reward 1.0,  Reward 1202.857142857143, Record 1202.857142857143
Game 2, Game Loss 40.79229736328125, Mean Loss 25.931625366210938, Actions 6, Mean reward 861.4285714285714, Final reward 0.0,  Reward 520.0, Record 1202.857142857143
Game 3, Game Loss 3.083559036254883, Mean Loss 18.315603256225586, Actions 5, Mean reward 720.9523809523811, Final reward 0.0,  Reward 440.0, Record 1202.857142857143
Game 4, Game Loss 4.215813159942627, Mean Loss 14.790655136108398, Actions 6, Mean reward 665.7142857142858, Final reward 0.0,  Reward 500.0, Record 1202.857142857143
Game 5, Game Loss 2.3547258377075195, Mean Loss 12.303468704223633, Actions 15, Mean reward 818.0714285714287, Final reward 0.5,  Reward 1427.5, Record 1427.5
Game 6, Game Loss 16.68922233581543, Mean Loss 13.034427642822266, Actions 9, Mean reward 827.4761904761905, Final reward 0.5,  Reward 874.4999999999999, Record 1427.5
Game 7, Game Loss 11.536421775817871, Mean Loss 12.820426940917969, Actions 9, Mean reward 823.5510204081633, Final reward 0.0,  Reward 800.0, Record 1427.5
Game 8, Game Loss 9.651069641113281, Mean Loss 12.424257278442383, Actions 5, Mean reward 770.6071428571429, Final reward 0.0,  Reward 400.0, Record 1427.5
Game 9, Game Loss 4.714892864227295, Mean Loss 11.56766128540039, Actions 6, Mean reward 743.0952380952381, Final reward 0.5,  Reward 523.0, Record 1427.5
Game 10, Game Loss 6.920286178588867, Mean Loss 11.102923393249512, Actions 43, Mean reward 1132.3333333333335, Final reward 2.0,  Reward 4635.476190476191, Record 4635.476190476191
Game 11, Game Loss 2.1463727951049805, Mean Loss 10.288691520690918, Actions 6, Mean reward 1074.848484848485, Final reward 0.0,  Reward 500.0, Record 4635.476190476191
Game 12, Game Loss 4.133863925933838, Mean Loss 9.775789260864258, Actions 5, Mean reward 1018.6111111111112, Final reward 0.0,  Reward 400.0, Record 4635.476190476191
Game 13, Game Loss 6.292891979217529, Mean Loss 9.507874488830566, Actions 5, Mean reward 975.0641025641027, Final reward 0.5,  Reward 452.5, Record 4635.476190476191
Game 14, Game Loss 1.6691328287124634, Mean Loss 8.947964668273926, Actions 12, Mean reward 989.8342798369713, Final reward 0.0,  Reward 1181.8465843842648, Record 4635.476190476191
Game 15, Game Loss 2.7159764766693115, Mean Loss 8.532498359680176, Actions 31, Mean reward 1126.1094304119424, Final reward 0.5,  Reward 3033.9615384615386, Record 4635.476190476191
Game 16, Game Loss 1.7701290845870972, Mean Loss 8.10984992980957, Actions 8, Mean reward 1104.3070462770152, Final reward 0.0,  Reward 777.2712842531055, Record 4635.476190476191
Game 17, Game Loss 0.8961987495422363, Mean Loss 7.685517311096191, Actions 14, Mean reward 1116.9948670842496, Final reward 0.0,  Reward 1320.0, Record 4635.476190476191
Game 18, Game Loss 0.9533350467681885, Mean Loss 7.311507225036621, Actions 26, Mean reward 1200.0983268494103, Final reward 1.0,  Reward 2612.857142857143, Record 4635.476190476191
Command main.py play --no-gui --agents brand_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 17.207658767700195, Mean Loss 17.207658767700195, Actions 9, Mean reward 820.0, Final reward 0.0,  Reward 820.0, Record 820.0
Game 2, Game Loss 91.26073455810547, Mean Loss 54.234195709228516, Actions 5, Mean reward 620.0, Final reward 0.0,  Reward 420.0, Record 820.0
Game 3, Game Loss 0.2175963819026947, Mean Loss 36.22866439819336, Actions 39, Mean reward 1662.6666666666667, Final reward 0.0,  Reward 3748.0, Record 3748.0
Game 4, Game Loss 3.823120355606079, Mean Loss 28.127277374267578, Actions 33, Mean reward 2126.4782913165263, Final reward 3.0,  Reward 3517.9131652661063, Record 3748.0
