Command main.py play --no-gui --agents q_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 1, Game Loss 13.827866554260254, Mean Loss 13.827866554260254, Actions 5, Mean reward -380.0, Final reward 0.0,  Reward -380.0, Record -380.0
Game 2, Game Loss 14.089211463928223, Mean Loss 13.958539009094238, Actions 6, Mean reward -330.0, Final reward 0.0,  Reward -280.0, Record -280.0
Game 3, Game Loss 7.256759166717529, Mean Loss 11.72461223602295, Actions 23, Mean reward 296.0, Final reward 0.0,  Reward 1548.0, Record 1548.0
Game 4, Game Loss 2.89310884475708, Mean Loss 9.516736030578613, Actions 14, Mean reward 402.0, Final reward 0.0,  Reward 720.0, Record 1548.0
Game 5, Game Loss 11.097688674926758, Mean Loss 9.832926750183105, Actions 8, Mean reward 265.6, Final reward 0.0,  Reward -280.0, Record 1548.0
Game 6, Game Loss 10.140819549560547, Mean Loss 9.884242057800293, Actions 12, Mean reward 281.3333333333333, Final reward 0.0,  Reward 360.0, Record 1548.0
Game 7, Game Loss 4.832827091217041, Mean Loss 9.162611961364746, Actions 34, Mean reward 526.2857142857143, Final reward 0.0,  Reward 1996.0, Record 1996.0
Game 8, Game Loss 3.5900378227233887, Mean Loss 8.466039657592773, Actions 6, Mean reward 521.5, Final reward 0.0,  Reward 488.0, Record 1996.0
Game 9, Game Loss 15.734570503234863, Mean Loss 9.27365493774414, Actions 12, Mean reward 368.0, Final reward 0.0,  Reward -860.0, Record 1996.0
Game 10, Game Loss 3.307494878768921, Mean Loss 8.677038192749023, Actions 18, Mean reward 436.0, Final reward 0.0,  Reward 1048.0, Record 1996.0
Game 11, Game Loss 3.7040491104125977, Mean Loss 8.22494888305664, Actions 18, Mean reward 478.1818181818182, Final reward 0.0,  Reward 900.0, Record 1996.0
Game 12, Game Loss 1.596655011177063, Mean Loss 7.672590732574463, Actions 27, Mean reward 508.16897969811, Final reward 0.0,  Reward 838.02775637732, Record 1996.0
Game 13, Game Loss 4.478414058685303, Mean Loss 7.42688512802124, Actions 18, Mean reward 565.0790581828708, Final reward 0.0,  Reward 1248.0, Record 1996.0
Game 14, Game Loss 5.0723114013671875, Mean Loss 7.258701324462891, Actions 23, Mean reward 612.0734111698085, Final reward 0.0,  Reward 1223.0, Record 1996.0
Game 15, Game Loss 2.3637688159942627, Mean Loss 6.932372570037842, Actions 16, Mean reward 632.2685170918213, Final reward 0.0,  Reward 915.0, Record 1996.0
Game 16, Game Loss 4.088949203491211, Mean Loss 6.7546586990356445, Actions 18, Mean reward 633.2517347735825, Final reward 0.0,  Reward 648.0, Record 1996.0
Game 17, Game Loss 2.2409539222717285, Mean Loss 6.489146709442139, Actions 19, Mean reward 654.8251621398423, Final reward 0.0,  Reward 1000.0, Record 1996.0
Game 18, Game Loss 5.7876176834106445, Mean Loss 6.4501729011535645, Actions 26, Mean reward 676.6682086876289, Final reward 0.0,  Reward 1048.0, Record 1996.0
Game 19, Game Loss 14.576070785522461, Mean Loss 6.877851963043213, Actions 5, Mean reward 620.0014608619642, Final reward 0.0,  Reward -400.0, Record 1996.0
Game 20, Game Loss 14.39181900024414, Mean Loss 7.253550052642822, Actions 9, Mean reward 582.001387818866, Final reward 0.0,  Reward -140.0, Record 1996.0
Game 21, Game Loss 13.197770118713379, Mean Loss 7.5366082191467285, Actions 20, Mean reward 562.868061377232, Final reward 0.0,  Reward 180.20153254455272, Record 1996.0
