Game 1, Final reward 0.12962962962962962, Action Counter 27, plot_mean_rewards-0.37037037037037024,  Reward -0.37037037037037024, Record -0.37037037037037024
Game 2, Final reward 0.22272727272727272, Action Counter 11, plot_mean_rewards-1.0738215488215488,  Reward -1.7772727272727273, Record -0.37037037037037024
Game 3, Final reward 0.4666666666666666, Action Counter 51, plot_mean_rewards8.939674523007858,  Reward 28.96666666666667, Record 28.96666666666667
Game 4, Final reward -0.11666666666666665, Action Counter 6, plot_mean_rewards5.050589225589226,  Reward -6.616666666666666, Record 28.96666666666667
Game 5, Final reward 0.6649999999999999, Action Counter 10, plot_mean_rewards4.973471380471381,  Reward 4.665, Record 28.96666666666667
Game 6, Final reward 0.03684210526315789, Action Counter 19, plot_mean_rewards3.4840331679366767,  Reward -3.9631578947368418, Record 28.96666666666667
Game 7, Final reward 0.2722222222222222, Action Counter 9, plot_mean_rewards2.810917318548898,  Reward -1.2277777777777779, Record 28.96666666666667
Game 8, Final reward 0.11199999999999999, Action Counter 25, plot_mean_rewards2.3485526537302857,  Reward -0.8879999999999999, Record 28.96666666666667
Game 9, Final reward 0.6649999999999999, Action Counter 10, plot_mean_rewards2.661491247760254,  Reward 5.165, Record 28.96666666666667
Game 10, Final reward -0.175, Action Counter 12, plot_mean_rewards1.5278421229842283,  Reward -8.675, Record 28.96666666666667
Game 11, Final reward 0.32941176470588235, Action Counter 34, plot_mean_rewards2.373439363140742,  Reward 10.829411764705881, Record 28.96666666666667
Game 12, Final reward 0.04375, Action Counter 16, plot_mean_rewards1.8459652495456804,  Reward -3.95625, Record 28.96666666666667
Game 13, Final reward 0.5031249999999999, Action Counter 16, plot_mean_rewards2.6272852303498584,  Reward 12.003125, Record 28.96666666666667
Game 14, Final reward 0.3208333333333333, Action Counter 24, plot_mean_rewards3.2482529519915353,  Reward 11.320833333333333, Record 28.96666666666667
Game 15, Final reward 0.4375, Action Counter 28, plot_mean_rewards3.8942027551920995,  Reward 12.9375, Record 28.96666666666667
Game 16, Final reward 0.30254237288135594, Action Counter 59, plot_mean_rewards4.950973981297678,  Reward 20.802542372881355, Record 28.96666666666667
Game 17, Final reward 0.1625, Action Counter 56, plot_mean_rewards5.139887276515461,  Reward 8.1625, Record 28.96666666666667
Game 18, Final reward 0.3340909090909091, Action Counter 22, plot_mean_rewards5.150676367214097,  Reward 5.334090909090909, Record 28.96666666666667
Game 19, Final reward 0.59, Action Counter 35, plot_mean_rewards6.2001144531501975,  Reward 25.09, Record 28.96666666666667
Game 20, Final reward 0.315, Action Counter 10, plot_mean_rewards6.130858730492688,  Reward 4.815, Record 28.96666666666667
Game 21, Final reward 0.5133333333333333, Action Counter 30, plot_mean_rewards6.6728813306279555,  Reward 17.513333333333335, Record 28.96666666666667
Game 22, Final reward 0.034999999999999996, Action Counter 40, plot_mean_rewards6.21206854287214,  Reward -3.465, Record 28.96666666666667
Game 23, Final reward 0.2833333333333333, Action Counter 21, plot_mean_rewards6.106471359848713,  Reward 3.783333333333333, Record 28.96666666666667
Game 24, Final reward 0.2182795698924731, Action Counter 93, plot_mean_rewards6.861130035267203,  Reward 24.218279569892474, Record 28.96666666666667
Game 25, Final reward 0.24838709677419354, Action Counter 31, plot_mean_rewards6.8366203177274825,  Reward 6.248387096774193, Record 28.96666666666667
Game 26, Final reward 0.39999999999999997, Action Counter 7, plot_mean_rewards6.550596459353349,  Reward -0.5999999999999996, Record 28.96666666666667
Game 27, Final reward 0.4666666666666666, Action Counter 18, plot_mean_rewards6.584524985550138,  Reward 7.466666666666667, Record 28.96666666666667
Game 28, Final reward -0.03888888888888888, Action Counter 9, plot_mean_rewards6.133688775748745,  Reward -6.038888888888889, Record 28.96666666666667
