random_prob = 0.65
random_vec=[0.18, 0.18, 0.18, 0.18, 0.18, 0.1]
Game 1, Game Loss nan, Mean Loss nan, Actions 10, Mean reward -84.0, Final reward 0.0,  Reward -84.0, Record -84.0
Game 2, Game Loss nan, Mean Loss nan, Actions 19, Mean reward -134.0, Final reward 0.0,  Reward -184.0, Record -84.0
Game 3, Game Loss nan, Mean Loss nan, Actions 15, Mean reward -145.33333333333334, Final reward 0.0,  Reward -168.0, Record -84.0
Game 4, Game Loss nan, Mean Loss nan, Actions 11, Mean reward -124.0, Final reward 0.0,  Reward -60.0, Record -60.0
Game 5, Game Loss nan, Mean Loss nan, Actions 16, Mean reward -108.0, Final reward 0.0,  Reward -44.0, Record -44.0
Game 6, Game Loss nan, Mean Loss nan, Actions 30, Mean reward -135.33333333333334, Final reward 0.0,  Reward -272.0, Record -44.0
Game 7, Game Loss nan, Mean Loss nan, Actions 5, Mean reward -129.71428571428572, Final reward 0.0,  Reward -96.0, Record -44.0
Game 8, Game Loss nan, Mean Loss nan, Actions 11, Mean reward -118.0, Final reward 0.0,  Reward -36.0, Record -36.0
Game 9, Game Loss nan, Mean Loss nan, Actions 24, Mean reward -112.44444444444444, Final reward 0.0,  Reward -68.0, Record -36.0
Game 10, Game Loss nan, Mean Loss nan, Actions 13, Mean reward -110.4, Final reward 0.0,  Reward -92.0, Record -36.0
Game 11, Game Loss nan, Mean Loss nan, Actions 10, Mean reward -104.36363636363636, Final reward 0.0,  Reward -44.0, Record -36.0
Game 12, Game Loss nan, Mean Loss nan, Actions 6, Mean reward -99.33333333333333, Final reward 0.0,  Reward -44.0, Record -36.0
Game 13, Game Loss nan, Mean Loss nan, Actions 20, Mean reward -104.61538461538461, Final reward 0.0,  Reward -168.0, Record -36.0
Game 14, Game Loss nan, Mean Loss nan, Actions 5, Mean reward -100.28571428571429, Final reward 0.0,  Reward -44.0, Record -36.0
Game 15, Game Loss nan, Mean Loss nan, Actions 26, Mean reward -101.33333333333333, Final reward 0.0,  Reward -116.0, Record -36.0
Game 16, Game Loss nan, Mean Loss nan, Actions 42, Mean reward -109.25, Final reward 0.0,  Reward -228.0, Record -36.0
Game 17, Game Loss nan, Mean Loss nan, Actions 12, Mean reward -106.82352941176471, Final reward 0.0,  Reward -68.0, Record -36.0
Game 18, Game Loss nan, Mean Loss nan, Actions 6, Mean reward -107.11111111111111, Final reward 0.0,  Reward -112.0, Record -36.0
Game 19, Game Loss nan, Mean Loss nan, Actions 13, Mean reward -105.47368421052632, Final reward 0.0,  Reward -76.0, Record -36.0
