python main.py play --no-gui --agents my_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 1423995.5, Mean Loss 1423995.5, Actions 307, Mean reward 716.0945858823166, Final reward 6.0,  Reward 716.0945858823166, Record 716.0945858823166
Game 2, Game Loss 12.778246879577637, Mean Loss 712004.125, Actions 89, Mean reward 524.9794469781806, Final reward 3.5,  Reward 333.8643080740447, Record 716.0945858823166
Game 3, Game Loss 8.751324653625488, Mean Loss 474672.34375, Actions 161, Mean reward 719.2406397999017, Final reward 9.0,  Reward 1107.763025443344, Record 1107.763025443344
Game 4, Game Loss 8.456535339355469, Mean Loss 356006.375, Actions 61, Mean reward 581.1299219939336, Final reward 3.5,  Reward 166.79776857602945, Record 1107.763025443344
Game 5, Game Loss 7.5333685874938965, Mean Loss 284806.59375, Actions 401, Mean reward 1367.9901705947202, Final reward 15.0,  Reward 4515.431164997866, Record 4515.431164997866
Game 6, Game Loss 8.447834014892578, Mean Loss 237340.25, Actions 112, Mean reward 1215.829698771541, Final reward 6.0,  Reward 455.02733965564374, Record 4515.431164997866
Game 7, Game Loss 11.302721977233887, Mean Loss 203436.109375, Actions 22, Mean reward 1032.9254560898921, Final reward 0.5,  Reward -64.5, Record 4515.431164997866
Game 8, Game Loss 12.836045265197754, Mean Loss 178008.203125, Actions 6, Mean reward 902.2472740786557, Final reward 0.0,  Reward -12.5, Record 4515.431164997866
Game 9, Game Loss 22.97722053527832, Mean Loss 158232.0625, Actions 8, Mean reward 803.0531325143606, Final reward 0.5,  Reward 9.5, Record 4515.431164997866
Game 10, Game Loss 8.421453475952148, Mean Loss 142409.703125, Actions 8, Mean reward 721.4978192629245, Final reward 0.0,  Reward -12.5, Record 4515.431164997866
Game 11, Game Loss 14.190629005432129, Mean Loss 129464.65625, Actions 5, Mean reward 655.4980175117496, Final reward 0.0,  Reward -4.5, Record 4515.431164997866
Game 12, Game Loss 13.013498306274414, Mean Loss 118677.0234375, Actions 6, Mean reward 599.8315160524371, Final reward 0.0,  Reward -12.5, Record 4515.431164997866
Game 13, Game Loss 35.21166229248047, Mean Loss 109550.734375, Actions 5, Mean reward 555.575245586865, Final reward 0.5,  Reward 24.5, Record 4515.431164997866
Game 14, Game Loss 32.41115188598633, Mean Loss 101727.9921875, Actions 5, Mean reward 519.3912994735175, Final reward 0.5,  Reward 49.0, Record 4515.431164997866
Game 15, Game Loss 26.592212677001953, Mean Loss 94947.8984375, Actions 5, Mean reward 488.59854617528305, Final reward 0.5,  Reward 57.5, Record 4515.431164997866
Game 16, Game Loss 19.457326889038086, Mean Loss 89014.875, Actions 7, Mean reward 461.81113703932783, Final reward 0.5,  Reward 60.0, Record 4515.431164997866
Game 17, Game Loss 6.7628984451293945, Mean Loss 83779.1015625, Actions 18, Mean reward 434.5281289781909, Final reward 0.5,  Reward -2.0, Record 4515.431164997866
Game 18, Game Loss 10.933807373046875, Mean Loss 79125.3125, Actions 6, Mean reward 411.0265662571803, Final reward 0.0,  Reward 11.5, Record 4515.431164997866
Game 19, Game Loss 13.394270896911621, Mean Loss 74961.5234375, Actions 5, Mean reward 391.68306276996026, Final reward 0.0,  Reward 43.5, Record 4515.431164997866
Game 20, Game Loss 11.718328475952148, Mean Loss 71214.0390625, Actions 6, Mean reward 371.4739096314623, Final reward 0.0,  Reward -12.5, Record 4515.431164997866
Game 21, Game Loss 6.546108245849609, Mean Loss 67823.203125, Actions 9, Mean reward 352.04658060139263, Final reward 0.0,  Reward -36.5, Record 4515.431164997866
Game 22, Game Loss 28.03465461730957, Mean Loss 64741.6015625, Actions 10, Mean reward 337.930826937693, Final reward 1.0,  Reward 41.5, Record 4515.431164997866
Game 23, Game Loss 10.28294563293457, Mean Loss 61927.1953125, Actions 6, Mean reward 324.78166054909764, Final reward 0.0,  Reward 35.5, Record 4515.431164997866
Game 24, Game Loss 12.803853034973145, Mean Loss 59347.42578125, Actions 15, Mean reward 312.85325802621855, Final reward 1.0,  Reward 38.5, Record 4515.431164997866
Game 25, Game Loss 13.75624942779541, Mean Loss 56974.078125, Actions 5, Mean reward 300.1591277051698, Final reward 0.0,  Reward -4.5, Record 4515.431164997866
Game 26, Game Loss 11.606071472167969, Mean Loss 54783.21484375, Actions 9, Mean reward 288.13377663958636, Final reward 0.0,  Reward -12.5, Record 4515.431164997866
Game 27, Game Loss 8.761101722717285, Mean Loss 52754.53125, Actions 12, Mean reward 276.96215528256465, Final reward 0.5,  Reward -13.5, Record 4515.431164997866
Game 28, Game Loss 36.568572998046875, Mean Loss 50871.75, Actions 5, Mean reward 267.6599354510445, Final reward 0.5,  Reward 16.5, Record 4515.431164997866
Game 29, Game Loss 11.373278617858887, Mean Loss 49117.9453125, Actions 8, Mean reward 258.4820066423878, Final reward 0.5,  Reward 1.5, Record 4515.431164997866
Game 30, Game Loss 7.384163856506348, Mean Loss 47480.92578125, Actions 9, Mean reward 249.18260642097485, Final reward 0.0,  Reward -20.5, Record 4515.431164997866
Game 31, Game Loss 11.7300443649292, Mean Loss 45949.66015625, Actions 131, Mean reward 247.28590978876633, Final reward 4.5,  Reward 190.38501082251082, Record 4515.431164997866
Game 32, Game Loss 7.812969207763672, Mean Loss 44513.98046875, Actions 239, Mean reward 272.49819053371334, Final reward 7.5,  Reward 1054.078893627072, Record 4515.431164997866
Game 33, Game Loss 11.182270050048828, Mean Loss 43165.41015625, Actions 30, Mean reward 267.425614293394, Final reward 3.0,  Reward 105.1031746031746, Record 4515.431164997866
Game 34, Game Loss 6.57718563079834, Mean Loss 41896.03125, Actions 63, Mean reward 262.28892550502127, Final reward 2.0,  Reward 92.77819548872179, Record 4515.431164997866
Game 35, Game Loss 8.834994316101074, Mean Loss 40699.2578125, Actions 401, Mean reward 304.4354880231589, Final reward 10.0,  Reward 1737.4186136398384, Record 4515.431164997866
Game 36, Game Loss 7.512258052825928, Mean Loss 39568.9296875, Actions 102, Mean reward 316.4824244295378, Final reward 7.5,  Reward 738.1251986527986, Record 4515.431164997866
Game 37, Game Loss 7.441639423370361, Mean Loss 38499.703125, Actions 46, Mean reward 313.57851904363525, Final reward 2.5,  Reward 209.03792515114424, Record 4515.431164997866
Game 38, Game Loss 7.141247749328613, Mean Loss 37486.73828125, Actions 35, Mean reward 306.76066327932904, Final reward 1.0,  Reward 54.50000000000001, Record 4515.431164997866
Game 39, Game Loss 9.478224754333496, Mean Loss 36525.78515625, Actions 29, Mean reward 300.88218473370523, Final reward 1.0,  Reward 77.5, Record 4515.431164997866
Game 40, Game Loss 17.94045639038086, Mean Loss 35613.08984375, Actions 8, Mean reward 294.98929678202927, Final reward 0.5,  Reward 65.16666666666666, Record 4515.431164997866
Game 41, Game Loss 12.333168029785156, Mean Loss 34744.78125, Actions 23, Mean reward 285.9407773483212, Final reward 0.5,  Reward -76.0, Record 4515.431164997866
Game 42, Game Loss 14.056629180908203, Mean Loss 33917.85546875, Actions 6, Mean reward 279.97790169717075, Final reward 0.0,  Reward 35.5, Record 4515.431164997866
Game 43, Game Loss 10.86178970336914, Mean Loss 33129.32421875, Actions 6, Mean reward 273.17609002979464, Final reward 0.0,  Reward -12.5, Record 4515.431164997866
Game 44, Game Loss 32.1204948425293, Mean Loss 32377.11328125, Actions 8, Mean reward 268.63799707457207, Final reward 1.0,  Reward 73.5, Record 4515.431164997866
Game 45, Game Loss 11.037240982055664, Mean Loss 31657.8671875, Actions 7, Mean reward 262.9238193618038, Final reward 0.0,  Reward 11.5, Record 4515.431164997866
Game 46, Game Loss 13.962384223937988, Mean Loss 30969.95703125, Actions 5, Mean reward 257.28417111480803, Final reward 0.0,  Reward 3.5, Record 4515.431164997866
Game 47, Game Loss 12.404987335205078, Mean Loss 30311.28515625, Actions 5, Mean reward 252.39514619747172, Final reward 0.0,  Reward 27.5, Record 4515.431164997866
Game 48, Game Loss 31.558483123779297, Mean Loss 29680.455078125, Actions 6, Mean reward 248.8139973183577, Final reward 1.0,  Reward 80.5, Record 4515.431164997866
Game 49, Game Loss 15.853741645812988, Mean Loss 29075.056640625, Actions 6, Mean reward 243.4810585975749, Final reward 0.0,  Reward -12.5, Record 4515.431164997866
Game 50, Game Loss 11.018537521362305, Mean Loss 28493.775390625, Actions 7, Mean reward 238.68143742562341, Final reward 0.0,  Reward 3.5, Record 4515.431164997866
Game 51, Game Loss 15.041748046875, Mean Loss 27935.3671875, Actions 5, Mean reward 233.28572296629747, Final reward 0.0,  Reward -36.5, Record 4515.431164997866
Game 52, Game Loss 17.503175735473633, Mean Loss 27398.486328125, Actions 143, Mean reward 240.18138837538578, Final reward 8.5,  Reward 591.8603242388917, Record 4515.431164997866
Game 53, Game Loss 6.476529121398926, Mean Loss 26881.65625, Actions 295, Mean reward 234.9955760161018, Final reward 3.0,  Reward -34.666666666666515, Record 4515.431164997866
