Command main.py play --no-gui --agents q_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 0.7810708284378052, Mean Loss 0.7810708284378052, Actions 14, Mean reward 364.5, Final reward 0.5,  Reward 364.5, Record 364.5
Game 2, Game Loss 0.477626770734787, Mean Loss 0.6293488144874573, Actions 92, Mean reward 2598.780220068472, Final reward 3.5,  Reward 4833.060440136944, Record 4833.060440136944
Game 3, Game Loss 0.7483170628547668, Mean Loss 0.6690049171447754, Actions 26, Mean reward 2225.835400446088, Final reward 1.5,  Reward 1479.9457612013205, Record 4833.060440136944
Game 4, Game Loss 2.449906349182129, Mean Loss 1.1142302751541138, Actions 6, Mean reward 1674.126550334566, Final reward 1.0,  Reward 19.0, Record 4833.060440136944
Game 5, Game Loss 0.9272289872169495, Mean Loss 1.0768300294876099, Actions 14, Mean reward 1471.0790180454305, Final reward 1.0,  Reward 658.888888888889, Record 4833.060440136944
Game 6, Game Loss 14.036142349243164, Mean Loss 3.236715316772461, Actions 6, Mean reward 1212.565848371192, Final reward 0.0,  Reward -80.0, Record 4833.060440136944
Game 7, Game Loss 4.052219390869141, Mean Loss 3.3532159328460693, Actions 5, Mean reward 1010.7707271753076, Final reward 0.0,  Reward -200.0, Record 4833.060440136944
Game 8, Game Loss 1.0203914642333984, Mean Loss 3.061612844467163, Actions 11, Mean reward 935.7368862783941, Final reward 1.5,  Reward 410.5, Record 4833.060440136944
Game 9, Game Loss 1.2075047492980957, Mean Loss 2.8556008338928223, Actions 6, Mean reward 800.7661211363503, Final reward 0.5,  Reward -279.0, Record 4833.060440136944
Game 10, Game Loss 17.361167907714844, Mean Loss 4.30615758895874, Actions 5, Mean reward 700.6895090227152, Final reward 0.0,  Reward -200.0, Record 4833.060440136944
Game 11, Game Loss 4.196243762969971, Mean Loss 4.296165466308594, Actions 6, Mean reward 629.7177354751957, Final reward 0.0,  Reward -80.0, Record 4833.060440136944
Game 12, Game Loss 1.1014801263809204, Mean Loss 4.029941558837891, Actions 15, Mean reward 605.7690352967071, Final reward 1.0,  Reward 342.3333333333335, Record 4833.060440136944
Game 13, Game Loss 1.8483656644821167, Mean Loss 3.8621280193328857, Actions 21, Mean reward 569.011653883351, Final reward 1.0,  Reward 127.92307692307696, Record 4833.060440136944
Game 14, Game Loss 1.6145179271697998, Mean Loss 3.7015843391418457, Actions 20, Mean reward 592.6536786059688, Final reward 0.0,  Reward 900.0, Record 4833.060440136944
Game 15, Game Loss 1.7271621227264404, Mean Loss 3.5699563026428223, Actions 11, Mean reward 563.5212111433486, Final reward 1.5,  Reward 155.66666666666669, Record 4833.060440136944
Game 16, Game Loss 0.7673830986022949, Mean Loss 3.3947954177856445, Actions 30, Mean reward 666.3617415074955, Final reward 2.0,  Reward 2208.969696969697, Record 4833.060440136944
Game 17, Game Loss 5.603523254394531, Mean Loss 3.5247206687927246, Actions 5, Mean reward 615.3992861247016, Final reward 0.0,  Reward -200.0, Record 4833.060440136944
Game 18, Game Loss 1.4979840517044067, Mean Loss 3.4121241569519043, Actions 6, Mean reward 575.654881339996, Final reward 0.0,  Reward -100.0, Record 4833.060440136944
Game 19, Game Loss 1.076616644859314, Mean Loss 3.289202928543091, Actions 17, Mean reward 600.0940981115751, Final reward 0.0,  Reward 1040.0, Record 4833.060440136944
Game 20, Game Loss 4.118030548095703, Mean Loss 3.330644130706787, Actions 5, Mean reward 593.0893932059964, Final reward 0.0,  Reward 460.0, Record 4833.060440136944
Game 21, Game Loss 1.36147940158844, Mean Loss 3.236874580383301, Actions 13, Mean reward 622.5676809607361, Final reward 2.0,  Reward 1212.1334360555309, Record 4833.060440136944
Game 22, Game Loss 1.0703315734863281, Mean Loss 3.138395071029663, Actions 7, Mean reward 595.1782409170663, Final reward 0.0,  Reward 20.0, Record 4833.060440136944
Game 23, Game Loss 0.7274999618530273, Mean Loss 3.033573627471924, Actions 48, Mean reward 712.2791869641503, Final reward 0.5,  Reward 3288.5, Record 4833.060440136944
Game 24, Game Loss 1.077067494392395, Mean Loss 2.952052354812622, Actions 25, Mean reward 696.1471838036069, Final reward 1.0,  Reward 325.1111111111112, Record 4833.060440136944
Game 25, Game Loss 0.9509593844413757, Mean Loss 2.8720085620880127, Actions 19, Mean reward 721.5547763049425, Final reward 2.5,  Reward 1331.336996336996, Record 4833.060440136944
Game 26, Game Loss 0.56809002161026, Mean Loss 2.7833964824676514, Actions 32, Mean reward 790.8817293530429, Final reward 2.0,  Reward 2524.0555555555566, Record 4833.060440136944
Game 27, Game Loss 0.6936827898025513, Mean Loss 2.7059996128082275, Actions 8, Mean reward 783.4478381424365, Final reward 0.5,  Reward 590.1666666666665, Record 4833.060440136944
Game 28, Game Loss 0.2699083387851715, Mean Loss 2.6189961433410645, Actions 32, Mean reward 839.4638633742009, Final reward 2.5,  Reward 2351.896544631839, Record 4833.060440136944
