Command main.py play --no-gui --agents q_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 1, Game Loss 21.50075340270996, Mean Loss 21.50075340270996, Actions 6, Mean reward -80.0, Final reward 0.0,  Reward -80.0, Record -80.0
Game 2, Game Loss 13.198756217956543, Mean Loss 17.349754333496094, Actions 7, Mean reward -230.0, Final reward 0.0,  Reward -380.0, Record -80.0
Game 3, Game Loss 8.56728458404541, Mean Loss 14.422264099121094, Actions 5, Mean reward -220.0, Final reward 0.0,  Reward -200.0, Record -80.0
Game 4, Game Loss 11.311261177062988, Mean Loss 13.644513130187988, Actions 6, Mean reward -135.0, Final reward 0.0,  Reward 120.0, Record 120.0
Game 5, Game Loss 10.937212944030762, Mean Loss 13.103053092956543, Actions 19, Mean reward 20.0, Final reward 0.0,  Reward 640.0, Record 640.0
Game 6, Game Loss 10.808021545410156, Mean Loss 12.720547676086426, Actions 5, Mean reward 20.0, Final reward 0.0,  Reward 20.0, Record 640.0
Game 7, Game Loss 7.092982292175293, Mean Loss 11.916609764099121, Actions 12, Mean reward 52.57142857142857, Final reward 0.0,  Reward 248.0, Record 640.0
Game 8, Game Loss 6.01592493057251, Mean Loss 11.179023742675781, Actions 29, Mean reward 199.625, Final reward 0.0,  Reward 1229.0, Record 1229.0
Game 9, Game Loss 6.715954303741455, Mean Loss 10.683127403259277, Actions 12, Mean reward 205.0, Final reward 0.0,  Reward 248.0, Record 1229.0
Game 10, Game Loss 12.542098045349121, Mean Loss 10.869024276733398, Actions 17, Mean reward 270.5, Final reward 0.0,  Reward 860.0, Record 1229.0
Game 11, Game Loss 20.1673583984375, Mean Loss 11.714327812194824, Actions 8, Mean reward 200.45454545454547, Final reward 0.0,  Reward -500.0, Record 1229.0
Game 12, Game Loss 15.006569862365723, Mean Loss 11.98868179321289, Actions 6, Mean reward 193.75, Final reward 0.0,  Reward 120.0, Record 1229.0
Game 13, Game Loss 6.651371002197266, Mean Loss 11.578119277954102, Actions 18, Mean reward 295.15384615384613, Final reward 0.0,  Reward 1512.0, Record 1512.0
Game 14, Game Loss 8.927474021911621, Mean Loss 11.388787269592285, Actions 30, Mean reward 281.2142857142857, Final reward 0.0,  Reward 100.0, Record 1512.0
Game 15, Game Loss 17.163665771484375, Mean Loss 11.773778915405273, Actions 8, Mean reward 255.8, Final reward 0.0,  Reward -100.0, Record 1512.0
Game 16, Game Loss 17.228313446044922, Mean Loss 12.1146879196167, Actions 5, Mean reward 227.3125, Final reward 0.0,  Reward -200.0, Record 1512.0
Game 17, Game Loss 15.86392593383789, Mean Loss 12.335230827331543, Actions 5, Mean reward 202.1764705882353, Final reward 0.0,  Reward -200.0, Record 1512.0
Game 18, Game Loss 14.950780868530273, Mean Loss 12.480539321899414, Actions 12, Mean reward 204.72222222222223, Final reward 0.0,  Reward 248.0, Record 1512.0
Game 19, Game Loss 8.128602981567383, Mean Loss 12.251489639282227, Actions 12, Mean reward 207.0, Final reward 0.0,  Reward 248.0, Record 1512.0
Game 20, Game Loss 6.301764488220215, Mean Loss 11.95400333404541, Actions 25, Mean reward 265.05, Final reward 0.0,  Reward 1368.0, Record 1512.0
Game 21, Game Loss 2.6627187728881836, Mean Loss 11.511561393737793, Actions 15, Mean reward 301.95238095238096, Final reward 0.0,  Reward 1040.0, Record 1512.0
Game 22, Game Loss 22.644933700561523, Mean Loss 12.017623901367188, Actions 10, Mean reward 256.40909090909093, Final reward 0.0,  Reward -700.0, Record 1512.0
Game 23, Game Loss 16.320415496826172, Mean Loss 12.20470142364502, Actions 5, Mean reward 236.56521739130434, Final reward 0.0,  Reward -200.0, Record 1512.0
Game 24, Game Loss 14.184564590454102, Mean Loss 12.287196159362793, Actions 12, Mean reward 247.54166666666666, Final reward 0.0,  Reward 500.0, Record 1512.0
Game 25, Game Loss 18.207439422607422, Mean Loss 12.524004936218262, Actions 12, Mean reward 225.64, Final reward 0.0,  Reward -300.0, Record 1512.0
Game 26, Game Loss 14.840991020202637, Mean Loss 12.613120079040527, Actions 5, Mean reward 226.19230769230768, Final reward 0.0,  Reward 240.0, Record 1512.0
Game 27, Game Loss 16.5400333404541, Mean Loss 12.758562088012695, Actions 5, Mean reward 210.40740740740742, Final reward 0.0,  Reward -200.0, Record 1512.0
Game 28, Game Loss 7.566623687744141, Mean Loss 12.573135375976562, Actions 19, Mean reward 229.60714285714286, Final reward 0.0,  Reward 748.0, Record 1512.0
Game 29, Game Loss 11.594276428222656, Mean Loss 12.53938102722168, Actions 10, Mean reward 232.0344827586207, Final reward 0.0,  Reward 300.0, Record 1512.0
Game 30, Game Loss 4.706964015960693, Mean Loss 12.278301239013672, Actions 17, Mean reward 256.96666666666664, Final reward 0.0,  Reward 980.0, Record 1512.0
Game 31, Game Loss 5.893526077270508, Mean Loss 12.07234001159668, Actions 33, Mean reward 293.83870967741933, Final reward 0.0,  Reward 1400.0, Record 1512.0
Game 32, Game Loss 6.167009353637695, Mean Loss 11.887799263000488, Actions 23, Mean reward 310.28125, Final reward 0.0,  Reward 820.0, Record 1512.0
Game 33, Game Loss 19.50849723815918, Mean Loss 12.118728637695312, Actions 10, Mean reward 291.7878787878788, Final reward 0.0,  Reward -300.0, Record 1512.0
Game 34, Game Loss 1.300074815750122, Mean Loss 11.800533294677734, Actions 15, Mean reward 326.1470588235294, Final reward 0.0,  Reward 1460.0, Record 1512.0
Game 35, Game Loss 24.542171478271484, Mean Loss 12.164580345153809, Actions 6, Mean reward 308.25714285714287, Final reward 0.0,  Reward -300.0, Record 1512.0
Game 36, Game Loss 19.501367568969727, Mean Loss 12.368380546569824, Actions 5, Mean reward 294.1388888888889, Final reward 0.0,  Reward -200.0, Record 1512.0
Game 37, Game Loss 15.206382751464844, Mean Loss 12.445083618164062, Actions 5, Mean reward 286.72972972972974, Final reward 0.0,  Reward 20.0, Record 1512.0
Game 38, Game Loss 15.028531074523926, Mean Loss 12.513069152832031, Actions 5, Mean reward 279.7105263157895, Final reward 0.0,  Reward 20.0, Record 1512.0
Game 39, Game Loss 6.757092475891113, Mean Loss 12.365479469299316, Actions 14, Mean reward 296.12820512820514, Final reward 0.0,  Reward 920.0, Record 1512.0
Game 40, Game Loss 14.333268165588379, Mean Loss 12.414674758911133, Actions 5, Mean reward 289.725, Final reward 0.0,  Reward 40.0, Record 1512.0
Game 41, Game Loss 5.94665002822876, Mean Loss 12.256917953491211, Actions 8, Mean reward 290.9512195121951, Final reward 0.0,  Reward 340.0, Record 1512.0
Game 42, Game Loss 5.369300365447998, Mean Loss 12.092926979064941, Actions 13, Mean reward 294.0238095238095, Final reward 0.0,  Reward 420.0, Record 1512.0
Game 43, Game Loss 6.856533050537109, Mean Loss 11.971150398254395, Actions 12, Mean reward 292.95348837209303, Final reward 0.0,  Reward 248.0, Record 1512.0
Game 44, Game Loss 14.98146915435791, Mean Loss 12.039566040039062, Actions 18, Mean reward 291.9318181818182, Final reward 0.0,  Reward 248.0, Record 1512.0
Game 45, Game Loss 8.486875534057617, Mean Loss 11.960617065429688, Actions 18, Mean reward 288.1111111111111, Final reward 0.0,  Reward 120.0, Record 1512.0
Game 46, Game Loss 5.22628116607666, Mean Loss 11.814218521118164, Actions 22, Mean reward 313.32608695652175, Final reward 0.0,  Reward 1448.0, Record 1512.0
Game 47, Game Loss 13.945605278015137, Mean Loss 11.859567642211914, Actions 10, Mean reward 313.0425531914894, Final reward 0.0,  Reward 300.0, Record 1512.0
Game 48, Game Loss 15.11701488494873, Mean Loss 11.927430152893066, Actions 6, Mean reward 304.4375, Final reward 0.0,  Reward -100.0, Record 1512.0
Game 49, Game Loss 5.696739196777344, Mean Loss 11.800272941589355, Actions 34, Mean reward 325.16326530612247, Final reward 0.0,  Reward 1320.0, Record 1512.0
Game 50, Game Loss 18.401548385620117, Mean Loss 11.93229866027832, Actions 5, Mean reward 314.66, Final reward 0.0,  Reward -200.0, Record 1512.0
Game 51, Game Loss 14.981114387512207, Mean Loss 11.992079734802246, Actions 6, Mean reward 310.84313725490193, Final reward 0.0,  Reward 120.0, Record 1512.0
Game 52, Game Loss 20.333219528198242, Mean Loss 12.152485847473145, Actions 5, Mean reward 301.0192307692308, Final reward 0.0,  Reward -200.0, Record 1512.0
Game 53, Game Loss 14.938556671142578, Mean Loss 12.205052375793457, Actions 7, Mean reward 295.33962264150944, Final reward 0.0,  Reward 0.0, Record 1512.0
Game 54, Game Loss 7.423864841461182, Mean Loss 12.116512298583984, Actions 20, Mean reward 309.27777777777777, Final reward 0.0,  Reward 1048.0, Record 1512.0
