Command main.py play --no-gui --agents q_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 1, Game Loss 1.6234180927276611, Mean Loss 1.6234180927276611, Actions 28, Mean reward 480.0, Final reward 0.0,  Reward 480.0, Record 480.0
Game 2, Game Loss 0.8228695392608643, Mean Loss 1.2231438159942627, Actions 10, Mean reward 400.0, Final reward 0.0,  Reward 320.0, Record 480.0
Game 3, Game Loss 0.9385950565338135, Mean Loss 1.1282942295074463, Actions 15, Mean reward 354.6666666666667, Final reward 0.0,  Reward 264.0, Record 480.0
Game 4, Game Loss 0.5432101488113403, Mean Loss 0.9820232391357422, Actions 17, Mean reward 533.5, Final reward 0.0,  Reward 1070.0, Record 1070.0
Game 5, Game Loss 0.41402724385261536, Mean Loss 0.8684240579605103, Actions 15, Mean reward 586.8, Final reward 0.0,  Reward 800.0, Record 1070.0
Game 6, Game Loss 1.4828168153762817, Mean Loss 0.970822811126709, Actions 13, Mean reward 492.3333333333333, Final reward 0.0,  Reward 20.0, Record 1070.0
Game 7, Game Loss 0.6652654409408569, Mean Loss 0.9271717667579651, Actions 10, Mean reward 439.14285714285717, Final reward 0.0,  Reward 120.0, Record 1070.0
Game 8, Game Loss 1.3537441492080688, Mean Loss 0.9804933071136475, Actions 6, Mean reward 374.25, Final reward 0.0,  Reward -80.0, Record 1070.0
Game 9, Game Loss 1.4763429164886475, Mean Loss 1.0355877876281738, Actions 5, Mean reward 310.44444444444446, Final reward 0.0,  Reward -200.0, Record 1070.0
Game 10, Game Loss 1.1867038011550903, Mean Loss 1.0506993532180786, Actions 13, Mean reward 299.4, Final reward 0.0,  Reward 200.0, Record 1070.0
Game 11, Game Loss 0.727166473865509, Mean Loss 1.021287202835083, Actions 18, Mean reward 376.1818181818182, Final reward 0.0,  Reward 1144.0, Record 1144.0
Game 12, Game Loss 0.20153740048408508, Mean Loss 0.9529747366905212, Actions 19, Mean reward 476.5, Final reward 0.0,  Reward 1580.0, Record 1580.0
Game 13, Game Loss 0.7545284032821655, Mean Loss 0.9377095699310303, Actions 46, Mean reward 520.4615384615385, Final reward 0.0,  Reward 1048.0, Record 1580.0
Game 14, Game Loss 0.47875234484672546, Mean Loss 0.9049268960952759, Actions 19, Mean reward 557.5714285714286, Final reward 0.0,  Reward 1040.0, Record 1580.0
Game 15, Game Loss 0.5819848775863647, Mean Loss 0.8833974003791809, Actions 21, Mean reward 587.0666666666667, Final reward 0.0,  Reward 1000.0, Record 1580.0
Game 16, Game Loss 1.907714605331421, Mean Loss 0.9474172592163086, Actions 7, Mean reward 537.875, Final reward 0.0,  Reward -200.0, Record 1580.0
Game 17, Game Loss 1.3590744733810425, Mean Loss 0.9716323614120483, Actions 20, Mean reward 544.3529411764706, Final reward 0.0,  Reward 648.0, Record 1580.0
Game 18, Game Loss 1.344763159751892, Mean Loss 0.9923617839813232, Actions 18, Mean reward 550.1111111111111, Final reward 0.0,  Reward 648.0, Record 1580.0
Game 19, Game Loss 0.8512185215950012, Mean Loss 0.9849332571029663, Actions 10, Mean reward 527.4736842105264, Final reward 0.0,  Reward 120.0, Record 1580.0
Game 20, Game Loss 0.5065560340881348, Mean Loss 0.9610143899917603, Actions 26, Mean reward 567.1, Final reward 0.0,  Reward 1320.0, Record 1580.0
Game 21, Game Loss 0.6416358947753906, Mean Loss 0.9458058476448059, Actions 23, Mean reward 597.2380952380952, Final reward 0.0,  Reward 1200.0, Record 1580.0
Game 22, Game Loss 0.46082693338394165, Mean Loss 0.9237613677978516, Actions 20, Mean reward 620.0909090909091, Final reward 0.0,  Reward 1100.0, Record 1580.0
Game 23, Game Loss 1.1601030826568604, Mean Loss 0.9340370893478394, Actions 8, Mean reward 598.3478260869565, Final reward 0.0,  Reward 120.0, Record 1580.0
Game 24, Game Loss 0.7329602837562561, Mean Loss 0.9256588816642761, Actions 14, Mean reward 585.9166666666666, Final reward 0.0,  Reward 300.0, Record 1580.0
Game 25, Game Loss 0.947813868522644, Mean Loss 0.9265450239181519, Actions 9, Mean reward 570.48, Final reward 0.0,  Reward 200.0, Record 1580.0
Game 26, Game Loss 1.0518490076065063, Mean Loss 0.9313644170761108, Actions 10, Mean reward 552.3846153846154, Final reward 0.0,  Reward 100.0, Record 1580.0
Game 27, Game Loss 0.34277698397636414, Mean Loss 0.9095649123191833, Actions 30, Mean reward 607.7777777777778, Final reward 0.0,  Reward 2048.0, Record 2048.0
Game 28, Game Loss 0.16348466277122498, Mean Loss 0.882919192314148, Actions 33, Mean reward 662.7857142857143, Final reward 0.0,  Reward 2148.0, Record 2148.0
Game 29, Game Loss 0.26877331733703613, Mean Loss 0.8617417812347412, Actions 28, Mean reward 713.5562644894809, Final reward 0.0,  Reward 2135.1316701949486, Record 2148.0
Game 30, Game Loss 0.6883690357208252, Mean Loss 0.8559626936912537, Actions 19, Mean reward 721.371055673165, Final reward 0.0,  Reward 948.0, Record 2148.0
Game 31, Game Loss 0.3941226005554199, Mean Loss 0.8410646319389343, Actions 20, Mean reward 727.133279683708, Final reward 0.0,  Reward 900.0, Record 2148.0
Game 32, Game Loss 2.335860013961792, Mean Loss 0.8877769708633423, Actions 6, Mean reward 695.0353646935921, Final reward 0.0,  Reward -300.0, Record 2148.0
Game 33, Game Loss 2.147643566131592, Mean Loss 0.9259547591209412, Actions 5, Mean reward 667.9130809149984, Final reward 0.0,  Reward -200.0, Record 2148.0
