Game 1, Final reward 0, Action Counter 19, plot_mean_rewards-30.0,  Reward -30, Record -30
Game 2, Final reward 0, Action Counter 5, plot_mean_rewards-19.5,  Reward -9, Record -9
Game 3, Final reward 0, Action Counter 72, plot_mean_rewards-42.0,  Reward -87, Record -9
Game 4, Final reward 0, Action Counter 12, plot_mean_rewards-36.0,  Reward -18, Record -9
Game 5, Final reward 0, Action Counter 6, plot_mean_rewards-31.2,  Reward -12, Record -9
Game 6, Final reward 0, Action Counter 24, plot_mean_rewards-31.5,  Reward -33, Record -9
Game 7, Final reward 0, Action Counter 10, plot_mean_rewards-30.0,  Reward -21, Record -9
Game 8, Final reward 0, Action Counter 36, plot_mean_rewards-33.0,  Reward -54, Record -9
Game 9, Final reward 0, Action Counter 17, plot_mean_rewards-32.333333333333336,  Reward -27, Record -9
Game 10, Final reward 0, Action Counter 5, plot_mean_rewards-30.3,  Reward -12, Record -9
Game 11, Final reward 0, Action Counter 5, plot_mean_rewards-28.363636363636363,  Reward -9, Record -9
Game 12, Final reward 0, Action Counter 6, plot_mean_rewards-26.75,  Reward -9, Record -9
Game 13, Final reward 0, Action Counter 6, plot_mean_rewards-25.153846153846153,  Reward -6, Record -6
Game 14, Final reward 0, Action Counter 39, plot_mean_rewards-26.357142857142858,  Reward -42, Record -6
Game 15, Final reward 0, Action Counter 11, plot_mean_rewards-25.8,  Reward -18, Record -6
Game 16, Final reward 0, Action Counter 43, plot_mean_rewards-27.375,  Reward -51, Record -6
Game 17, Final reward 0, Action Counter 45, plot_mean_rewards-29.11764705882353,  Reward -57, Record -6
Game 18, Final reward 0, Action Counter 19, plot_mean_rewards-28.5,  Reward -18, Record -6
Game 19, Final reward 0, Action Counter 49, plot_mean_rewards-30.0,  Reward -57, Record -6
Game 20, Final reward 0, Action Counter 16, plot_mean_rewards-29.4,  Reward -18, Record -6
Game 21, Final reward 0, Action Counter 29, plot_mean_rewards-29.428571428571427,  Reward -30, Record -6
Game 22, Final reward 0, Action Counter 47, plot_mean_rewards-30.40909090909091,  Reward -51, Record -6
Game 23, Final reward 0, Action Counter 25, plot_mean_rewards-30.52173913043478,  Reward -33, Record -6
Game 24, Final reward 0, Action Counter 49, plot_mean_rewards-30.875,  Reward -39, Record -6
Game 25, Final reward 0, Action Counter 18, plot_mean_rewards-30.48,  Reward -21, Record -6
Game 26, Final reward 0, Action Counter 21, plot_mean_rewards-30.807692307692307,  Reward -39, Record -6
Game 27, Final reward 0, Action Counter 11, plot_mean_rewards-29.88888888888889,  Reward -6, Record -6
Game 28, Final reward 0, Action Counter 51, plot_mean_rewards-32.035714285714285,  Reward -90, Record -6
Game 29, Final reward 0, Action Counter 24, plot_mean_rewards-32.06896551724138,  Reward -33, Record -6
Game 30, Final reward 0, Action Counter 7, plot_mean_rewards-31.5,  Reward -15, Record -6
Game 31, Final reward 0, Action Counter 11, plot_mean_rewards-30.774193548387096,  Reward -9, Record -6
Game 32, Final reward 0, Action Counter 11, plot_mean_rewards-30.46875,  Reward -21, Record -6
Game 33, Final reward 0, Action Counter 7, plot_mean_rewards-29.90909090909091,  Reward -12, Record -6
Game 34, Final reward 0, Action Counter 7, plot_mean_rewards-29.294117647058822,  Reward -9, Record -6
Game 35, Final reward 0, Action Counter 39, plot_mean_rewards-30.0,  Reward -54, Record -6
Game 36, Final reward 0, Action Counter 10, plot_mean_rewards-29.416666666666668,  Reward -9, Record -6
Game 37, Final reward 0, Action Counter 8, plot_mean_rewards-29.027027027027028,  Reward -15, Record -6
Game 38, Final reward 0, Action Counter 9, plot_mean_rewards-28.736842105263158,  Reward -18, Record -6
Game 39, Final reward 0, Action Counter 23, plot_mean_rewards-28.846153846153847,  Reward -33, Record -6
