Game 1, Game Loss 157.9595184326172, Mean Loss 157.9595184326172, Actions 18, Mean reward 581.8743407615848, Final reward 1.5,  Reward 581.8743407615848, Record 581.8743407615848
Game 2, Game Loss 35.29208755493164, Mean Loss 96.62580108642578, Actions 5, Mean reward 302.9371703807924, Final reward 0.0,  Reward 24.0, Record 581.8743407615848
Game 3, Game Loss 23.16284942626953, Mean Loss 72.13815307617188, Actions 16, Mean reward 308.95811358719493, Final reward 1.0,  Reward 321.0, Record 581.8743407615848
Game 4, Game Loss 9.715972900390625, Mean Loss 56.53260803222656, Actions 19, Mean reward 341.3044437762548, Final reward 2.0,  Reward 438.34343434343435, Record 581.8743407615848
Game 5, Game Loss 16536.357421875, Mean Loss 3352.49755859375, Actions 6, Mean reward 281.04355502100384, Final reward 0.0,  Reward 40.0, Record 581.8743407615848
Game 6, Game Loss 177.70388793945312, Mean Loss 2823.365234375, Actions 11, Mean reward 267.53629585083655, Final reward 1.0,  Reward 200.0, Record 581.8743407615848
Game 7, Game Loss 27.166048049926758, Mean Loss 2423.908203125, Actions 7, Mean reward 240.1739678721456, Final reward 0.0,  Reward 76.0, Record 581.8743407615848
Game 8, Game Loss 30.462255477905273, Mean Loss 2124.7275390625, Actions 7, Mean reward 220.0272218881274, Final reward 0.5,  Reward 79.0, Record 581.8743407615848
Game 9, Game Loss 4.863986492156982, Mean Loss 1889.18701171875, Actions 14, Mean reward 216.46864167833547, Final reward 0.0,  Reward 188.0, Record 581.8743407615848
Game 10, Game Loss 3.47342586517334, Mean Loss 1700.6156005859375, Actions 27, Mean reward 242.03756698418616, Final reward 0.5,  Reward 472.15789473684225, Record 581.8743407615848
Game 11, Game Loss 57.457088470458984, Mean Loss 1551.237548828125, Actions 18, Mean reward 259.27972441301455, Final reward 1.0,  Reward 431.7012987012987, Record 581.8743407615848
Game 12, Game Loss 39.15080642700195, Mean Loss 1425.2303466796875, Actions 6, Mean reward 248.08974737859668, Final reward 1.0,  Reward 125.0, Record 581.8743407615848
Game 13, Game Loss 6.9929070472717285, Mean Loss 1316.135009765625, Actions 23, Mean reward 259.55628695753245, Final reward 1.0,  Reward 397.15476190476187, Record 581.8743407615848
Game 14, Game Loss 12.843130111694336, Mean Loss 1223.0428466796875, Actions 6, Mean reward 243.87369503199443, Final reward 0.0,  Reward 40.0, Record 581.8743407615848
Game 15, Game Loss 20.91515350341797, Mean Loss 1142.9010009765625, Actions 35, Mean reward 278.63081906689854, Final reward 2.5,  Reward 765.2305555555556, Record 765.2305555555556
Game 16, Game Loss 37.76152420043945, Mean Loss 1073.829833984375, Actions 24, Mean reward 297.1598452561698, Final reward 1.0,  Reward 575.0952380952381, Record 765.2305555555556
Game 17, Game Loss 40.40575408935547, Mean Loss 1013.0402221679688, Actions 11, Mean reward 295.07201122149314, Final reward 1.5,  Reward 261.66666666666663, Record 765.2305555555556
Game 18, Game Loss 4581.8974609375, Mean Loss 1211.31005859375, Actions 5, Mean reward 281.1235661536324, Final reward 0.0,  Reward 44.0, Record 765.2305555555556
Game 19, Game Loss 13.664692878723145, Mean Loss 1148.276123046875, Actions 22, Mean reward 290.2485466837293, Final reward 1.0,  Reward 454.4981962254727, Record 765.2305555555556
Game 20, Game Loss 27.799278259277344, Mean Loss 1092.252197265625, Actions 12, Mean reward 287.86389712732057, Final reward 1.0,  Reward 242.55555555555551, Record 765.2305555555556
Game 21, Game Loss 70.6181869506836, Mean Loss 1043.60302734375, Actions 11, Mean reward 284.10847345459104, Final reward 1.0,  Reward 209.0, Record 765.2305555555556
Game 22, Game Loss 41.4708251953125, Mean Loss 998.0515747070312, Actions 28, Mean reward 298.1130948851794, Final reward 1.5,  Reward 592.210144927536, Record 765.2305555555556
Game 23, Game Loss 13.672674179077148, Mean Loss 955.25244140625, Actions 27, Mean reward 307.26759800611364, Final reward 1.0,  Reward 508.66666666666663, Record 765.2305555555556
Game 24, Game Loss 29.622623443603516, Mean Loss 916.6845703125, Actions 24, Mean reward 318.88144808919225, Final reward 2.0,  Reward 585.9999999999998, Record 765.2305555555556
Game 25, Game Loss 21.218107223510742, Mean Loss 880.865966796875, Actions 9, Mean reward 309.6461901656246, Final reward 0.0,  Reward 88.0, Record 765.2305555555556
Game 26, Game Loss 26.98015594482422, Mean Loss 848.024169921875, Actions 8, Mean reward 303.97390080028003, Final reward 0.5,  Reward 162.16666666666666, Record 765.2305555555556
