Command main.py play --no-gui --agents simple_net_imitation rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents simple_net_imitation rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents simple_net_imitation rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents simple_net_imitation rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 6.299275875091553, Mean Loss 6.299275875091553, Actions 5, Mean reward -400.0, Reward -400, Record -400
Game 2, Game Loss 7.928355693817139, Mean Loss 7.113815784454346, Actions 7, Mean reward -400.0, Reward -400, Record -400
Game 3, Game Loss 9.15273666381836, Mean Loss 7.793455600738525, Actions 8, Mean reward -366.6666666666667, Reward -300, Record -300
Game 4, Game Loss 5.833064079284668, Mean Loss 7.30335807800293, Actions 12, Mean reward -500.0, Reward -900, Record -300
Game 5, Game Loss 6.651528358459473, Mean Loss 7.172991752624512, Actions 6, Mean reward -460.0, Reward -300, Record -300
Game 6, Game Loss 6.646554470062256, Mean Loss 7.085252285003662, Actions 6, Mean reward -400.0, Reward -100, Record -100
Game 7, Game Loss 8.133818626403809, Mean Loss 7.235047340393066, Actions 17, Mean reward -342.85714285714283, Reward 0, Record 0
Game 8, Game Loss 8.457030296325684, Mean Loss 7.387795448303223, Actions 103, Mean reward -700.0, Reward -3200, Record 0
Game 9, Game Loss 8.309908866882324, Mean Loss 7.4902520179748535, Actions 20, Mean reward -744.4444444444445, Reward -1100, Record 0
Game 10, Game Loss 7.743880271911621, Mean Loss 7.515614986419678, Actions 15, Mean reward -710.0, Reward -400, Record 0
Game 11, Game Loss 6.326159477233887, Mean Loss 7.407482624053955, Actions 19, Mean reward -663.6363636363636, Reward -200, Record 0
