Command main.py play --no-gui --agents simple_net_ppo rule_based_agent --train 1 --scenario empty --n-rounds 20001
Command main.py play --no-gui --agents simple_net_ppo rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 1, Game Loss 167875723264.0, Mean Loss 167875723264.0, Actions 6, Mean reward -300.0, Final reward 0.0,  Reward -300.0, Record -300.0
Game 2, Game Loss 148310818816.0, Mean Loss 158093279232.0, Actions 5, Mean reward -250.0, Final reward 0.0,  Reward -200.0, Record -200.0
Game 3, Game Loss 173419462656.0, Mean Loss 163202007040.0, Actions 5, Mean reward -233.33333333333334, Final reward 0.0,  Reward -200.0, Record -200.0
Game 4, Game Loss 145775755264.0, Mean Loss 158845435904.0, Actions 5, Mean reward -225.0, Final reward 0.0,  Reward -200.0, Record -200.0
Game 5, Game Loss 157609328640.0, Mean Loss 158598217728.0, Actions 5, Mean reward -220.0, Final reward 0.0,  Reward -200.0, Record -200.0
Game 6, Game Loss 73939951616.0, Mean Loss 144488513536.0, Actions 5, Mean reward -216.66666666666666, Final reward 0.0,  Reward -200.0, Record -200.0
Game 7, Game Loss -53132091392.0, Mean Loss 116256997376.0, Actions 5, Mean reward -214.28571428571428, Final reward 0.0,  Reward -200.0, Record -200.0
Game 8, Game Loss -199618330624.0, Mean Loss 76772581376.0, Actions 5, Mean reward -212.5, Final reward 0.0,  Reward -200.0, Record -200.0
Game 9, Game Loss -716963250176.0, Mean Loss -11420289024.0, Actions 6, Mean reward -222.22222222222223, Final reward 0.0,  Reward -300.0, Record -200.0
Game 10, Game Loss -2170400407552.0, Mean Loss -227318300672.0, Actions 5, Mean reward -200.0, Final reward 0.0,  Reward 0.0, Record 0.0
Game 11, Game Loss -5332878229504.0, Mean Loss -691460112384.0, Actions 6, Mean reward -190.9090909090909, Final reward 0.0,  Reward -100.0, Record 0.0
Game 12, Game Loss -15760951869440.0, Mean Loss -1947251113984.0, Actions 5, Mean reward -191.66666666666666, Final reward 0.0,  Reward -200.0, Record 0.0
Game 13, Game Loss -33522972622848.0, Mean Loss -4376152768512.0, Actions 5, Mean reward -192.30769230769232, Final reward 0.0,  Reward -200.0, Record 0.0
Game 14, Game Loss -66350269595648.0, Mean Loss -8802876260352.0, Actions 5, Mean reward -192.85714285714286, Final reward 0.0,  Reward -200.0, Record 0.0
Game 15, Game Loss -127309105332224.0, Mean Loss -16703291392000.0, Actions 6, Mean reward -186.66666666666666, Final reward 0.0,  Reward -100.0, Record 0.0
Game 16, Game Loss -246885088493568.0, Mean Loss -31089653448704.0, Actions 5, Mean reward -187.5, Final reward 0.0,  Reward -200.0, Record 0.0
Game 17, Game Loss -305219871178752.0, Mean Loss -47214961360896.0, Actions 5, Mean reward -188.23529411764707, Final reward 0.0,  Reward -200.0, Record 0.0
Game 18, Game Loss -656898739142656.0, Mean Loss -81086281416704.0, Actions 5, Mean reward -188.88888888888889, Final reward 0.0,  Reward -200.0, Record 0.0
Game 19, Game Loss -1002582336077824.0, Mean Loss -129586075533312.0, Actions 6, Mean reward -194.73684210526315, Final reward 0.0,  Reward -300.0, Record 0.0
Game 20, Game Loss -1516975738060800.0, Mean Loss -198955551948800.0, Actions 5, Mean reward -195.0, Final reward 0.0,  Reward -200.0, Record 0.0
Game 21, Game Loss -2347156409155584.0, Mean Loss -301250851635200.0, Actions 6, Mean reward -200.0, Final reward 0.0,  Reward -300.0, Record 0.0
Game 22, Game Loss -3249702447349760.0, Mean Loss -435271346683904.0, Actions 6, Mean reward -195.45454545454547, Final reward 0.0,  Reward -100.0, Record 0.0
Game 23, Game Loss -5286727321124864.0, Mean Loss -646204270575616.0, Actions 5, Mean reward -195.65217391304347, Final reward 0.0,  Reward -200.0, Record 0.0
Game 24, Game Loss -7276390248349696.0, Mean Loss -922462002872320.0, Actions 5, Mean reward -195.83333333333334, Final reward 0.0,  Reward -200.0, Record 0.0
Game 25, Game Loss -9319097632292864.0, Mean Loss -1258327438786560.0, Actions 5, Mean reward -196.0, Final reward 0.0,  Reward -200.0, Record 0.0
