Command main.py play --no-gui --agents simple_net_q rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 5747126784.0, Mean Loss 5747126784.0, Actions 18, Mean reward 1231.7857142857142, Final reward 1.5,  Reward 1231.7857142857142, Record 1231.7857142857142
Game 2, Game Loss 0.9969388246536255, Mean Loss 2873563392.0, Actions 21, Mean reward 1282.4642857142853, Final reward 1.0,  Reward 1333.1428571428564, Record 1333.1428571428564
Game 3, Game Loss 7.727057456970215, Mean Loss 1915708928.0, Actions 64, Mean reward 1686.6542301784236, Final reward 2.5,  Reward 2495.0341191067, Record 2495.0341191067
Game 4, Game Loss 3.521707057952881, Mean Loss 1436781696.0, Actions 5, Mean reward 1184.9906726338177, Final reward 0.0,  Reward -320.0, Record 2495.0341191067
Game 5, Game Loss 2.5038609504699707, Mean Loss 1149425408.0, Actions 31, Mean reward 989.792971007487, Final reward 1.5,  Reward 209.00216450216453, Record 2495.0341191067
Game 6, Game Loss 2.518789291381836, Mean Loss 957854464.0, Actions 13, Mean reward 968.4941425062392, Final reward 0.0,  Reward 862.0, Record 2495.0341191067
Game 7, Game Loss 2.074023485183716, Mean Loss 821018112.0, Actions 7, Mean reward 790.1378364339192, Final reward 0.0,  Reward -280.0, Record 2495.0341191067
Game 8, Game Loss 2.5764057636260986, Mean Loss 718390848.0, Actions 16, Mean reward 846.5372895966893, Final reward 0.5,  Reward 1241.3334617360802, Record 2495.0341191067
Game 9, Game Loss 2.480363607406616, Mean Loss 638569664.0, Actions 33, Mean reward 956.0331463081683, Final reward 0.0,  Reward 1832.0, Record 2495.0341191067
Game 10, Game Loss 3.0140721797943115, Mean Loss 574712704.0, Actions 6, Mean reward 872.8298316773514, Final reward 1.0,  Reward 124.0, Record 2495.0341191067
Game 11, Game Loss 3.6116487979888916, Mean Loss 522466080.0, Actions 5, Mean reward 764.3907560703195, Final reward 0.0,  Reward -320.0, Record 2495.0341191067
Game 12, Game Loss 1.8516756296157837, Mean Loss 478927232.0, Actions 5, Mean reward 674.0248597311262, Final reward 0.0,  Reward -320.0, Record 2495.0341191067
Game 13, Game Loss 3.3880903720855713, Mean Loss 442086688.0, Actions 5, Mean reward 600.6383320595012, Final reward 0.0,  Reward -280.0, Record 2495.0341191067
Game 14, Game Loss 2.4558866024017334, Mean Loss 410509056.0, Actions 13, Mean reward 540.5927369123939, Final reward 0.0,  Reward -240.0, Record 2495.0341191067
Game 15, Game Loss 2.596128463745117, Mean Loss 383141792.0, Actions 11, Mean reward 563.019887784901, Final reward 0.5,  Reward 877.0, Record 2495.0341191067
Game 16, Game Loss 2.8958122730255127, Mean Loss 359195424.0, Actions 9, Mean reward 495.33114479834467, Final reward 0.0,  Reward -520.0, Record 2495.0341191067
Game 17, Game Loss 3.2906508445739746, Mean Loss 338066272.0, Actions 11, Mean reward 494.00120817621985, Final reward 0.5,  Reward 472.7222222222223, Record 2495.0341191067
Game 18, Game Loss 2.5980100631713867, Mean Loss 319284832.0, Actions 26, Mean reward 570.0411020689639, Final reward 1.5,  Reward 1862.7192982456138, Record 2495.0341191067
Game 19, Game Loss 2.7827656269073486, Mean Loss 302480352.0, Actions 6, Mean reward 524.7757809074395, Final reward 0.5,  Reward -290.0, Record 2495.0341191067
Game 20, Game Loss 2.527111768722534, Mean Loss 287356352.0, Actions 16, Mean reward 533.9369918620675, Final reward 0.5,  Reward 708.0, Record 2495.0341191067
Game 21, Game Loss 1.6301491260528564, Mean Loss 273672704.0, Actions 8, Mean reward 514.8617609570712, Final reward 0.5,  Reward 133.35714285714286, Record 2495.0341191067
Game 22, Game Loss 1.8561925888061523, Mean Loss 261233040.0, Actions 20, Mean reward 526.3802823121694, Final reward 0.5,  Reward 768.269230769231, Record 2495.0341191067
