Command main.py play --no-gui --agents simple_net_q rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 4166666752.0, Mean Loss 4166666752.0, Actions 8, Mean reward -138.0, Final reward 0.5,  Reward -138.0, Record -138.0
Game 2, Game Loss 22.954498291015625, Mean Loss 2083333376.0, Actions 8, Mean reward -159.0, Final reward 0.0,  Reward -180.0, Record -138.0
Game 3, Game Loss 14.464656829833984, Mean Loss 1388888960.0, Actions 25, Mean reward 474.8415103415104, Final reward 1.5,  Reward 1742.5245310245311, Record 1742.5245310245311
Game 4, Game Loss 13.722107887268066, Mean Loss 1041666688.0, Actions 18, Mean reward 697.5571234321235, Final reward 3.0,  Reward 1365.7039627039628, Record 1742.5245310245311
Game 5, Game Loss 11.64334774017334, Mean Loss 833333376.0, Actions 39, Mean reward 580.2264005000847, Final reward 3.5,  Reward 110.90350877192964, Record 1742.5245310245311
Game 6, Game Loss 20.417255401611328, Mean Loss 694444480.0, Actions 5, Mean reward 442.5775559722928, Final reward 0.5,  Reward -245.66666666666669, Record 1742.5245310245311
Game 7, Game Loss 22.2960147857666, Mean Loss 595238080.0, Actions 5, Mean reward 350.78076226196526, Final reward 0.0,  Reward -200.0, Record 1742.5245310245311
Game 8, Game Loss 18.780826568603516, Mean Loss 520833344.0, Actions 8, Mean reward 259.4331669792196, Final reward 0.0,  Reward -380.0, Record 1742.5245310245311
Game 9, Game Loss 22.070554733276367, Mean Loss 462962976.0, Actions 5, Mean reward 203.94059287041742, Final reward 0.0,  Reward -240.0, Record 1742.5245310245311
Game 10, Game Loss 16.17845916748047, Mean Loss 416666688.0, Actions 6, Mean reward 145.5465335833757, Final reward 0.0,  Reward -380.0, Record 1742.5245310245311
Game 11, Game Loss 18.204309463500977, Mean Loss 378787872.0, Actions 5, Mean reward 106.86048507579608, Final reward 0.0,  Reward -280.0, Record 1742.5245310245311
Game 12, Game Loss 10.942997932434082, Mean Loss 347222240.0, Actions 54, Mean reward 311.7480841121192, Final reward 3.0,  Reward 2565.5116735116735, Record 2565.5116735116735
Game 13, Game Loss 15.868311882019043, Mean Loss 320512832.0, Actions 37, Mean reward 371.76746225734075, Final reward 0.5,  Reward 1092.0, Record 2565.5116735116735
