Command main.py play --no-gui --agents simple_net_q rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 17708333056.0, Mean Loss 17708333056.0, Actions 7, Mean reward -137.0, Final reward 1.0,  Reward -137.0, Record -137.0
Game 2, Game Loss 19.552505493164062, Mean Loss 8854166528.0, Actions 5, Mean reward -208.5, Final reward 0.0,  Reward -280.0, Record -137.0
Game 3, Game Loss 16.70832061767578, Mean Loss 5902777856.0, Actions 5, Mean reward -219.0, Final reward 0.0,  Reward -240.0, Record -137.0
Game 4, Game Loss 9.910183906555176, Mean Loss 4427083264.0, Actions 5, Mean reward -195.66666666666669, Final reward 0.5,  Reward -125.66666666666669, Record -125.66666666666669
Game 5, Game Loss 15.2302827835083, Mean Loss 3541666560.0, Actions 14, Mean reward 80.26666666666665, Final reward 0.5,  Reward 1184.0, Record 1184.0
Game 6, Game Loss 22.89813232421875, Mean Loss 2951388928.0, Actions 5, Mean reward 20.22222222222221, Final reward 0.0,  Reward -280.0, Record 1184.0
Game 7, Game Loss 26.641742706298828, Mean Loss 2529761792.0, Actions 6, Mean reward 28.761904761904752, Final reward 0.0,  Reward 80.0, Record 1184.0
Game 8, Game Loss 25.47316551208496, Mean Loss 2213541632.0, Actions 5, Mean reward -12.208333333333343, Final reward 0.5,  Reward -299.0, Record 1184.0
Game 9, Game Loss 20.678865432739258, Mean Loss 1967592576.0, Actions 5, Mean reward -35.18518518518519, Final reward 0.5,  Reward -219.0, Record 1184.0
Game 10, Game Loss 19.878437042236328, Mean Loss 1770833280.0, Actions 5, Mean reward -33.51666666666667, Final reward 0.5,  Reward -18.5, Record 1184.0
Game 11, Game Loss 22.985084533691406, Mean Loss 1609848448.0, Actions 5, Mean reward -55.92424242424243, Final reward 0.0,  Reward -280.0, Record 1184.0
Game 12, Game Loss 23.63916778564453, Mean Loss 1475694464.0, Actions 6, Mean reward -62.930555555555564, Final reward 0.0,  Reward -140.0, Record 1184.0
Game 13, Game Loss 19.6016845703125, Mean Loss 1362179456.0, Actions 5, Mean reward -77.24358974358975, Final reward 0.5,  Reward -249.0, Record 1184.0
Game 14, Game Loss 17.82057762145996, Mean Loss 1264880896.0, Actions 5, Mean reward -87.44047619047619, Final reward 0.0,  Reward -220.0, Record 1184.0
Game 15, Game Loss 24.879291534423828, Mean Loss 1180555520.0, Actions 5, Mean reward -47.44444444444445, Final reward 0.5,  Reward 512.5, Record 1184.0
Game 16, Game Loss 15.081764221191406, Mean Loss 1106770816.0, Actions 5, Mean reward -59.47916666666667, Final reward 0.0,  Reward -240.0, Record 1184.0
Game 17, Game Loss 16.844833374023438, Mean Loss 1041666624.0, Actions 36, Mean reward 25.44385026737969, Final reward 2.0,  Reward 1384.2121212121215, Record 1384.2121212121215
Game 18, Game Loss 27.66903305053711, Mean Loss 983796288.0, Actions 13, Mean reward -22.636363636363626, Final reward 0.0,  Reward -840.0, Record 1384.2121212121215
Game 19, Game Loss 28.473453521728516, Mean Loss 932017536.0, Actions 7, Mean reward -5.392344497607649, Final reward 1.0,  Reward 304.99999999999994, Record 1384.2121212121215
Game 20, Game Loss 31.45210075378418, Mean Loss 885416640.0, Actions 6, Mean reward 29.277272727272738, Final reward 0.0,  Reward 688.0, Record 1384.2121212121215
Game 21, Game Loss 27.645620346069336, Mean Loss 843253952.0, Actions 5, Mean reward 14.549783549783559, Final reward 0.0,  Reward -280.0, Record 1384.2121212121215
Game 22, Game Loss 24.753929138183594, Mean Loss 804924224.0, Actions 5, Mean reward 2.9793388429752152, Final reward 0.0,  Reward -240.0, Record 1384.2121212121215
Game 23, Game Loss 22.192813873291016, Mean Loss 769927552.0, Actions 5, Mean reward -9.32411067193675, Final reward 0.0,  Reward -280.0, Record 1384.2121212121215
Game 24, Game Loss 31.537410736083984, Mean Loss 737847232.0, Actions 5, Mean reward 12.418560606060614, Final reward 0.5,  Reward 512.5, Record 1384.2121212121215
Game 25, Game Loss 28.106224060058594, Mean Loss 708333312.0, Actions 5, Mean reward 0.7218181818181892, Final reward 0.0,  Reward -280.0, Record 1384.2121212121215
