Command main.py play --no-gui --agents simple_net_q rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents simple_net_q rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents simple_net_q rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 6038647808.0, Mean Loss 6038647808.0, Actions 24, Mean reward 1485.3333333333333, Final reward 1.0,  Reward 1485.3333333333333, Record 1485.3333333333333
Game 2, Game Loss 4.548159122467041, Mean Loss 3019323904.0, Actions 9, Mean reward 819.1666666666666, Final reward 0.5,  Reward 153.0, Record 1485.3333333333333
Game 3, Game Loss 3.057969808578491, Mean Loss 2012882560.0, Actions 5, Mean reward 470.77777777777777, Final reward 0.5,  Reward -226.0, Record 1485.3333333333333
Game 4, Game Loss 2.6278457641601562, Mean Loss 1509661952.0, Actions 5, Mean reward 283.0833333333333, Final reward 0.0,  Reward -280.0, Record 1485.3333333333333
Game 5, Game Loss 2.044564962387085, Mean Loss 1207729536.0, Actions 5, Mean reward 294.46666666666664, Final reward 0.0,  Reward 340.0, Record 1485.3333333333333
Game 6, Game Loss 1.5040512084960938, Mean Loss 1006441280.0, Actions 32, Mean reward 298.7641045569455, Final reward 0.5,  Reward 320.2512940083395, Record 1485.3333333333333
Game 7, Game Loss 1.5133713483810425, Mean Loss 862664000.0, Actions 17, Mean reward 302.9406610488104, Final reward 0.0,  Reward 328.0, Record 1485.3333333333333
Game 8, Game Loss 1.7882587909698486, Mean Loss 754830976.0, Actions 5, Mean reward 225.0730784177091, Final reward 0.0,  Reward -320.0, Record 1485.3333333333333
Game 9, Game Loss 2.0412182807922363, Mean Loss 670960896.0, Actions 17, Mean reward 326.73162526018587, Final reward 0.0,  Reward 1140.0, Record 1485.3333333333333
Game 10, Game Loss 1.90302312374115, Mean Loss 603864768.0, Actions 5, Mean reward 268.0584627341673, Final reward 0.0,  Reward -260.0, Record 1485.3333333333333
Game 11, Game Loss 1.3051193952560425, Mean Loss 548968000.0, Actions 36, Mean reward 444.48120780299456, Final reward 2.0,  Reward 2208.708658491267, Record 2208.708658491267
Game 12, Game Loss 1.0369716882705688, Mean Loss 503220640.0, Actions 18, Mean reward 489.51253572417363, Final reward 0.5,  Reward 984.8571428571427, Record 2208.708658491267
Game 13, Game Loss 1.0608664751052856, Mean Loss 464511360.0, Actions 21, Mean reward 509.1397765659039, Final reward 1.0,  Reward 744.6666666666666, Record 2208.708658491267
Game 14, Game Loss 1.1020307540893555, Mean Loss 431332000.0, Actions 22, Mean reward 601.6928177355661, Final reward 0.5,  Reward 1804.8823529411761, Record 2208.708658491267
Game 15, Game Loss 1.8748278617858887, Mean Loss 402576512.0, Actions 22, Mean reward 682.8466298865284, Final reward 0.5,  Reward 1819.0, Record 2208.708658491267
