Command main.py play --no-gui --agents train_rule_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 1666666624.0, Mean Loss 1666666624.0, Actions 20, Mean reward -700.0, Reward -700, Record -700
Game 2, Game Loss 13.198323249816895, Mean Loss 833333312.0, Actions 7, Mean reward -450.0, Reward -200, Record -200
Game 3, Game Loss 10.263680458068848, Mean Loss 555555520.0, Actions 13, Mean reward -433.3333333333333, Reward -400, Record -200
Game 4, Game Loss 7.662031173706055, Mean Loss 416666656.0, Actions 35, Mean reward -325.0, Reward 0, Record 0
Game 5, Game Loss 5.501805782318115, Mean Loss 333333312.0, Actions 10, Mean reward -280.0, Reward -100, Record 0
Game 6, Game Loss 0.9842671155929565, Mean Loss 277777760.0, Actions 143, Mean reward 500.0, Reward 4400, Record 4400
Game 7, Game Loss 0.6905949115753174, Mean Loss 238095232.0, Actions 60, Mean reward 671.4285714285714, Reward 1700, Record 4400
Game 8, Game Loss 0.6422097086906433, Mean Loss 208333328.0, Actions 46, Mean reward 800.0, Reward 1700, Record 4400
Game 9, Game Loss 0.7534146308898926, Mean Loss 185185184.0, Actions 21, Mean reward 822.2222222222222, Reward 1000, Record 4400
Game 10, Game Loss 0.3002851903438568, Mean Loss 166666656.0, Actions 15, Mean reward 820.0, Reward 800, Record 4400
Game 11, Game Loss 0.4994168281555176, Mean Loss 151515152.0, Actions 48, Mean reward 954.5454545454545, Reward 2300, Record 4400
Game 12, Game Loss 0.8028895258903503, Mean Loss 138888880.0, Actions 87, Mean reward 1141.6666666666667, Reward 3200, Record 4400
Game 13, Game Loss 0.7586109638214111, Mean Loss 128205128.0, Actions 26, Mean reward 1123.076923076923, Reward 900, Record 4400
Game 14, Game Loss 0.468679279088974, Mean Loss 119047616.0, Actions 31, Mean reward 1171.4285714285713, Reward 1800, Record 4400
Game 15, Game Loss 0.6138263940811157, Mean Loss 111111112.0, Actions 18, Mean reward 1100.0, Reward 100, Record 4400
Game 16, Game Loss 0.8092269897460938, Mean Loss 104166664.0, Actions 5, Mean reward 1031.25, Reward 0, Record 4400
Game 17, Game Loss 0.9600083827972412, Mean Loss 98039216.0, Actions 54, Mean reward 1000.0, Reward 500, Record 4400
Game 18, Game Loss 0.6257884502410889, Mean Loss 92592592.0, Actions 39, Mean reward 1022.2222222222222, Reward 1400, Record 4400
Game 19, Game Loss 0.8623909950256348, Mean Loss 87719296.0, Actions 26, Mean reward 1068.421052631579, Reward 1900, Record 4400
Game 20, Game Loss 0.4928508400917053, Mean Loss 83333328.0, Actions 48, Mean reward 1200.0, Reward 3700, Record 4400
Game 21, Game Loss 0.6953535676002502, Mean Loss 79365080.0, Actions 45, Mean reward 1266.6666666666667, Reward 2600, Record 4400
