Command main.py play --no-gui --agents ruly_train rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 3.7089054584503174, Mean Loss 3.7089054584503174, Actions 41, Mean reward -200.0, Reward -200, Record -200
Game 2, Game Loss 2.689659357070923, Mean Loss 3.19928240776062, Actions 21, Mean reward 300.0, Reward 800, Record 800
Game 3, Game Loss 1.6859639883041382, Mean Loss 2.694843053817749, Actions 6, Mean reward 166.66666666666666, Reward -100, Record 800
Game 4, Game Loss 2.1809637546539307, Mean Loss 2.566373109817505, Actions 24, Mean reward 100.0, Reward -100, Record 800
Game 5, Game Loss 0.9689332842826843, Mean Loss 2.246885061264038, Actions 37, Mean reward 80.0, Reward 0, Record 800
Game 6, Game Loss 1.1441318988800049, Mean Loss 2.0630929470062256, Actions 15, Mean reward 133.33333333333334, Reward 400, Record 800
Game 7, Game Loss 1.672961711883545, Mean Loss 2.0073599815368652, Actions 67, Mean reward 114.28571428571429, Reward 0, Record 800
Game 8, Game Loss 0.9483169913291931, Mean Loss 1.8749794960021973, Actions 33, Mean reward 375.0, Reward 2200, Record 2200
Game 9, Game Loss 1.2057945728302002, Mean Loss 1.8006256818771362, Actions 38, Mean reward 522.2222222222222, Reward 1700, Record 2200
Game 10, Game Loss 1.337060809135437, Mean Loss 1.7542692422866821, Actions 38, Mean reward 600.0, Reward 1300, Record 2200
Game 11, Game Loss 1.175220251083374, Mean Loss 1.7016284465789795, Actions 55, Mean reward 800.0, Reward 2800, Record 2800
Game 12, Game Loss 0.7136595845222473, Mean Loss 1.6192976236343384, Actions 30, Mean reward 825.0, Reward 1100, Record 2800
Game 13, Game Loss 1.132815957069397, Mean Loss 1.5818760395050049, Actions 25, Mean reward 853.8461538461538, Reward 1200, Record 2800
Game 14, Game Loss 1.5894969701766968, Mean Loss 1.5824203491210938, Actions 5, Mean reward 792.8571428571429, Reward 0, Record 2800
Game 15, Game Loss 1.2328855991363525, Mean Loss 1.5591180324554443, Actions 21, Mean reward 806.6666666666666, Reward 1000, Record 2800
Game 16, Game Loss 0.9898180365562439, Mean Loss 1.5235368013381958, Actions 41, Mean reward 818.75, Reward 1000, Record 2800
