Command main.py play --no-gui --agents ruly_train rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 5.806741237640381, Mean Loss 5.806741237640381, Actions 29, Mean reward -600.0, Reward -600, Record -600
Game 2, Game Loss 3.980961322784424, Mean Loss 4.893851280212402, Actions 31, Mean reward -600.0, Reward -600, Record -600
Game 3, Game Loss 10.943011283874512, Mean Loss 6.910237789154053, Actions 11, Mean reward -400.0, Reward 0, Record 0
Game 4, Game Loss 0.3481438457965851, Mean Loss 5.26971435546875, Actions 12, Mean reward -75.0, Reward 900, Record 900
Game 5, Game Loss 4.146650791168213, Mean Loss 5.045101642608643, Actions 33, Mean reward -60.0, Reward 0, Record 900
Game 6, Game Loss 2.4812839031219482, Mean Loss 4.617798328399658, Actions 25, Mean reward 83.33333333333333, Reward 800, Record 900
Game 7, Game Loss 2.7411351203918457, Mean Loss 4.349703788757324, Actions 12, Mean reward 114.28571428571429, Reward 300, Record 900
Game 8, Game Loss 1.5841608047485352, Mean Loss 4.0040106773376465, Actions 27, Mean reward 225.0, Reward 1000, Record 1000
Game 9, Game Loss 2.073352813720703, Mean Loss 3.7894930839538574, Actions 33, Mean reward 333.3333333333333, Reward 1200, Record 1200
Game 10, Game Loss 0.9684057235717773, Mean Loss 3.5073845386505127, Actions 76, Mean reward 690.0, Reward 3900, Record 3900
Game 11, Game Loss 0.9896128177642822, Mean Loss 3.278496026992798, Actions 58, Mean reward 763.6363636363636, Reward 1500, Record 3900
Game 12, Game Loss 0.889634907245636, Mean Loss 3.0794241428375244, Actions 56, Mean reward 825.0, Reward 1500, Record 3900
Game 13, Game Loss 0.9553229212760925, Mean Loss 2.916031837463379, Actions 79, Mean reward 1053.8461538461538, Reward 3800, Record 3900
Game 14, Game Loss 1.0642321109771729, Mean Loss 2.7837603092193604, Actions 24, Mean reward 1057.142857142857, Reward 1100, Record 3900
Game 15, Game Loss 0.4854864776134491, Mean Loss 2.630542039871216, Actions 13, Mean reward 1013.3333333333334, Reward 400, Record 3900
Game 16, Game Loss 0.7318864464759827, Mean Loss 2.511876106262207, Actions 45, Mean reward 1087.5, Reward 2200, Record 3900
Game 17, Game Loss 0.8498347997665405, Mean Loss 2.414108991622925, Actions 58, Mean reward 1111.764705882353, Reward 1500, Record 3900
Game 18, Game Loss 0.5607830882072449, Mean Loss 2.3111464977264404, Actions 18, Mean reward 1100.0, Reward 900, Record 3900
Game 19, Game Loss 0.4940468370914459, Mean Loss 2.2155094146728516, Actions 7, Mean reward 1031.578947368421, Reward -200, Record 3900
Game 20, Game Loss 0.09126955270767212, Mean Loss 2.109297513961792, Actions 12, Mean reward 1025.0, Reward 900, Record 3900
Game 21, Game Loss 0.761708676815033, Mean Loss 2.0451266765594482, Actions 80, Mean reward 1114.2857142857142, Reward 2900, Record 3900
Game 22, Game Loss 0.5055019855499268, Mean Loss 1.975143551826477, Actions 21, Mean reward 1109.090909090909, Reward 1000, Record 3900
Game 23, Game Loss 1.3018909692764282, Mean Loss 1.9458717107772827, Actions 44, Mean reward 1126.0869565217392, Reward 1500, Record 3900
Game 24, Game Loss 9.475872039794922, Mean Loss 2.2596218585968018, Actions 7, Mean reward 1087.5, Reward 200, Record 3900
Game 25, Game Loss 0.6833357810974121, Mean Loss 2.19657039642334, Actions 47, Mean reward 1148.0, Reward 2600, Record 3900
Game 26, Game Loss 0.7172514200210571, Mean Loss 2.1396734714508057, Actions 17, Mean reward 1126.923076923077, Reward 600, Record 3900
Game 27, Game Loss 0.46868953108787537, Mean Loss 2.077785015106201, Actions 45, Mean reward 1174.0740740740741, Reward 2400, Record 3900
Game 28, Game Loss 0.488292932510376, Mean Loss 2.021017551422119, Actions 48, Mean reward 1257.142857142857, Reward 3500, Record 3900
Game 29, Game Loss 0.37995821237564087, Mean Loss 1.964429259300232, Actions 31, Mean reward 1296.551724137931, Reward 2400, Record 3900
Game 30, Game Loss 0.8624791502952576, Mean Loss 1.9276976585388184, Actions 28, Mean reward 1290.0, Reward 1100, Record 3900
Game 31, Game Loss 0.5012568235397339, Mean Loss 1.881683349609375, Actions 13, Mean reward 1274.1935483870968, Reward 800, Record 3900
Game 32, Game Loss 0.522758960723877, Mean Loss 1.839216947555542, Actions 32, Mean reward 1281.25, Reward 1500, Record 3900
Game 33, Game Loss 1.0195186138153076, Mean Loss 1.8143776655197144, Actions 36, Mean reward 1287.878787878788, Reward 1500, Record 3900
Game 34, Game Loss 0.8919747471809387, Mean Loss 1.787248134613037, Actions 62, Mean reward 1352.9411764705883, Reward 3500, Record 3900
Game 35, Game Loss 1.2384400367736816, Mean Loss 1.771567940711975, Actions 12, Mean reward 1328.5714285714287, Reward 500, Record 3900
Game 36, Game Loss 0.7272887825965881, Mean Loss 1.7425601482391357, Actions 19, Mean reward 1308.3333333333333, Reward 600, Record 3900
Game 37, Game Loss 0.42993173003196716, Mean Loss 1.7070837020874023, Actions 20, Mean reward 1302.7027027027027, Reward 1100, Record 3900
Game 38, Game Loss 0.2592718303203583, Mean Loss 1.6689834594726562, Actions 15, Mean reward 1300.0, Reward 1200, Record 3900
Game 39, Game Loss 0.8262734413146973, Mean Loss 1.647375464439392, Actions 101, Mean reward 1323.076923076923, Reward 2200, Record 3900
Game 40, Game Loss 0.6075473427772522, Mean Loss 1.6213796138763428, Actions 61, Mean reward 1345.0, Reward 2200, Record 3900
Game 41, Game Loss 0.6154687404632568, Mean Loss 1.596845269203186, Actions 24, Mean reward 1343.9024390243903, Reward 1300, Record 3900
Game 42, Game Loss 0.573760449886322, Mean Loss 1.572486162185669, Actions 47, Mean reward 1364.2857142857142, Reward 2200, Record 3900
Game 43, Game Loss 0.9359299540519714, Mean Loss 1.5576825141906738, Actions 15, Mean reward 1346.5116279069769, Reward 600, Record 3900
Game 44, Game Loss 0.5417830944061279, Mean Loss 1.534593939781189, Actions 26, Mean reward 1340.909090909091, Reward 1100, Record 3900
Game 45, Game Loss 0.6394988894462585, Mean Loss 1.5147029161453247, Actions 22, Mean reward 1322.2222222222222, Reward 500, Record 3900
Game 46, Game Loss 0.4731258153915405, Mean Loss 1.4920599460601807, Actions 28, Mean reward 1334.7826086956522, Reward 1900, Record 3900
Game 47, Game Loss 0.6477512121200562, Mean Loss 1.4740959405899048, Actions 107, Mean reward 1417.0212765957447, Reward 5200, Record 5200
Game 48, Game Loss 0.47179168462753296, Mean Loss 1.4532146453857422, Actions 39, Mean reward 1429.1666666666667, Reward 2000, Record 5200
Game 49, Game Loss 0.7690542936325073, Mean Loss 1.4392521381378174, Actions 36, Mean reward 1446.938775510204, Reward 2300, Record 5200
Game 50, Game Loss 1.0120632648468018, Mean Loss 1.4307082891464233, Actions 9, Mean reward 1422.0, Reward 200, Record 5200
Game 51, Game Loss 0.6984067559242249, Mean Loss 1.4163495302200317, Actions 68, Mean reward 1466.6666666666667, Reward 3700, Record 5200
Game 52, Game Loss 0.9923453330993652, Mean Loss 1.4081956148147583, Actions 33, Mean reward 1473.076923076923, Reward 1800, Record 5200
Game 53, Game Loss 2.4333808422088623, Mean Loss 1.4275387525558472, Actions 32, Mean reward 1473.5849056603774, Reward 1500, Record 5200
Game 54, Game Loss 1.2688233852386475, Mean Loss 1.424599528312683, Actions 46, Mean reward 1492.5925925925926, Reward 2500, Record 5200
Game 55, Game Loss 1.0211488008499146, Mean Loss 1.4172641038894653, Actions 29, Mean reward 1494.5454545454545, Reward 1600, Record 5200
Game 56, Game Loss 0.8291214108467102, Mean Loss 1.4067615270614624, Actions 25, Mean reward 1500.0, Reward 1800, Record 5200
Game 57, Game Loss 0.8473027944564819, Mean Loss 1.3969465494155884, Actions 31, Mean reward 1501.7543859649122, Reward 1600, Record 5200
Game 58, Game Loss 0.14287087321281433, Mean Loss 1.3753244876861572, Actions 12, Mean reward 1491.3793103448277, Reward 900, Record 5200
Game 59, Game Loss 0.505603015422821, Mean Loss 1.3605834245681763, Actions 67, Mean reward 1544.0677966101696, Reward 4600, Record 5200
Game 60, Game Loss 0.3150758147239685, Mean Loss 1.3431583642959595, Actions 19, Mean reward 1538.3333333333333, Reward 1200, Record 5200
Game 61, Game Loss 0.5404285192489624, Mean Loss 1.3299988508224487, Actions 89, Mean reward 1598.360655737705, Reward 5200, Record 5200
Game 62, Game Loss 0.4213842451572418, Mean Loss 1.3153437376022339, Actions 89, Mean reward 1666.1290322580646, Reward 5800, Record 5800
Game 63, Game Loss 0.41686320304870605, Mean Loss 1.3010821342468262, Actions 37, Mean reward 1665.079365079365, Reward 1600, Record 5800
Game 64, Game Loss 0.5824456214904785, Mean Loss 1.2898534536361694, Actions 54, Mean reward 1690.625, Reward 3300, Record 5800
