Command main.py play --no-gui --agents train_rule_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Command main.py play --no-gui --agents train_rule_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 1, Game Loss 16.500595092773438, Mean Loss 16.500595092773438, Actions 7, Mean reward -600.0, Reward -600, Record -600
Game 2, Game Loss 16.25959014892578, Mean Loss 16.38009262084961, Actions 7, Mean reward -500.0, Reward -400, Record -400
Game 3, Game Loss 15.020377159118652, Mean Loss 15.926854133605957, Actions 7, Mean reward -466.6666666666667, Reward -400, Record -400
Game 4, Game Loss 15.412996292114258, Mean Loss 15.798389434814453, Actions 9, Mean reward -550.0, Reward -800, Record -400
Game 5, Game Loss 8.552289962768555, Mean Loss 14.349169731140137, Actions 17, Mean reward -720.0, Reward -1400, Record -400
Game 6, Game Loss 8.023553848266602, Mean Loss 13.294899940490723, Actions 13, Mean reward -733.3333333333334, Reward -800, Record -400
Game 7, Game Loss 13.086241722106934, Mean Loss 13.265091896057129, Actions 14, Mean reward -728.5714285714286, Reward -700, Record -400
Game 8, Game Loss 2.1446022987365723, Mean Loss 11.875030517578125, Actions 8, Mean reward -725.0, Reward -700, Record -400
Game 9, Game Loss 18.831584930419922, Mean Loss 12.647981643676758, Actions 7, Mean reward -666.6666666666666, Reward -200, Record -200
Game 10, Game Loss 7.667445659637451, Mean Loss 12.149927139282227, Actions 26, Mean reward -790.0, Reward -1900, Record -200
Game 11, Game Loss 4.2195963859558105, Mean Loss 11.428988456726074, Actions 12, Mean reward -800.0, Reward -900, Record -200
Game 12, Game Loss 0.672730028629303, Mean Loss 10.532633781433105, Actions 8, Mean reward -791.6666666666666, Reward -700, Record -200
Game 13, Game Loss 18.45041847229004, Mean Loss 11.141694068908691, Actions 7, Mean reward -730.7692307692307, Reward 0, Record 0
Game 14, Game Loss 11.577183723449707, Mean Loss 11.172800064086914, Actions 7, Mean reward -707.1428571428571, Reward -400, Record 0
Game 15, Game Loss 12.527764320373535, Mean Loss 11.263132095336914, Actions 11, Mean reward -673.3333333333334, Reward -200, Record 0
Game 16, Game Loss 7.862936019897461, Mean Loss 11.050619125366211, Actions 15, Mean reward -681.25, Reward -800, Record 0
Game 17, Game Loss 5.985627174377441, Mean Loss 10.752677917480469, Actions 6, Mean reward -658.8235294117648, Reward -300, Record 0
Game 18, Game Loss 15.474334716796875, Mean Loss 11.014992713928223, Actions 7, Mean reward -611.1111111111111, Reward 200, Record 200
Game 19, Game Loss 14.322487831115723, Mean Loss 11.189071655273438, Actions 9, Mean reward -578.9473684210526, Reward 0, Record 200
Game 20, Game Loss 3.92720627784729, Mean Loss 10.82597827911377, Actions 14, Mean reward -585.0, Reward -700, Record 200
Game 21, Game Loss 6.194219589233398, Mean Loss 10.60541820526123, Actions 13, Mean reward -576.1904761904761, Reward -400, Record 200
Game 22, Game Loss 1.9223158359527588, Mean Loss 10.210731506347656, Actions 8, Mean reward -581.8181818181819, Reward -700, Record 200
Game 23, Game Loss 15.4992036819458, Mean Loss 10.440665245056152, Actions 10, Mean reward -543.4782608695652, Reward 300, Record 300
Game 24, Game Loss 0.7889118790626526, Mean Loss 10.038508415222168, Actions 16, Mean reward -575.0, Reward -1300, Record 300
Game 25, Game Loss 2.4679088592529297, Mean Loss 9.735684394836426, Actions 12, Mean reward -580.0, Reward -700, Record 300
Game 26, Game Loss 0.6649531126022339, Mean Loss 9.386810302734375, Actions 12, Mean reward -600.0, Reward -1100, Record 300
Game 27, Game Loss 0.18985192477703094, Mean Loss 9.046181678771973, Actions 8, Mean reward -603.7037037037037, Reward -700, Record 300
Game 28, Game Loss 0.338708758354187, Mean Loss 8.735200881958008, Actions 7, Mean reward -589.2857142857143, Reward -200, Record 300
Game 29, Game Loss 3.36002516746521, Mean Loss 8.549850463867188, Actions 24, Mean reward -593.1034482758621, Reward -700, Record 300
Game 30, Game Loss 7.856675624847412, Mean Loss 8.526744842529297, Actions 7, Mean reward -573.3333333333334, Reward 0, Record 300
Game 31, Game Loss 9.842658042907715, Mean Loss 8.569192886352539, Actions 11, Mean reward -554.8387096774194, Reward 0, Record 300
Game 32, Game Loss 2.8529372215270996, Mean Loss 8.390560150146484, Actions 15, Mean reward -562.5, Reward -800, Record 300
Game 33, Game Loss 6.442490577697754, Mean Loss 8.331527709960938, Actions 18, Mean reward -560.6060606060606, Reward -500, Record 300
Game 34, Game Loss 15.202392578125, Mean Loss 8.533612251281738, Actions 15, Mean reward -526.4705882352941, Reward 600, Record 600
Game 35, Game Loss 4.235684871673584, Mean Loss 8.41081428527832, Actions 7, Mean reward -517.1428571428571, Reward -200, Record 600
Game 36, Game Loss 3.712789297103882, Mean Loss 8.280314445495605, Actions 15, Mean reward -491.6666666666667, Reward 400, Record 600
Game 37, Game Loss 3.026132583618164, Mean Loss 8.13830852508545, Actions 10, Mean reward -475.6756756756757, Reward 100, Record 600
Game 38, Game Loss 9.769902229309082, Mean Loss 8.181245803833008, Actions 21, Mean reward -478.94736842105266, Reward -600, Record 600
Game 39, Game Loss 9.160245895385742, Mean Loss 8.206348419189453, Actions 15, Mean reward -466.6666666666667, Reward 0, Record 600
Game 40, Game Loss 6.0350871086120605, Mean Loss 8.152067184448242, Actions 6, Mean reward -462.5, Reward -300, Record 600
Game 41, Game Loss 4.543949604034424, Mean Loss 8.064064025878906, Actions 9, Mean reward -436.5853658536585, Reward 600, Record 600
Game 42, Game Loss 1.3838316202163696, Mean Loss 7.905010223388672, Actions 5, Mean reward -426.1904761904762, Reward 0, Record 600
Game 43, Game Loss 11.457551956176758, Mean Loss 7.9876275062561035, Actions 16, Mean reward -423.25581395348837, Reward -300, Record 600
Game 44, Game Loss 6.401315689086914, Mean Loss 7.951574802398682, Actions 40, Mean reward -443.1818181818182, Reward -1300, Record 600
Game 45, Game Loss 3.7684860229492188, Mean Loss 7.858617305755615, Actions 84, Mean reward -417.77777777777777, Reward 700, Record 700
Game 46, Game Loss 8.515294075012207, Mean Loss 7.8728928565979, Actions 21, Mean reward -404.3478260869565, Reward 200, Record 700
Game 47, Game Loss 9.661628723144531, Mean Loss 7.910951137542725, Actions 7, Mean reward -395.74468085106383, Reward 0, Record 700
