Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss -37568422871040.0, Mean Loss -37568422871040.0, Actions 38, Mean reward 2637.5, Final reward 2.5,  Reward 2637.5, Record 2637.5
Game 2, Game Loss -310572474171392.0, Mean Loss -174070444326912.0, Actions 10, Mean reward 1483.138888888889, Final reward 2.0,  Reward 328.77777777777777, Record 2637.5
Game 3, Game Loss -399905076019200.0, Mean Loss -249348671668224.0, Actions 5, Mean reward 1002.5925925925926, Final reward 0.5,  Reward 41.5, Record 2637.5
Game 4, Game Loss -3995839735267328.0, Mean Loss -1185971466928128.0, Actions 40, Mean reward 1526.9444444444443, Final reward 0.0,  Reward 3100.0, Record 3100.0
Game 5, Game Loss -1.5333041836654592e+16, Mean Loss -4015385594560512.0, Actions 28, Mean reward 1383.9555555555555, Final reward 1.0,  Reward 812.0, Record 3100.0
Game 6, Game Loss -2.466353831215104e+16, Mean Loss -7456744515043328.0, Actions 8, Mean reward 1210.4629629629628, Final reward 0.5,  Reward 343.0, Record 3100.0
Game 7, Game Loss -7.90692827674706e+16, Mean Loss -1.7687106969141248e+16, Actions 9, Mean reward 1066.111111111111, Final reward 0.0,  Reward 200.0, Record 3100.0
Game 8, Game Loss -8.748978948957798e+16, Mean Loss -2.6412442552631296e+16, Actions 5, Mean reward 932.8472222222222, Final reward 0.0,  Reward 0.0, Record 3100.0
Game 9, Game Loss -9.24456234034135e+16, Mean Loss -3.374946431742771e+16, Actions 13, Mean reward 857.4197530864197, Final reward 0.5,  Reward 254.0, Record 3100.0
Game 10, Game Loss -1.492027486366597e+17, Mean Loss -4.529479382309274e+16, Actions 24, Mean reward 867.5277777777777, Final reward 0.5,  Reward 958.5, Record 3100.0
Game 11, Game Loss -3.8245316253292954e+17, Mean Loss -7.59455530530898e+16, Actions 68, Mean reward 912.954515832815, Final reward 2.5,  Reward 1367.221896383187, Record 3100.0
Game 12, Game Loss -6.590757195523031e+17, Mean Loss -1.2453973216303514e+17, Actions 33, Mean reward 981.7321157038899, Final reward 0.5,  Reward 1738.2857142857142, Record 3100.0
Game 13, Game Loss -7.318888155174666e+17, Mean Loss -1.7125890035023872e+17, Actions 9, Mean reward 908.7142606497445, Final reward 0.5,  Reward 32.5, Record 3100.0
Game 14, Game Loss -1.0837732183360143e+18, Mean Loss -2.364384822207447e+17, Actions 43, Mean reward 908.920044752994, Final reward 1.5,  Reward 911.5952380952381, Record 3100.0
Game 15, Game Loss -2.2773682693944115e+18, Mean Loss -3.725004519977779e+17, Actions 37, Mean reward 1029.792041769461, Final reward 1.0,  Reward 2721.9999999999995, Record 3100.0
Game 16, Game Loss -2.5094316058696745e+18, Mean Loss -5.060586791795425e+17, Actions 26, Mean reward 939.9965074128381, Final reward 1.5,  Reward -406.93650793650795, Record 3100.0
Game 17, Game Loss -2.453217424632185e+18, Mean Loss -6.205974167850844e+17, Actions 6, Mean reward 878.8202422709064, Final reward 0.0,  Reward -100.0, Record 3100.0
Game 18, Game Loss -4.314939924718551e+18, Mean Loss -8.25838648137089e+17, Actions 73, Mean reward 758.163562144745, Final reward 1.0,  Reward -1293.0, Record 3100.0
Game 19, Game Loss -4.764829296478913e+18, Mean Loss -1.0331539020164628e+18, Actions 7, Mean reward 732.07600624239, Final reward 0.5,  Reward 262.5, Record 3100.0
Game 20, Game Loss -5.465758613337276e+18, Mean Loss -1.2547841100947128e+18, Actions 9, Mean reward 715.4722059302705, Final reward 0.0,  Reward 400.0, Record 3100.0
Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 1, Game Loss -7.125259209720988e+18, Mean Loss -7.125259209720988e+18, Actions 27, Mean reward 0.0, Final reward 0.0,  Reward 0.0, Record 0.0
Game 2, Game Loss -8.91484192727525e+18, Mean Loss -8.020050568498119e+18, Actions 35, Mean reward 974.0, Final reward 0.0,  Reward 1948.0, Record 1948.0
