Command main.py play --no-gui --agents ppo2_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss -1323684096.0, Mean Loss -1323684096.0, Actions 13, Mean reward 1256.5, Final reward 0.5,  Reward 1256.5, Record 1256.5
Game 2, Game Loss -998948339712.0, Mean Loss -500136017920.0, Actions 18, Mean reward 1532.6732921921325, Final reward 0.5,  Reward 1808.8465843842648, Record 1808.8465843842648
Game 3, Game Loss -7509035188224.0, Mean Loss -2836435828736.0, Actions 9, Mean reward 1309.9488614614218, Final reward 0.5,  Reward 864.5, Record 1808.8465843842648
Game 4, Game Loss -23697788239872.0, Mean Loss -8051773931520.0, Actions 11, Mean reward 1248.8366460960663, Final reward 0.5,  Reward 1065.5, Record 1808.8465843842648
Game 5, Game Loss -72676777394176.0, Mean Loss -20976775462912.0, Actions 12, Mean reward 1233.069316876853, Final reward 0.5,  Reward 1170.0, Record 1808.8465843842648
Game 6, Game Loss -130700091064320.0, Mean Loss -39263991234560.0, Actions 7, Mean reward 1130.8910973973775, Final reward 0.0,  Reward 620.0, Record 1808.8465843842648
Game 7, Game Loss -410808152489984.0, Mean Loss -92341729755136.0, Actions 18, Mean reward 1219.192369197752, Final reward 0.5,  Reward 1749.0, Record 1808.8465843842648
Game 8, Game Loss -1792495071526912.0, Mean Loss -304860905865216.0, Actions 25, Mean reward 1402.5281715328815, Final reward 2.0,  Reward 2685.8787878787884, Record 2685.8787878787884
Game 9, Game Loss -4089122398404608.0, Mean Loss -725334412492800.0, Actions 8, Mean reward 1333.8028191403391, Final reward 0.5,  Reward 784.0, Record 2685.8787878787884
Game 10, Game Loss -4891292366536704.0, Mean Loss -1141930201186304.0, Actions 9, Mean reward 1282.4225372263052, Final reward 0.0,  Reward 820.0, Record 2685.8787878787884
Game 11, Game Loss -4934570604494848.0, Mean Loss -1486715680194560.0, Actions 9, Mean reward 1254.9447308117926, Final reward 1.5,  Reward 980.1666666666667, Record 2685.8787878787884
