Command main.py play --no-gui --agents ppo_agent rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss -806400.5625, Mean Loss -806400.5625, Actions 5, Mean reward 422.5, Final reward 0.5,  Reward 422.5, Record 422.5
Game 2, Game Loss -208948.671875, Mean Loss -507674.625, Actions 6, Mean reward 461.25, Final reward 0.0,  Reward 500.0, Record 500.0
Game 3, Game Loss -1835573.0, Mean Loss -950307.4375, Actions 5, Mean reward 448.3333333333333, Final reward 0.5,  Reward 422.5, Record 500.0
Game 4, Game Loss -12544737.0, Mean Loss -3848914.75, Actions 5, Mean reward 436.25, Final reward 0.0,  Reward 400.0, Record 500.0
Game 5, Game Loss -75280664.0, Mean Loss -18135264.0, Actions 5, Mean reward 429.0, Final reward 0.0,  Reward 400.0, Record 500.0
Game 6, Game Loss -312524768.0, Mean Loss -67200184.0, Actions 5, Mean reward 424.1666666666667, Final reward 0.0,  Reward 400.0, Record 500.0
Game 7, Game Loss -1065270592.0, Mean Loss -209781664.0, Actions 5, Mean reward 423.92857142857144, Final reward 0.5,  Reward 422.5, Record 500.0
Game 8, Game Loss -2653968384.0, Mean Loss -515305024.0, Actions 5, Mean reward 420.9375, Final reward 0.0,  Reward 400.0, Record 500.0
Game 9, Game Loss -3946729728.0, Mean Loss -896574464.0, Actions 5, Mean reward 418.6111111111111, Final reward 0.0,  Reward 400.0, Record 500.0
Game 10, Game Loss -7227793920.0, Mean Loss -1529696512.0, Actions 6, Mean reward 426.75, Final reward 0.0,  Reward 500.0, Record 500.0
Game 11, Game Loss -23509307392.0, Mean Loss -3527843072.0, Actions 5, Mean reward 424.3181818181818, Final reward 0.0,  Reward 400.0, Record 500.0
Game 12, Game Loss -26606489600.0, Mean Loss -5451063808.0, Actions 5, Mean reward 422.2916666666667, Final reward 0.0,  Reward 400.0, Record 500.0
Game 13, Game Loss -40142426112.0, Mean Loss -8119629824.0, Actions 7, Mean reward 437.7692307692308, Final reward 0.5,  Reward 623.5, Record 623.5
Game 14, Game Loss -91571625984.0, Mean Loss -14080486400.0, Actions 5, Mean reward 435.07142857142856, Final reward 0.0,  Reward 400.0, Record 623.5
Game 15, Game Loss -126679138304.0, Mean Loss -21587064832.0, Actions 5, Mean reward 434.06666666666666, Final reward 0.0,  Reward 420.0, Record 623.5
Game 16, Game Loss -157313253376.0, Mean Loss -30069952512.0, Actions 9, Mean reward 466.25, Final reward 1.0,  Reward 949.0, Record 949.0
Game 17, Game Loss -354577350656.0, Mean Loss -49158623232.0, Actions 5, Mean reward 463.52941176470586, Final reward 0.0,  Reward 420.0, Record 949.0
Game 18, Game Loss -543094571008.0, Mean Loss -76599508992.0, Actions 5, Mean reward 461.25, Final reward 0.5,  Reward 422.5, Record 949.0
Game 19, Game Loss -720756539392.0, Mean Loss -110502510592.0, Actions 5, Mean reward 459.2105263157895, Final reward 0.5,  Reward 422.5, Record 949.0
Game 20, Game Loss -847946514432.0, Mean Loss -147374702592.0, Actions 5, Mean reward 456.25, Final reward 0.0,  Reward 400.0, Record 949.0
Game 21, Game Loss -1210600652800.0, Mean Loss -198004523008.0, Actions 5, Mean reward 453.57142857142856, Final reward 0.0,  Reward 400.0, Record 949.0
Game 22, Game Loss -1278042701824.0, Mean Loss -247097180160.0, Actions 6, Mean reward 456.72727272727275, Final reward 0.5,  Reward 523.0, Record 949.0
Game 23, Game Loss -1601853194240.0, Mean Loss -305999609856.0, Actions 5, Mean reward 454.2608695652174, Final reward 0.0,  Reward 400.0, Record 949.0
Game 24, Game Loss -2358347825152.0, Mean Loss -391514128384.0, Actions 5, Mean reward 452.0, Final reward 0.0,  Reward 400.0, Record 949.0
Game 25, Game Loss -2273691041792.0, Mean Loss -466801197056.0, Actions 7, Mean reward 458.72, Final reward 0.0,  Reward 620.0, Record 949.0
Game 26, Game Loss -3442012061696.0, Mean Loss -581232361472.0, Actions 5, Mean reward 457.2307692307692, Final reward 0.0,  Reward 420.0, Record 949.0
Game 27, Game Loss -4093946626048.0, Mean Loss -711332921344.0, Actions 5, Mean reward 455.85185185185185, Final reward 0.0,  Reward 420.0, Record 949.0
Game 28, Game Loss -4713772744704.0, Mean Loss -854277160960.0, Actions 5, Mean reward 454.57142857142856, Final reward 0.0,  Reward 420.0, Record 949.0
Game 29, Game Loss -4055382097920.0, Mean Loss -964660101120.0, Actions 6, Mean reward 456.13793103448273, Final reward 0.0,  Reward 500.0, Record 949.0
Game 30, Game Loss -7071748063232.0, Mean Loss -1168229662720.0, Actions 5, Mean reward 454.26666666666665, Final reward 0.0,  Reward 400.0, Record 949.0
Game 31, Game Loss -7566465171456.0, Mean Loss -1374624415744.0, Actions 5, Mean reward 452.51612903225805, Final reward 0.0,  Reward 400.0, Record 949.0
Game 32, Game Loss -8201585033216.0, Mean Loss -1587966902272.0, Actions 6, Mean reward 454.0, Final reward 0.0,  Reward 500.0, Record 949.0
Game 33, Game Loss -10740676165632.0, Mean Loss -1865321807872.0, Actions 5, Mean reward 452.3636363636364, Final reward 0.0,  Reward 400.0, Record 949.0
Game 34, Game Loss -15325205626880.0, Mean Loss -2261200666624.0, Actions 5, Mean reward 451.4852941176471, Final reward 0.5,  Reward 422.5, Record 949.0
Game 35, Game Loss -12851134595072.0, Mean Loss -2563770155008.0, Actions 5, Mean reward 450.5857142857143, Final reward 0.0,  Reward 420.0, Record 949.0
Game 36, Game Loss -15264540262400.0, Mean Loss -2916569317376.0, Actions 5, Mean reward 449.7361111111111, Final reward 0.0,  Reward 420.0, Record 949.0
Game 37, Game Loss -20563626033152.0, Mean Loss -3393516732416.0, Actions 5, Mean reward 449.0, Final reward 0.5,  Reward 422.5, Record 949.0
Game 38, Game Loss -22189147422720.0, Mean Loss -3888138682368.0, Actions 5, Mean reward 448.30263157894734, Final reward 0.5,  Reward 422.5, Record 949.0
Game 39, Game Loss -18889345859584.0, Mean Loss -4272785195008.0, Actions 5, Mean reward 447.06410256410254, Final reward 0.0,  Reward 400.0, Record 949.0
Game 40, Game Loss -25996818382848.0, Mean Loss -4815886221312.0, Actions 5, Mean reward 445.8875, Final reward 0.0,  Reward 400.0, Record 949.0
Game 41, Game Loss -23657799745536.0, Mean Loss -5275445100544.0, Actions 6, Mean reward 448.7439024390244, Final reward 0.5,  Reward 563.0, Record 949.0
Game 42, Game Loss -32801650900992.0, Mean Loss -5930830790656.0, Actions 5, Mean reward 447.5833333333333, Final reward 0.0,  Reward 400.0, Record 949.0
