Command main.py play --no-gui --agents ppo_agent rule_based_agent --train 1 --scenario empty --n-rounds 20001
Game 1, Game Loss 159889014784.0, Mean Loss 159889014784.0, Actions 8, Mean reward -500.0, Final reward 0.0,  Reward -500.0, Record -500.0
Game 2, Game Loss 88621031424.0, Mean Loss 124255027200.0, Actions 6, Mean reward -300.0, Final reward 0.0,  Reward -100.0, Record -100.0
Game 3, Game Loss 92132089856.0, Mean Loss 113547378688.0, Actions 6, Mean reward -226.66666666666666, Final reward 0.0,  Reward -80.0, Record -80.0
Game 4, Game Loss 117909856256.0, Mean Loss 114637996032.0, Actions 6, Mean reward -195.0, Final reward 0.0,  Reward -100.0, Record -80.0
Game 5, Game Loss 94434992128.0, Mean Loss 110597398528.0, Actions 6, Mean reward -176.0, Final reward 0.0,  Reward -100.0, Record -80.0
Game 6, Game Loss 92153847808.0, Mean Loss 107523473408.0, Actions 6, Mean reward -196.66666666666666, Final reward 0.0,  Reward -300.0, Record -80.0
Game 7, Game Loss 133352759296.0, Mean Loss 111213371392.0, Actions 5, Mean reward -194.28571428571428, Final reward 0.0,  Reward -180.0, Record -80.0
Game 8, Game Loss 74679803904.0, Mean Loss 106646675456.0, Actions 8, Mean reward -180.0, Final reward 0.0,  Reward -80.0, Record -80.0
Game 9, Game Loss -3631406592.0, Mean Loss 94393556992.0, Actions 7, Mean reward -133.33333333333334, Final reward 0.0,  Reward 240.0, Record 240.0
Game 10, Game Loss 92533530624.0, Mean Loss 94207557632.0, Actions 5, Mean reward -138.0, Final reward 0.0,  Reward -180.0, Record 240.0
Game 11, Game Loss 161390739456.0, Mean Loss 100315119616.0, Actions 5, Mean reward -143.63636363636363, Final reward 0.0,  Reward -200.0, Record 240.0
Game 12, Game Loss 125093928960.0, Mean Loss 102380019712.0, Actions 5, Mean reward -146.66666666666666, Final reward 0.0,  Reward -180.0, Record 240.0
Game 13, Game Loss 39707791360.0, Mean Loss 97559076864.0, Actions 5, Mean reward -133.84615384615384, Final reward 0.0,  Reward 20.0, Record 240.0
Game 14, Game Loss 15134755840.0, Mean Loss 91671625728.0, Actions 5, Mean reward -122.85714285714286, Final reward 0.0,  Reward 20.0, Record 240.0
Game 15, Game Loss 89196937216.0, Mean Loss 91506647040.0, Actions 7, Mean reward -140.0, Final reward 0.0,  Reward -380.0, Record 240.0
Game 16, Game Loss 41955495936.0, Mean Loss 88409702400.0, Actions 6, Mean reward -136.25, Final reward 0.0,  Reward -80.0, Record 240.0
Game 17, Game Loss -28047032320.0, Mean Loss 81559306240.0, Actions 8, Mean reward -109.41176470588235, Final reward 0.0,  Reward 320.0, Record 320.0
Game 18, Game Loss 3329504768.0, Mean Loss 77213204480.0, Actions 6, Mean reward -107.77777777777777, Final reward 0.0,  Reward -80.0, Record 320.0
Game 19, Game Loss -1718618624.0, Mean Loss 73058902016.0, Actions 5, Mean reward -111.57894736842105, Final reward 0.0,  Reward -180.0, Record 320.0
Game 20, Game Loss -30259146752.0, Mean Loss 67892994048.0, Actions 5, Mean reward -116.0, Final reward 0.0,  Reward -200.0, Record 320.0
Game 21, Game Loss -59065348096.0, Mean Loss 61847359488.0, Actions 5, Mean reward -120.0, Final reward 0.0,  Reward -200.0, Record 320.0
Game 22, Game Loss -68522999808.0, Mean Loss 55921434624.0, Actions 5, Mean reward -123.63636363636364, Final reward 0.0,  Reward -200.0, Record 320.0
Game 23, Game Loss -100534542336.0, Mean Loss 49118998528.0, Actions 6, Mean reward -122.6086956521739, Final reward 0.0,  Reward -100.0, Record 320.0
Game 24, Game Loss -146525962240.0, Mean Loss 40967122944.0, Actions 8, Mean reward -103.33333333333333, Final reward 0.0,  Reward 340.0, Record 340.0
Game 25, Game Loss -153080397824.0, Mean Loss 33205225472.0, Actions 5, Mean reward -105.6, Final reward 0.0,  Reward -160.0, Record 340.0
Game 26, Game Loss -206053277696.0, Mean Loss 24002973696.0, Actions 5, Mean reward -109.23076923076923, Final reward 0.0,  Reward -200.0, Record 340.0
Game 27, Game Loss -231316488192.0, Mean Loss 14546697216.0, Actions 8, Mean reward -108.14814814814815, Final reward 0.0,  Reward -80.0, Record 340.0
Game 28, Game Loss -265935699968.0, Mean Loss 4529468416.0, Actions 5, Mean reward -111.42857142857143, Final reward 0.0,  Reward -200.0, Record 340.0
Game 29, Game Loss -382003970048.0, Mean Loss -8799270912.0, Actions 5, Mean reward -114.48275862068965, Final reward 0.0,  Reward -200.0, Record 340.0
Game 30, Game Loss -417723121664.0, Mean Loss -22430064640.0, Actions 7, Mean reward -103.33333333333333, Final reward 0.0,  Reward 220.0, Record 340.0
Game 31, Game Loss -542863458304.0, Mean Loss -39218237440.0, Actions 12, Mean reward -98.51612903225806, Final reward 0.0,  Reward 46.0, Record 340.0
Game 32, Game Loss -697320472576.0, Mean Loss -59783933952.0, Actions 6, Mean reward -84.1875, Final reward 0.0,  Reward 360.0, Record 360.0
Game 33, Game Loss -982149103616.0, Mean Loss -87734394880.0, Actions 6, Mean reward -84.66666666666667, Final reward 0.0,  Reward -100.0, Record 360.0
Game 34, Game Loss -1144426987520.0, Mean Loss -118813589504.0, Actions 5, Mean reward -87.47058823529412, Final reward 0.0,  Reward -180.0, Record 360.0
Game 35, Game Loss -1138072485888.0, Mean Loss -147935281152.0, Actions 5, Mean reward -90.11428571428571, Final reward 0.0,  Reward -180.0, Record 360.0
Game 36, Game Loss -1644040028160.0, Mean Loss -189493739520.0, Actions 5, Mean reward -93.16666666666667, Final reward 0.0,  Reward -200.0, Record 360.0
Game 37, Game Loss -1611798282240.0, Mean Loss -227934388224.0, Actions 11, Mean reward -84.70270270270271, Final reward 0.0,  Reward 220.0, Record 360.0
Game 38, Game Loss -2346474274816.0, Mean Loss -283685453824.0, Actions 5, Mean reward -87.21052631578948, Final reward 0.0,  Reward -180.0, Record 360.0
Game 39, Game Loss -2568692695040.0, Mean Loss -342275358720.0, Actions 5, Mean reward -89.58974358974359, Final reward 0.0,  Reward -180.0, Record 360.0
Game 40, Game Loss -2646263988224.0, Mean Loss -399875080192.0, Actions 6, Mean reward -78.35, Final reward 0.0,  Reward 360.0, Record 360.0
Game 41, Game Loss -3498408411136.0, Mean Loss -475449065472.0, Actions 13, Mean reward -72.92682926829268, Final reward 0.0,  Reward 144.0, Record 360.0
Game 42, Game Loss -5113702252544.0, Mean Loss -585883648000.0, Actions 5, Mean reward -75.95238095238095, Final reward 0.0,  Reward -200.0, Record 360.0
Game 43, Game Loss -6193752834048.0, Mean Loss -716299239424.0, Actions 5, Mean reward -78.83720930232558, Final reward 0.0,  Reward -200.0, Record 360.0
Game 44, Game Loss -5434154942464.0, Mean Loss -823523213312.0, Actions 6, Mean reward -78.86363636363636, Final reward 0.0,  Reward -80.0, Record 360.0
