Game 1, Game Loss 21.608118057250977, Mean Loss 21.608118057250977, Actions 37, Mean reward 711.4666666666667, Final reward 1.5,  Reward 711.4666666666667, Record 711.4666666666667
Game 2, Game Loss 38386.25, Mean Loss 19203.9296875, Actions 5, Mean reward 377.73333333333335, Final reward 0.0,  Reward 44.0, Record 711.4666666666667
Game 3, Game Loss 32949.84375, Mean Loss 23785.900390625, Actions 9, Mean reward 287.82222222222225, Final reward 0.0,  Reward 108.0, Record 711.4666666666667
Game 4, Game Loss 32.27781677246094, Mean Loss 17847.49609375, Actions 16, Mean reward 290.07121212121217, Final reward 1.0,  Reward 296.81818181818187, Record 711.4666666666667
Game 5, Game Loss 8.1654634475708, Mean Loss 14279.6298828125, Actions 18, Mean reward 289.87125541125545, Final reward 0.5,  Reward 289.07142857142856, Record 711.4666666666667
Game 6, Game Loss 10.579972267150879, Mean Loss 11901.4541015625, Actions 22, Mean reward 295.89271284271285, Final reward 0.5,  Reward 326.0, Record 711.4666666666667
Game 7, Game Loss 16.68366241455078, Mean Loss 10203.630859375, Actions 24, Mean reward 322.7413729128015, Final reward 1.5,  Reward 483.83333333333326, Record 711.4666666666667
Game 8, Game Loss 92.4548568725586, Mean Loss 8939.7333984375, Actions 14, Mean reward 328.67711038961045, Final reward 1.5,  Reward 370.2272727272728, Record 711.4666666666667
Game 9, Game Loss 25.193164825439453, Mean Loss 7949.22900390625, Actions 8, Mean reward 302.37965367965376, Final reward 0.0,  Reward 92.0, Record 711.4666666666667
Game 10, Game Loss 1.014003038406372, Mean Loss 7154.40771484375, Actions 36, Mean reward 326.14168831168837, Final reward 0.0,  Reward 540.0, Record 711.4666666666667
Game 11, Game Loss 14.527388572692871, Mean Loss 6505.328125, Actions 7, Mean reward 305.2197166469894, Final reward 0.0,  Reward 96.0, Record 711.4666666666667
Game 12, Game Loss 222.0858612060547, Mean Loss 5981.724609375, Actions 10, Mean reward 288.45140692640695, Final reward 0.0,  Reward 104.0, Record 711.4666666666667
Game 13, Game Loss 92.75218200683594, Mean Loss 5528.7265625, Actions 31, Mean reward 300.8387473921068, Final reward 0.0,  Reward 449.4868329805052, Record 711.4666666666667
Game 14, Game Loss 5615.32666015625, Mean Loss 5534.91259765625, Actions 5, Mean reward 282.63597972124205, Final reward 0.5,  Reward 46.0, Record 711.4666666666667
Game 15, Game Loss 49.75849533081055, Mean Loss 5169.2353515625, Actions 26, Mean reward 304.5785805526512, Final reward 0.5,  Reward 611.7749921923789, Record 711.4666666666667
Game 16, Game Loss 25.300203323364258, Mean Loss 4847.7392578125, Actions 25, Mean reward 320.2507526014438, Final reward 2.0,  Reward 555.3333333333334, Record 711.4666666666667
Game 17, Game Loss 28.246522903442383, Mean Loss 4564.23974609375, Actions 53, Mean reward 373.65812097672773, Final reward 2.0,  Reward 1228.1760149812699, Record 1228.1760149812699
Game 18, Game Loss 18.15709114074707, Mean Loss 4311.6796875, Actions 10, Mean reward 362.753039603382, Final reward 0.0,  Reward 177.36665625650534, Record 1228.1760149812699
Game 19, Game Loss 48.08620071411133, Mean Loss 4087.280029296875, Actions 42, Mean reward 395.4401214099745, Final reward 1.0,  Reward 983.8075939286388, Record 1228.1760149812699
Game 20, Game Loss 73.67292022705078, Mean Loss 3886.599609375, Actions 11, Mean reward 384.9181153394758, Final reward 0.5,  Reward 185.0, Record 1228.1760149812699
Game 21, Game Loss 12.421778678894043, Mean Loss 3702.114990234375, Actions 6, Mean reward 368.4934431804531, Final reward 0.0,  Reward 40.0, Record 1228.1760149812699
Game 22, Game Loss 11.13336181640625, Mean Loss 3534.343017578125, Actions 15, Mean reward 362.24374121770524, Final reward 0.5,  Reward 231.0, Record 1228.1760149812699
Game 23, Game Loss 14.446062088012695, Mean Loss 3381.303955078125, Actions 10, Mean reward 353.8201002951963, Final reward 0.5,  Reward 168.5, Record 1228.1760149812699
Game 24, Game Loss 26.117036819458008, Mean Loss 3241.504638671875, Actions 7, Mean reward 346.11926278289644, Final reward 0.5,  Reward 169.0, Record 1228.1760149812699
Game 25, Game Loss 32.72307586669922, Mean Loss 3113.1533203125, Actions 71, Mean reward 394.75429403198524, Final reward 2.5,  Reward 1561.9950440101163, Record 1561.9950440101163
Game 26, Game Loss 8.876758575439453, Mean Loss 2993.758056640625, Actions 17, Mean reward 389.7252827230628, Final reward 0.5,  Reward 264.0, Record 1561.9950440101163
Game 27, Game Loss 23.26832389831543, Mean Loss 2883.739990234375, Actions 28, Mean reward 398.8610112204719, Final reward 2.5,  Reward 636.38995215311, Record 1561.9950440101163
Game 28, Game Loss 6.312167167663574, Mean Loss 2780.974609375, Actions 32, Mean reward 406.65303347719083, Final reward 1.5,  Reward 617.0376344086019, Record 1561.9950440101163
Game 29, Game Loss 20.035194396972656, Mean Loss 2685.77001953125, Actions 7, Mean reward 394.56154956418425, Final reward 0.0,  Reward 56.0, Record 1561.9950440101163
Game 30, Game Loss 7.9286603927612305, Mean Loss 2596.508544921875, Actions 11, Mean reward 386.0761645787114, Final reward 0.0,  Reward 140.0, Record 1561.9950440101163
Game 31, Game Loss 34.259735107421875, Mean Loss 2513.855224609375, Actions 6, Mean reward 377.0091915277852, Final reward 1.0,  Reward 105.0, Record 1561.9950440101163
Game 32, Game Loss 30.02811622619629, Mean Loss 2436.23583984375, Actions 9, Mean reward 370.81098762587527, Final reward 0.5,  Reward 178.66666666666669, Record 1561.9950440101163
Game 33, Game Loss 10.850954055786133, Mean Loss 2362.7392578125, Actions 11, Mean reward 363.2106546675154, Final reward 0.0,  Reward 120.0, Record 1561.9950440101163
Game 34, Game Loss 6.045959949493408, Mean Loss 2293.4248046875, Actions 13, Mean reward 358.17504717729435, Final reward 0.0,  Reward 192.0, Record 1561.9950440101163
Game 35, Game Loss 12.061232566833496, Mean Loss 2228.2431640625, Actions 25, Mean reward 359.54147440080027, Final reward 0.0,  Reward 406.0, Record 1561.9950440101163
Game 36, Game Loss 9.99807071685791, Mean Loss 2166.625244140625, Actions 24, Mean reward 364.0590755283985, Final reward 2.0,  Reward 522.175114994337, Record 1561.9950440101163
Game 37, Game Loss 21.3644962310791, Mean Loss 2108.645263671875, Actions 12, Mean reward 360.746668081685, Final reward 0.5,  Reward 241.5, Record 1561.9950440101163
Game 38, Game Loss 11.92712116241455, Mean Loss 2053.468505859375, Actions 8, Mean reward 353.6743873426933, Final reward 0.0,  Reward 92.0, Record 1561.9950440101163
Game 39, Game Loss 14.190450668334961, Mean Loss 2001.1793212890625, Actions 5, Mean reward 345.2211979236499, Final reward 0.0,  Reward 24.0, Record 1561.9950440101163
Game 40, Game Loss 5.160277843475342, Mean Loss 1951.2789306640625, Actions 9, Mean reward 338.7906679755587, Final reward 0.0,  Reward 88.0, Record 1561.9950440101163
Game 41, Game Loss 8.186575889587402, Mean Loss 1903.886474609375, Actions 9, Mean reward 333.161627293228, Final reward 0.0,  Reward 108.0, Record 1561.9950440101163
Game 42, Game Loss 79.70914459228516, Mean Loss 1860.4537353515625, Actions 11, Mean reward 338.68898380626405, Final reward 1.5,  Reward 565.3106008407452, Record 1561.9950440101163
Game 43, Game Loss 173.57437133789062, Mean Loss 1821.2239990234375, Actions 5, Mean reward 331.3706353456533, Final reward 0.0,  Reward 24.0, Record 1561.9950440101163
Game 44, Game Loss 21.061901092529297, Mean Loss 1780.311279296875, Actions 20, Mean reward 333.3427312955897, Final reward 2.0,  Reward 418.14285714285717, Record 1561.9950440101163
Game 45, Game Loss 39.310142517089844, Mean Loss 1741.6224365234375, Actions 36, Mean reward 348.41610612867106, Final reward 4.0,  Reward 1011.6445987842496, Record 1561.9950440101163
Game 46, Game Loss 42.9339599609375, Mean Loss 1704.6944580078125, Actions 5, Mean reward 341.79836469109125, Final reward 0.0,  Reward 44.0, Record 1561.9950440101163
Game 47, Game Loss 57.993614196777344, Mean Loss 1669.658203125, Actions 6, Mean reward 337.41612998135173, Final reward 0.5,  Reward 135.83333333333331, Record 1561.9950440101163
Game 48, Game Loss 17.690502166748047, Mean Loss 1635.2421875, Actions 16, Mean reward 337.42482171785133, Final reward 1.5,  Reward 337.83333333333337, Record 1561.9950440101163
Game 49, Game Loss 10.782025337219238, Mean Loss 1602.0899658203125, Actions 21, Mean reward 336.93315868959587, Final reward 0.5,  Reward 313.33333333333337, Record 1561.9950440101163
Game 50, Game Loss 37.65467071533203, Mean Loss 1570.80126953125, Actions 16, Mean reward 339.8567332780417, Final reward 3.0,  Reward 483.1118881118881, Record 1561.9950440101163
Game 51, Game Loss 7.289482116699219, Mean Loss 1540.1441650390625, Actions 48, Mean reward 350.38519537837925, Final reward 1.5,  Reward 876.8083003952569, Record 1561.9950440101163
Game 52, Game Loss 10.925461769104004, Mean Loss 1510.736083984375, Actions 53, Mean reward 364.8521600762443, Final reward 3.0,  Reward 1102.66735966736, Record 1561.9950440101163
Game 53, Game Loss 7.302032947540283, Mean Loss 1482.369384765625, Actions 19, Mean reward 364.6379683766925, Final reward 1.0,  Reward 353.5, Record 1561.9950440101163
Game 54, Game Loss 75.83815002441406, Mean Loss 1456.322509765625, Actions 17, Mean reward 363.92263749953344, Final reward 1.5,  Reward 326.010101010101, Record 1561.9950440101163
Game 55, Game Loss 14.412236213684082, Mean Loss 1430.10595703125, Actions 18, Mean reward 363.0149531813601, Final reward 1.0,  Reward 314.0, Record 1561.9950440101163
Game 56, Game Loss 89.07740020751953, Mean Loss 1406.1590576171875, Actions 23, Mean reward 363.68730520788347, Final reward 1.0,  Reward 400.6666666666667, Record 1561.9950440101163
Game 57, Game Loss 0.932519257068634, Mean Loss 1381.505859375, Actions 41, Mean reward 367.8331419586223, Final reward 0.0,  Reward 600.0, Record 1561.9950440101163
Game 58, Game Loss 1.9613107442855835, Mean Loss 1357.7205810546875, Actions 45, Mean reward 374.53871369245655, Final reward 1.0,  Reward 756.756302521008, Record 1561.9950440101163
Game 59, Game Loss 18.114023208618164, Mean Loss 1335.0155029296875, Actions 18, Mean reward 373.8705837590089, Final reward 1.5,  Reward 335.1190476190476, Record 1561.9950440101163
Game 60, Game Loss 23.63483238220215, Mean Loss 1313.1590576171875, Actions 7, Mean reward 369.6227406963588, Final reward 0.5,  Reward 119.0, Record 1561.9950440101163
Game 61, Game Loss 11.091869354248047, Mean Loss 1291.813720703125, Actions 9, Mean reward 365.33384330789386, Final reward 0.0,  Reward 108.0, Record 1561.9950440101163
Game 62, Game Loss 8.112395286560059, Mean Loss 1271.10888671875, Actions 9, Mean reward 361.18329744808915, Final reward 0.0,  Reward 108.0, Record 1561.9950440101163
Game 63, Game Loss 8.445995330810547, Mean Loss 1251.066650390625, Actions 7, Mean reward 356.3391181235163, Final reward 0.0,  Reward 56.0, Record 1561.9950440101163
Game 64, Game Loss 83.13853454589844, Mean Loss 1232.8177490234375, Actions 30, Mean reward 363.3632092837887, Final reward 1.5,  Reward 805.880952380952, Record 1561.9950440101163
Game 65, Game Loss 28.35460662841797, Mean Loss 1214.2874755859375, Actions 6, Mean reward 359.0422368332689, Final reward 0.5,  Reward 82.5, Record 1561.9950440101163
Game 66, Game Loss 2.514186382293701, Mean Loss 1195.9273681640625, Actions 26, Mean reward 359.35977869943144, Final reward 0.0,  Reward 380.0, Record 1561.9950440101163
Game 67, Game Loss 82.47468566894531, Mean Loss 1179.30859375, Actions 5, Mean reward 355.37928448998724, Final reward 0.5,  Reward 92.66666666666666, Record 1561.9950440101163
Game 68, Game Loss 69.79679870605469, Mean Loss 1162.9923095703125, Actions 21, Mean reward 357.496255796507, Final reward 1.0,  Reward 499.33333333333337, Record 1561.9950440101163
Game 69, Game Loss 54.24040985107422, Mean Loss 1146.9234619140625, Actions 34, Mean reward 364.24510233085715, Final reward 2.5,  Reward 823.1666666666667, Record 1561.9950440101163
Game 70, Game Loss 92.1044921875, Mean Loss 1131.8546142578125, Actions 9, Mean reward 362.87731515470205, Final reward 0.5,  Reward 268.5, Record 1561.9950440101163
Game 71, Game Loss 41.79408264160156, Mean Loss 1116.501708984375, Actions 22, Mean reward 363.51284592717104, Final reward 2.0,  Reward 408.0, Record 1561.9950440101163
Game 72, Game Loss 1.376615285873413, Mean Loss 1101.0137939453125, Actions 27, Mean reward 363.686278622627, Final reward 0.0,  Reward 376.0, Record 1561.9950440101163
Game 73, Game Loss 2.4868805408477783, Mean Loss 1085.9654541015625, Actions 24, Mean reward 364.0193432990294, Final reward 0.0,  Reward 388.0, Record 1561.9950440101163
Game 74, Game Loss 18.219039916992188, Mean Loss 1071.536376953125, Actions 26, Mean reward 366.2776167537367, Final reward 0.5,  Reward 531.1315789473686, Record 1561.9950440101163
Game 75, Game Loss 39.06631851196289, Mean Loss 1057.7701416015625, Actions 38, Mean reward 376.5382890947274, Final reward 4.5,  Reward 1135.828042328042, Record 1561.9950440101163
Game 76, Game Loss 24.406728744506836, Mean Loss 1044.1732177734375, Actions 33, Mean reward 380.781206343481, Final reward 2.5,  Reward 699.0, Record 1561.9950440101163
Game 77, Game Loss 9.0548095703125, Mean Loss 1030.7301025390625, Actions 25, Mean reward 381.28188331737516, Final reward 0.5,  Reward 419.33333333333337, Record 1561.9950440101163
Game 78, Game Loss 2.3199856281280518, Mean Loss 1017.5453491210938, Actions 34, Mean reward 382.906474556896, Final reward 0.0,  Reward 508.0, Record 1561.9950440101163
Game 79, Game Loss 22.661109924316406, Mean Loss 1004.9519653320312, Actions 58, Mean reward 396.55230084324046, Final reward 3.0,  Reward 1460.9267511781068, Record 1561.9950440101163
Game 80, Game Loss 19.498653411865234, Mean Loss 992.6337890625, Actions 9, Mean reward 392.9953970826999, Final reward 0.5,  Reward 112.0, Record 1561.9950440101163
Game 81, Game Loss 11.859070777893066, Mean Loss 980.5254516601562, Actions 47, Mean reward 401.310511319533, Final reward 2.5,  Reward 1066.5196502661775, Record 1561.9950440101163
Game 82, Game Loss 6.9007182121276855, Mean Loss 968.6519775390625, Actions 13, Mean reward 399.0018465473436, Final reward 0.0,  Reward 212.0, Record 1561.9950440101163
Game 83, Game Loss 7.01622200012207, Mean Loss 957.0659790039062, Actions 28, Mean reward 400.7382105040188, Final reward 2.0,  Reward 543.1200549513891, Record 1561.9950440101163
Game 84, Game Loss 45.792572021484375, Mean Loss 946.2174682617188, Actions 47, Mean reward 408.4409302202408, Final reward 2.0,  Reward 1047.7666666666664, Record 1561.9950440101163
Game 85, Game Loss 10.594109535217285, Mean Loss 935.2100830078125, Actions 19, Mean reward 407.12986045294383, Final reward 0.5,  Reward 297.0, Record 1561.9950440101163
Game 86, Game Loss 17.830371856689453, Mean Loss 924.5429077148438, Actions 29, Mean reward 410.6356815963857, Final reward 3.5,  Reward 708.6304787889457, Record 1561.9950440101163
Game 87, Game Loss 20.024394989013672, Mean Loss 914.1461181640625, Actions 9, Mean reward 407.1571105435537, Final reward 0.0,  Reward 108.0, Record 1561.9950440101163
Game 88, Game Loss 10.370051383972168, Mean Loss 903.8759155273438, Actions 16, Mean reward 404.8030524691951, Final reward 0.0,  Reward 200.0, Record 1561.9950440101163
Game 89, Game Loss 207.4799346923828, Mean Loss 896.0511474609375, Actions 10, Mean reward 403.5652974655284, Final reward 1.5,  Reward 294.6428571428571, Record 1561.9950440101163
Game 90, Game Loss 76.2469711303711, Mean Loss 886.9422607421875, Actions 12, Mean reward 402.3660790728731, Final reward 1.0,  Reward 295.6356421265527, Record 1561.9950440101163
Game 91, Game Loss 14.038912773132324, Mean Loss 877.3499145507812, Actions 55, Mean reward 410.7063785702408, Final reward 1.5,  Reward 1161.3333333333337, Record 1561.9950440101163
Game 92, Game Loss 10.894363403320312, Mean Loss 867.931884765625, Actions 13, Mean reward 408.1117440205643, Final reward 0.0,  Reward 172.0, Record 1561.9950440101163
Game 93, Game Loss 21.19428062438965, Mean Loss 858.8272094726562, Actions 29, Mean reward 410.0937322265097, Final reward 1.0,  Reward 592.4366471734892, Record 1561.9950440101163
Game 94, Game Loss 21.604633331298828, Mean Loss 849.9205322265625, Actions 33, Mean reward 414.3935189440004, Final reward 2.0,  Reward 814.2736836706323, Record 1561.9950440101163
Game 95, Game Loss 25.97903823852539, Mean Loss 841.2474365234375, Actions 11, Mean reward 411.2946397972214, Final reward 0.0,  Reward 120.0, Record 1561.9950440101163
Game 96, Game Loss 30.001230239868164, Mean Loss 832.7969360351562, Actions 36, Mean reward 417.0380488072702, Final reward 4.5,  Reward 962.6619047619048, Record 1561.9950440101163
Game 97, Game Loss 25.022201538085938, Mean Loss 824.4694213867188, Actions 7, Mean reward 413.3160070669891, Final reward 0.0,  Reward 56.0, Record 1561.9950440101163
Game 98, Game Loss 39.87320327758789, Mean Loss 816.4633178710938, Actions 27, Mean reward 417.5325454963128, Final reward 3.5,  Reward 826.5367731407144, Record 1561.9950440101163
Game 99, Game Loss 70.86929321289062, Mean Loss 808.9320678710938, Actions 5, Mean reward 413.9817117034208, Final reward 0.5,  Reward 66.0, Record 1561.9950440101163
Game 100, Game Loss 100.9788818359375, Mean Loss 801.8524780273438, Actions 32, Mean reward 415.66689458638655, Final reward 1.5,  Reward 582.5, Record 1561.9950440101163
Game 101, Game Loss 86.66181945800781, Mean Loss 794.7714233398438, Actions 21, Mean reward 417.2048461251352, Final reward 2.0,  Reward 571.0, Record 1561.9950440101163
Game 102, Game Loss 28.950885772705078, Mean Loss 787.263427734375, Actions 16, Mean reward 416.2028378297907, Final reward 1.0,  Reward 315.0, Record 1561.9950440101163
Game 103, Game Loss 71.44091033935547, Mean Loss 780.3136596679688, Actions 14, Mean reward 415.06009183144323, Final reward 0.5,  Reward 298.5, Record 1561.9950440101163
Game 104, Game Loss 42.54747009277344, Mean Loss 773.2197265625, Actions 5, Mean reward 411.70374479460247, Final reward 0.5,  Reward 66.0, Record 1561.9950440101163
Game 105, Game Loss 20.475791931152344, Mean Loss 766.0507202148438, Actions 19, Mean reward 410.14466151084434, Final reward 0.0,  Reward 248.0, Record 1561.9950440101163
Game 106, Game Loss 25.699907302856445, Mean Loss 759.0663452148438, Actions 18, Mean reward 408.8272590437609, Final reward 0.5,  Reward 270.5, Record 1561.9950440101163
Game 107, Game Loss 20.76154899597168, Mean Loss 752.166259765625, Actions 43, Mean reward 413.6926514118028, Final reward 2.5,  Reward 929.4242424242425, Record 1561.9950440101163
Game 108, Game Loss 48.00223159790039, Mean Loss 745.6461791992188, Actions 28, Mean reward 415.83584299740966, Final reward 1.5,  Reward 645.1573426573426, Record 1561.9950440101163
Game 109, Game Loss 31.084280014038086, Mean Loss 739.090576171875, Actions 72, Mean reward 425.3306271603202, Final reward 2.0,  Reward 1450.7673167546614, Record 1561.9950440101163
Game 110, Game Loss 32.667869567871094, Mean Loss 732.6685180664062, Actions 10, Mean reward 423.35994469118594, Final reward 1.0,  Reward 208.55555555555554, Record 1561.9950440101163
Game 111, Game Loss 9.775590896606445, Mean Loss 726.1559448242188, Actions 35, Mean reward 427.8049996726048, Final reward 2.0,  Reward 916.7610476286783, Record 1561.9950440101163
