Command main.py play --no-gui --agents ruly_train rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 11.512685775756836, Mean Loss 11.512685775756836, Actions 6, Mean reward -100.0, Reward -100, Record -100
Game 2, Game Loss 12.987224578857422, Mean Loss 12.249955177307129, Actions 18, Mean reward -100.0, Reward -100, Record -100
Game 3, Game Loss 14.570962905883789, Mean Loss 13.023624420166016, Actions 8, Mean reward -166.66666666666666, Reward -300, Record -100
Game 4, Game Loss 12.188106536865234, Mean Loss 12.81474494934082, Actions 9, Mean reward -225.0, Reward -400, Record -100
Game 5, Game Loss 16.208749771118164, Mean Loss 13.493545532226562, Actions 9, Mean reward -260.0, Reward -400, Record -100
Game 6, Game Loss 12.080056190490723, Mean Loss 13.257964134216309, Actions 20, Mean reward -433.3333333333333, Reward -1300, Record -100
Game 7, Game Loss 4.725647449493408, Mean Loss 12.039061546325684, Actions 8, Mean reward -471.42857142857144, Reward -700, Record -100
Game 8, Game Loss 14.37332820892334, Mean Loss 12.33084487915039, Actions 11, Mean reward -487.5, Reward -600, Record -100
Game 9, Game Loss 5.7596235275268555, Mean Loss 11.600708961486816, Actions 18, Mean reward -577.7777777777778, Reward -1300, Record -100
Game 10, Game Loss 10.813006401062012, Mean Loss 11.52193832397461, Actions 5, Mean reward -540.0, Reward -200, Record -100
Game 11, Game Loss 7.7062883377075195, Mean Loss 11.175061225891113, Actions 37, Mean reward -690.9090909090909, Reward -2200, Record -100
Game 12, Game Loss 3.7523856163024902, Mean Loss 10.55650520324707, Actions 5, Mean reward -666.6666666666666, Reward -400, Record -100
Game 13, Game Loss 11.237693786621094, Mean Loss 10.608903884887695, Actions 19, Mean reward -584.6153846153846, Reward 400, Record 400
Game 14, Game Loss 7.911510467529297, Mean Loss 10.416234016418457, Actions 10, Mean reward -607.1428571428571, Reward -900, Record 400
Game 15, Game Loss 12.431194305419922, Mean Loss 10.550564765930176, Actions 7, Mean reward -593.3333333333334, Reward -400, Record 400
Game 16, Game Loss 9.750214576721191, Mean Loss 10.500542640686035, Actions 13, Mean reward -593.75, Reward -600, Record 400
Game 17, Game Loss 12.801844596862793, Mean Loss 10.635913848876953, Actions 28, Mean reward -611.7647058823529, Reward -900, Record 400
Game 18, Game Loss 5.772445201873779, Mean Loss 10.365720748901367, Actions 9, Mean reward -611.1111111111111, Reward -600, Record 400
Game 19, Game Loss 11.58791732788086, Mean Loss 10.430047035217285, Actions 19, Mean reward -631.578947368421, Reward -1000, Record 400
Game 20, Game Loss 0.9835376739501953, Mean Loss 9.957721710205078, Actions 5, Mean reward -620.0, Reward -400, Record 400
Game 21, Game Loss 3.867788076400757, Mean Loss 9.667724609375, Actions 35, Mean reward -714.2857142857143, Reward -2600, Record 400
Game 22, Game Loss 2.0986385345458984, Mean Loss 9.323675155639648, Actions 5, Mean reward -700.0, Reward -400, Record 400
Game 23, Game Loss 0.6001726984977722, Mean Loss 8.944392204284668, Actions 5, Mean reward -686.9565217391304, Reward -400, Record 400
Game 24, Game Loss 6.48181676864624, Mean Loss 8.841784477233887, Actions 39, Mean reward -758.3333333333334, Reward -2400, Record 400
Game 25, Game Loss 0.9582030177116394, Mean Loss 8.52644157409668, Actions 15, Mean reward -784.0, Reward -1400, Record 400
Game 26, Game Loss 12.508722305297852, Mean Loss 8.679606437683105, Actions 22, Mean reward -780.7692307692307, Reward -700, Record 400
Game 27, Game Loss 12.445206642150879, Mean Loss 8.819072723388672, Actions 32, Mean reward -807.4074074074074, Reward -1500, Record 400
Game 28, Game Loss 2.198867082595825, Mean Loss 8.582636833190918, Actions 9, Mean reward -800.0, Reward -600, Record 400
Game 29, Game Loss 3.475940227508545, Mean Loss 8.406543731689453, Actions 8, Mean reward -789.6551724137931, Reward -500, Record 400
Game 30, Game Loss 0.9904736280441284, Mean Loss 8.159341812133789, Actions 7, Mean reward -783.3333333333334, Reward -600, Record 400
Game 31, Game Loss 12.617636680603027, Mean Loss 8.303157806396484, Actions 8, Mean reward -754.8387096774194, Reward 100, Record 400
Game 32, Game Loss 12.356261253356934, Mean Loss 8.429817199707031, Actions 29, Mean reward -750.0, Reward -600, Record 400
Game 33, Game Loss 12.075226783752441, Mean Loss 8.540284156799316, Actions 21, Mean reward -775.7575757575758, Reward -1600, Record 400
Game 34, Game Loss 1.1330540180206299, Mean Loss 8.32242488861084, Actions 15, Mean reward -794.1176470588235, Reward -1400, Record 400
Game 35, Game Loss 12.041940689086914, Mean Loss 8.428695678710938, Actions 14, Mean reward -785.7142857142857, Reward -500, Record 400
Game 36, Game Loss 12.151474952697754, Mean Loss 8.53210735321045, Actions 15, Mean reward -786.1111111111111, Reward -800, Record 400
Game 37, Game Loss 6.5348334312438965, Mean Loss 8.478126525878906, Actions 46, Mean reward -827.027027027027, Reward -2300, Record 400
Game 38, Game Loss 1.8402059078216553, Mean Loss 8.303443908691406, Actions 13, Mean reward -836.8421052631579, Reward -1200, Record 400
Game 39, Game Loss 12.262276649475098, Mean Loss 8.404953002929688, Actions 5, Mean reward -815.3846153846154, Reward 0, Record 400
Game 40, Game Loss 15.665017127990723, Mean Loss 8.586454391479492, Actions 53, Mean reward -860.0, Reward -2600, Record 400
Game 41, Game Loss 13.674333572387695, Mean Loss 8.710549354553223, Actions 8, Mean reward -856.0975609756098, Reward -700, Record 400
Game 42, Game Loss 12.325557708740234, Mean Loss 8.79662036895752, Actions 25, Mean reward -878.5714285714286, Reward -1800, Record 400
Game 43, Game Loss 11.25565242767334, Mean Loss 8.85380744934082, Actions 19, Mean reward -900.0, Reward -1800, Record 400
Game 44, Game Loss 12.666839599609375, Mean Loss 8.94046688079834, Actions 5, Mean reward -888.6363636363636, Reward -400, Record 400
Game 45, Game Loss 11.756585121154785, Mean Loss 9.003047943115234, Actions 5, Mean reward -877.7777777777778, Reward -400, Record 400
Game 46, Game Loss 15.25173282623291, Mean Loss 9.138888359069824, Actions 43, Mean reward -906.5217391304348, Reward -2200, Record 400
Game 47, Game Loss 15.851173400878906, Mean Loss 9.281702995300293, Actions 25, Mean reward -887.2340425531914, Reward 0, Record 400
Game 48, Game Loss 16.045215606689453, Mean Loss 9.42261028289795, Actions 12, Mean reward -862.5, Reward 300, Record 400
Game 49, Game Loss 13.55016040802002, Mean Loss 9.506845474243164, Actions 39, Mean reward -889.795918367347, Reward -2200, Record 400
Game 50, Game Loss 10.234638214111328, Mean Loss 9.521402359008789, Actions 11, Mean reward -892.0, Reward -1000, Record 400
Game 51, Game Loss 16.782493591308594, Mean Loss 9.663776397705078, Actions 23, Mean reward -874.5098039215686, Reward 0, Record 400
Game 52, Game Loss 18.60222053527832, Mean Loss 9.83566951751709, Actions 9, Mean reward -853.8461538461538, Reward 200, Record 400
Game 53, Game Loss 15.174994468688965, Mean Loss 9.93641185760498, Actions 31, Mean reward -852.8301886792453, Reward -800, Record 400
Game 54, Game Loss 12.375022888183594, Mean Loss 9.981571197509766, Actions 13, Mean reward -851.8518518518518, Reward -800, Record 400
Game 55, Game Loss 9.356136322021484, Mean Loss 9.970199584960938, Actions 13, Mean reward -850.9090909090909, Reward -800, Record 400
Game 56, Game Loss 11.23906421661377, Mean Loss 9.992857933044434, Actions 30, Mean reward -866.0714285714286, Reward -1700, Record 400
Game 57, Game Loss 8.991032600402832, Mean Loss 9.975281715393066, Actions 12, Mean reward -866.6666666666666, Reward -900, Record 400
Game 58, Game Loss 11.319990158081055, Mean Loss 9.998466491699219, Actions 56, Mean reward -908.6206896551724, Reward -3300, Record 400
Game 59, Game Loss 13.137786865234375, Mean Loss 10.051674842834473, Actions 47, Mean reward -920.3389830508474, Reward -1600, Record 400
Game 60, Game Loss 14.828168869018555, Mean Loss 10.1312837600708, Actions 5, Mean reward -905.0, Reward 0, Record 400
Game 61, Game Loss 4.293195724487305, Mean Loss 10.035577774047852, Actions 12, Mean reward -904.9180327868852, Reward -900, Record 400
Game 62, Game Loss 15.862507820129395, Mean Loss 10.129559516906738, Actions 30, Mean reward -891.9354838709677, Reward -100, Record 400
Game 63, Game Loss 3.7411978244781494, Mean Loss 10.028157234191895, Actions 25, Mean reward -912.6984126984127, Reward -2200, Record 400
Game 64, Game Loss 2.6559817790985107, Mean Loss 9.912967681884766, Actions 16, Mean reward -915.625, Reward -1100, Record 400
Game 65, Game Loss 3.540660858154297, Mean Loss 9.814931869506836, Actions 11, Mean reward -910.7692307692307, Reward -600, Record 400
Game 66, Game Loss 21.02352523803711, Mean Loss 9.984758377075195, Actions 8, Mean reward -892.4242424242424, Reward 300, Record 400
Game 67, Game Loss 4.662994861602783, Mean Loss 9.905329704284668, Actions 20, Mean reward -898.5074626865671, Reward -1300, Record 400
Game 68, Game Loss 0.2805795967578888, Mean Loss 9.763789176940918, Actions 11, Mean reward -900.0, Reward -1000, Record 400
Game 69, Game Loss 12.73826789855957, Mean Loss 9.80689811706543, Actions 28, Mean reward -897.1014492753624, Reward -700, Record 400
Game 70, Game Loss 1.2220855951309204, Mean Loss 9.684258460998535, Actions 7, Mean reward -892.8571428571429, Reward -600, Record 400
Game 71, Game Loss 11.864667892456055, Mean Loss 9.71496868133545, Actions 24, Mean reward -892.9577464788732, Reward -900, Record 400
Game 72, Game Loss 0.4534878730773926, Mean Loss 9.586337089538574, Actions 5, Mean reward -886.1111111111111, Reward -400, Record 400
Game 73, Game Loss 11.411648750305176, Mean Loss 9.611340522766113, Actions 35, Mean reward -895.8904109589041, Reward -1600, Record 400
Game 74, Game Loss 14.41390323638916, Mean Loss 9.676239967346191, Actions 16, Mean reward -887.8378378378378, Reward -300, Record 400
Game 75, Game Loss 4.48156213760376, Mean Loss 9.606977462768555, Actions 31, Mean reward -902.6666666666666, Reward -2000, Record 400
Game 76, Game Loss 10.523722648620605, Mean Loss 9.619040489196777, Actions 24, Mean reward -900.0, Reward -700, Record 400
Game 77, Game Loss 6.780314922332764, Mean Loss 9.582174301147461, Actions 23, Mean reward -909.0909090909091, Reward -1600, Record 400
Game 78, Game Loss 8.000992774963379, Mean Loss 9.561902046203613, Actions 10, Mean reward -903.8461538461538, Reward -500, Record 400
Game 79, Game Loss 21.278669357299805, Mean Loss 9.71021556854248, Actions 5, Mean reward -889.873417721519, Reward 200, Record 400
Game 80, Game Loss 26.220369338989258, Mean Loss 9.916593551635742, Actions 14, Mean reward -870.0, Reward 700, Record 700
Game 81, Game Loss 20.07435417175293, Mean Loss 10.041997909545898, Actions 26, Mean reward -860.4938271604939, Reward -100, Record 700
Game 82, Game Loss 16.306758880615234, Mean Loss 10.118396759033203, Actions 45, Mean reward -867.0731707317074, Reward -1400, Record 700
