Command main.py play --no-gui --agents ruly_train --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ruly_train --train 1 --scenario coin-heaven --n-rounds 20001
Command main.py play --no-gui --agents ruly_train --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 1.113692283630371, Mean Loss 1.113692283630371, Actions 39, Mean reward -3800.0, Reward -3800, Record -3800
Game 2, Game Loss 0.8270028829574585, Mean Loss 0.9703475832939148, Actions 5, Mean reward -2100.0, Reward -400, Record -400
Game 3, Game Loss 0.05539727956056595, Mean Loss 0.665364146232605, Actions 6, Mean reward -1566.6666666666667, Reward -500, Record -400
Game 4, Game Loss 22.030607223510742, Mean Loss 6.006674766540527, Actions 11, Mean reward -1225.0, Reward -200, Record -200
Game 5, Game Loss 15.93997859954834, Mean Loss 7.993335723876953, Actions 21, Mean reward -1100.0, Reward -600, Record -200
Game 6, Game Loss 15.571496963500977, Mean Loss 9.256362915039062, Actions 5, Mean reward -983.3333333333334, Reward -400, Record -200
Game 7, Game Loss 15.428796768188477, Mean Loss 10.138138771057129, Actions 8, Mean reward -914.2857142857143, Reward -500, Record -200
Game 8, Game Loss 16.958730697631836, Mean Loss 10.990713119506836, Actions 16, Mean reward -787.5, Reward 100, Record 100
Game 9, Game Loss 15.215479850769043, Mean Loss 11.460131645202637, Actions 7, Mean reward -766.6666666666666, Reward -600, Record 100
Game 10, Game Loss 14.456949234008789, Mean Loss 11.75981330871582, Actions 12, Mean reward -780.0, Reward -900, Record 100
Game 11, Game Loss 14.023516654968262, Mean Loss 11.965603828430176, Actions 8, Mean reward -754.5454545454545, Reward -500, Record 100
Game 12, Game Loss 9.862884521484375, Mean Loss 11.790377616882324, Actions 43, Mean reward -1008.3333333333334, Reward -3800, Record 100
Game 13, Game Loss 2.9615278244018555, Mean Loss 11.111235618591309, Actions 13, Mean reward -1023.0769230769231, Reward -1200, Record 100
Game 14, Game Loss 10.855854988098145, Mean Loss 11.09299373626709, Actions 44, Mean reward -1128.5714285714287, Reward -2500, Record 100
Game 15, Game Loss 0.0004382505139801651, Mean Loss 10.353489875793457, Actions 22, Mean reward -1193.3333333333333, Reward -2100, Record 100
Game 16, Game Loss 7.074349880218506, Mean Loss 10.148544311523438, Actions 58, Mean reward -1375.0, Reward -4100, Record 100
Command main.py play --no-gui --agents ruly_train rule_based_agent rule_based_agent rule_based_agent --train 1 --scenario coin-heaven --n-rounds 20001
Game 1, Game Loss 1.630452036857605, Mean Loss 1.630452036857605, Actions 33, Mean reward -2800.0, Reward -2800, Record -2800
Game 2, Game Loss 1.3218224921729416e-05, Mean Loss 0.8152326345443726, Actions 36, Mean reward -3150.0, Reward -3500, Record -2800
Game 3, Game Loss 20.900962829589844, Mean Loss 7.5104756355285645, Actions 7, Mean reward -2100.0, Reward 0, Record 0
Game 4, Game Loss 2.6422595977783203, Mean Loss 6.293421745300293, Actions 17, Mean reward -1925.0, Reward -1400, Record 0
Game 5, Game Loss 4.6855010986328125, Mean Loss 5.971837520599365, Actions 31, Mean reward -2060.0, Reward -2600, Record 0
Game 6, Game Loss 8.85078239440918, Mean Loss 6.451661586761475, Actions 38, Mean reward -2100.0, Reward -2300, Record 0
Game 7, Game Loss 18.82347869873047, Mean Loss 8.219063758850098, Actions 21, Mean reward -1800.0, Reward 0, Record 0
Game 8, Game Loss 15.405019760131836, Mean Loss 9.117308616638184, Actions 32, Mean reward -1687.5, Reward -900, Record 0
Game 9, Game Loss 9.678590774536133, Mean Loss 9.179673194885254, Actions 38, Mean reward -1711.111111111111, Reward -1900, Record 0
Game 10, Game Loss 5.433169841766357, Mean Loss 8.805022239685059, Actions 27, Mean reward -1700.0, Reward -1600, Record 0
Game 11, Game Loss 7.218647003173828, Mean Loss 8.660806655883789, Actions 38, Mean reward -1772.7272727272727, Reward -2500, Record 0
Game 12, Game Loss 8.962417602539062, Mean Loss 8.685940742492676, Actions 36, Mean reward -1783.3333333333333, Reward -1900, Record 0
Game 13, Game Loss 6.777904510498047, Mean Loss 8.539169311523438, Actions 17, Mean reward -1723.076923076923, Reward -1000, Record 0
Game 14, Game Loss 8.625490188598633, Mean Loss 8.545334815979004, Actions 14, Mean reward -1635.7142857142858, Reward -500, Record 0
Game 15, Game Loss 7.239867687225342, Mean Loss 8.458303451538086, Actions 58, Mean reward -1786.6666666666667, Reward -3900, Record 0
Game 16, Game Loss 1.9791055917739868, Mean Loss 8.053354263305664, Actions 18, Mean reward -1768.75, Reward -1500, Record 0
Game 17, Game Loss 11.072579383850098, Mean Loss 8.230956077575684, Actions 7, Mean reward -1676.4705882352941, Reward -200, Record 0
Game 18, Game Loss 6.624702453613281, Mean Loss 8.141719818115234, Actions 26, Mean reward -1677.7777777777778, Reward -1700, Record 0
Game 19, Game Loss 11.725093841552734, Mean Loss 8.33031940460205, Actions 15, Mean reward -1621.0526315789473, Reward -600, Record 0
Game 20, Game Loss 4.835832118988037, Mean Loss 8.155594825744629, Actions 35, Mean reward -1670.0, Reward -2600, Record 0
Game 21, Game Loss 2.032117117778398e-05, Mean Loss 7.767233848571777, Actions 28, Mean reward -1719.047619047619, Reward -2700, Record 0
Game 22, Game Loss 1.5504720771164493e-11, Mean Loss 7.414177417755127, Actions 25, Mean reward -1750.0, Reward -2400, Record 0
Game 23, Game Loss 1.5344536304473877, Mean Loss 7.1585373878479, Actions 11, Mean reward -1708.695652173913, Reward -800, Record 0
Game 24, Game Loss 1.8475666046142578, Mean Loss 6.937246799468994, Actions 30, Mean reward -1741.6666666666667, Reward -2500, Record 0
Game 25, Game Loss 15.930093765258789, Mean Loss 7.296960830688477, Actions 17, Mean reward -1672.0, Reward 0, Record 0
Game 26, Game Loss 5.040249347686768, Mean Loss 7.210164546966553, Actions 7, Mean reward -1623.076923076923, Reward -400, Record 0
Game 27, Game Loss 1.1180838346481323, Mean Loss 6.984531879425049, Actions 15, Mean reward -1607.4074074074074, Reward -1200, Record 0
Game 28, Game Loss 5.625887870788574, Mean Loss 6.936008930206299, Actions 11, Mean reward -1578.5714285714287, Reward -800, Record 0
Game 29, Game Loss 0.0002011372271226719, Mean Loss 6.696843147277832, Actions 6, Mean reward -1541.3793103448277, Reward -500, Record 0
Game 30, Game Loss 13.449507713317871, Mean Loss 6.921931743621826, Actions 18, Mean reward -1513.3333333333333, Reward -700, Record 0
Game 31, Game Loss 1.7288798093795776, Mean Loss 6.754414081573486, Actions 12, Mean reward -1493.5483870967741, Reward -900, Record 0
Game 32, Game Loss 0.0002404989645583555, Mean Loss 6.543346405029297, Actions 7, Mean reward -1465.625, Reward -600, Record 0
Game 33, Game Loss 8.557976798329037e-06, Mean Loss 6.34506368637085, Actions 8, Mean reward -1442.4242424242425, Reward -700, Record 0
Game 34, Game Loss 3.3642771244049072, Mean Loss 6.2573933601379395, Actions 18, Mean reward -1444.1176470588234, Reward -1500, Record 0
Game 35, Game Loss 14.506668090820312, Mean Loss 6.493086814880371, Actions 15, Mean reward -1408.5714285714287, Reward -200, Record 0
Game 36, Game Loss 7.2613525390625, Mean Loss 6.514427661895752, Actions 15, Mean reward -1391.6666666666667, Reward -800, Record 0
Game 37, Game Loss 0.0010131325107067823, Mean Loss 6.3383893966674805, Actions 9, Mean reward -1375.6756756756756, Reward -800, Record 0
Game 38, Game Loss 1.9434853584243683e-06, Mean Loss 6.171589374542236, Actions 22, Mean reward -1394.7368421052631, Reward -2100, Record 0
Game 39, Game Loss 1.9402552481340152e-11, Mean Loss 6.013343811035156, Actions 9, Mean reward -1379.4871794871794, Reward -800, Record 0
Game 40, Game Loss 7.5988287925720215, Mean Loss 6.052980899810791, Actions 8, Mean reward -1357.5, Reward -500, Record 0
Game 41, Game Loss 17.095609664916992, Mean Loss 6.32231330871582, Actions 23, Mean reward -1334.1463414634147, Reward -400, Record 0
Game 42, Game Loss 5.134707927703857, Mean Loss 6.294036865234375, Actions 11, Mean reward -1321.4285714285713, Reward -800, Record 0
Game 43, Game Loss 13.280609130859375, Mean Loss 6.456515312194824, Actions 20, Mean reward -1306.9767441860465, Reward -700, Record 0
Game 44, Game Loss 11.267996788024902, Mean Loss 6.5658674240112305, Actions 18, Mean reward -1293.1818181818182, Reward -700, Record 0
Game 45, Game Loss 0.0007008844404481351, Mean Loss 6.4199748039245605, Actions 17, Mean reward -1300.0, Reward -1600, Record 0
Game 46, Game Loss 5.539666175842285, Mean Loss 6.4008378982543945, Actions 21, Mean reward -1302.1739130434783, Reward -1400, Record 0
Game 47, Game Loss 13.286152839660645, Mean Loss 6.54733419418335, Actions 6, Mean reward -1276.595744680851, Reward -100, Record 0
Game 48, Game Loss 0.002227794611826539, Mean Loss 6.410977840423584, Actions 15, Mean reward -1279.1666666666667, Reward -1400, Record 0
Game 49, Game Loss 0.46190935373306274, Mean Loss 6.2895684242248535, Actions 39, Mean reward -1326.530612244898, Reward -3600, Record 0
Game 50, Game Loss 4.240424156188965, Mean Loss 6.248585224151611, Actions 32, Mean reward -1350.0, Reward -2500, Record 0
Game 51, Game Loss 6.504721164703369, Mean Loss 6.253607749938965, Actions 57, Mean reward -1401.9607843137255, Reward -4000, Record 0
Game 52, Game Loss 3.4002959728240967, Mean Loss 6.198736190795898, Actions 24, Mean reward -1407.6923076923076, Reward -1700, Record 0
Game 53, Game Loss 3.918323278427124, Mean Loss 6.155709743499756, Actions 25, Mean reward -1418.867924528302, Reward -2000, Record 0
Game 54, Game Loss 1.4335479736328125, Mean Loss 6.068262100219727, Actions 22, Mean reward -1420.3703703703704, Reward -1500, Record 0
Game 55, Game Loss 1.5450407266616821, Mean Loss 5.986021995544434, Actions 64, Mean reward -1501.8181818181818, Reward -5900, Record 0
Game 56, Game Loss 5.578644275665283, Mean Loss 5.978747367858887, Actions 79, Mean reward -1578.5714285714287, Reward -5800, Record 0
Game 57, Game Loss 0.0019384014885872602, Mean Loss 5.873891353607178, Actions 9, Mean reward -1564.9122807017543, Reward -800, Record 0
Game 58, Game Loss 1.5042955965327565e-06, Mean Loss 5.772617340087891, Actions 40, Mean reward -1605.1724137931035, Reward -3900, Record 0
Game 59, Game Loss 11.753830909729004, Mean Loss 5.873993873596191, Actions 43, Mean reward -1618.6440677966102, Reward -2400, Record 0
Game 60, Game Loss 2.268148183822632, Mean Loss 5.813896656036377, Actions 9, Mean reward -1601.6666666666667, Reward -600, Record 0
Game 61, Game Loss 5.6123809814453125, Mean Loss 5.810593128204346, Actions 46, Mean reward -1626.2295081967213, Reward -3100, Record 0
Game 62, Game Loss 24.069108963012695, Mean Loss 6.105085372924805, Actions 13, Mean reward -1596.774193548387, Reward 200, Record 200
Game 63, Game Loss 4.448762893676758, Mean Loss 6.078794479370117, Actions 10, Mean reward -1582.5396825396826, Reward -700, Record 200
Game 64, Game Loss 4.83079195022583, Mean Loss 6.0592942237854, Actions 13, Mean reward -1570.3125, Reward -800, Record 200
Game 65, Game Loss 3.415418863296509, Mean Loss 6.018619060516357, Actions 58, Mean reward -1624.6153846153845, Reward -5100, Record 200
Game 66, Game Loss 2.8276044758968055e-05, Mean Loss 5.927428245544434, Actions 7, Mean reward -1609.090909090909, Reward -600, Record 200
Game 67, Game Loss 2.7041426164942095e-06, Mean Loss 5.838959217071533, Actions 7, Mean reward -1594.0298507462687, Reward -600, Record 200
Game 68, Game Loss 1.3071380067231075e-07, Mean Loss 5.753092288970947, Actions 6, Mean reward -1577.9411764705883, Reward -500, Record 200
Game 69, Game Loss 8.199394226074219, Mean Loss 5.788546085357666, Actions 12, Mean reward -1565.2173913043478, Reward -700, Record 200
Game 70, Game Loss 9.40250015258789, Mean Loss 5.840173721313477, Actions 51, Mean reward -1591.4285714285713, Reward -3400, Record 200
Game 71, Game Loss 4.298910617828369, Mean Loss 5.8184661865234375, Actions 22, Mean reward -1590.1408450704225, Reward -1500, Record 200
Game 72, Game Loss 0.0002644695923663676, Mean Loss 5.73765754699707, Actions 21, Mean reward -1595.8333333333333, Reward -2000, Record 200
Game 73, Game Loss 9.917194366455078, Mean Loss 5.794911861419678, Actions 32, Mean reward -1597.2602739726028, Reward -1700, Record 200
Game 74, Game Loss 3.8165383338928223, Mean Loss 5.768177032470703, Actions 32, Mean reward -1609.4594594594594, Reward -2500, Record 200
Game 75, Game Loss 4.309702396392822, Mean Loss 5.748730659484863, Actions 10, Mean reward -1597.3333333333333, Reward -700, Record 200
Game 76, Game Loss 1.4519696378556546e-05, Mean Loss 5.673089504241943, Actions 23, Mean reward -1605.2631578947369, Reward -2200, Record 200
Game 77, Game Loss 3.0410327911376953, Mean Loss 5.638906955718994, Actions 28, Mean reward -1614.2857142857142, Reward -2300, Record 200
Game 78, Game Loss 0.0003081403556279838, Mean Loss 5.566617012023926, Actions 8, Mean reward -1602.5641025641025, Reward -700, Record 200
Game 79, Game Loss 7.348843097686768, Mean Loss 5.589177131652832, Actions 14, Mean reward -1591.139240506329, Reward -700, Record 200
Game 80, Game Loss 9.57126235961914, Mean Loss 5.63895320892334, Actions 19, Mean reward -1583.75, Reward -1000, Record 200
Game 81, Game Loss 2.617152452468872, Mean Loss 5.601646900177002, Actions 21, Mean reward -1586.4197530864199, Reward -1800, Record 200
